block,fluid,seed,gain_substance,gain_placebo,gain_null
39,False,2,-0.0006995626648145237,-0.005893811765930845,-0.004194833948178545
39,False,3,-0.0015986573310042829,-0.004039629009593648,-0.0007046225026852149
39,False,4,-0.0019561084587789157,-0.0023813744584786356,-0.004558972247649784
42,False,1,-0.00332659943673963,-0.002342945096189708,-0.005034455787793712
42,False,2,0.006833472847845412,0.004937964392563998,-0.0018495171834126412
42,False,3,0.007645922934213845,0.0036847853868622327,-0.0031778866733633837
42,False,4,0.004582827210706131,0.001110672206873553,-0.0030235700203355975
48,False,1,-0.0008778140334245732,-0.0011085246268067728,0.0009617036877891394
48,False,2,0.0012746493763406974,0.0007769746278780687,-0.004089748832621032
48,False,3,-0.003106481632651481,0.00036160024550790926,-0.0014105511708470964
48,False,4,-0.0027413087445851136,0.0008444678495036495,-0.0021825020028075626
53,False,1,-0.0006228888757151552,0.005116599344052286,-0.0041834946859733435
53,False,2,0.0009529522913089838,0.0017425999917770607,-0.0031903640693826674
53,False,3,0.00036163074615513935,0.00419830453194181,-0.0025091192082655756
53,False,4,0.001908920515068413,-0.0003947903606047465,-0.00024217201550846834
55,False,1,-0.0024302508440420256,0.0018044577944386075,-0.0012196709317896515
55,False,2,-0.0023131108632030717,0.003594358278205534,-0.00017915786243039022
55,False,3,-0.0018612895982479394,0.004841273678126257,0.0007369792239448891
55,False,4,-0.00259172771518279,0.0017571257683119956,-0.0001739073941664504
62,False,1,0.0022199617852384224,0.0011726909336752245,0.0011427851548754253
62,False,2,0.0012785720777411802,0.002414968265981199,0.0004704567675276605
62,False,3,0.0008945016905744785,0.002987112347470511,-0.0017349296501538713
62,False,4,0.0027621956489360944,0.002520335747907332,-0.0008210012735619943
63,False,1,-0.000314919663070512,0.0007502036729123418,-0.0025964857494851223
63,False,2,0.00029887346051526986,0.00031115890656230327,-0.0005001773498938267
63,False,3,-0.002183596821498268,-3.833707539613318e-05,-0.002098491156351079
63,False,4,-0.0036330599116685125,0.0019169979323095943,-0.0016346687688559847
67,False,1,-0.000690329686775959,0.0003227901735124439,-0.002481791730789995
67,False,2,-0.00013395527302562105,-0.0007804501207905323,-0.0015989414274194536
67,False,3,0.0006721562410308968,0.0005417133560871035,-0.0015197688575694368
67,False,4,-0.0021285925420738705,0.00032240020537988023,-0.0015576060818154325
73,False,1,0.0008466003703924141,-0.0034001679428126153,-0.003584433438271528
73,False,2,-0.005515194727464312,-0.0015989146830305279,-0.0005297755830493411
73,False,3,0.0005482788841543185,-0.00020125841135842926,-0.000855070704466443
73,False,4,-0.004009298387147031,0.0008216753179075553,-0.0023542342737058464
77,False,1,-0.003016937498853789,0.00901503337626297,-0.0011108169256559552
77,False,2,-0.0017124794972810387,0.007712157673109621,-0.001524738555368943
77,False,3,-0.0007722564638912299,0.007682036694769745,-0.0014483264865402523
77,False,4,-0.0019500481579941553,0.009249552763331836,0.00051061529000751
79,False,1,-0.000815614676367149,0.0026780688985645895,-0.0002848451314515499
79,False,2,0.0008529811274496923,0.0038256715636838523,-0.0016032838366747404
79,False,3,0.0003900757238832764,0.0034794062692842243,0.00018784098980528796
79,False,4,0.0007840460358301549,0.001144214887742634,-0.00021279818228459035
81,False,1,-0.0006239117060002908,0.003057520487583565,-0.0029878361008970344
81,False,2,-0.005673404340299282,0.004052115629201047,-0.004940342850262347
81,False,3,-0.0006510255906890805,0.0018684641482382691,-0.0007106467723707599
81,False,4,0.0022822815089633686,0.0071118201438381545,-0.0037720104943406163
83,True,1,0.07914771134198029,0.016514527202515783,-0.000656565448381663
83,True,2,0.100273703686789,0.01168006981342462,-0.0012975705872646515
83,True,3,0.09729022979726876,0.008601367757844813,1.733330055886384e-05
83,True,4,0.09731270340554499,0.01024788866112547,-0.0016298680705822965
85,False,1,-0.0016167403549374182,-0.0044833261980103956,-0.000461345715579764
85,False,2,-0.0012563701767933644,0.0013167063247245814,-0.004010825928680184
85,False,3,-0.0009417484520615194,0.000772302498049271,-0.0025564020691792866
85,False,4,-0.0017905889981476575,0.004190018046553834,-0.0027808347004784073
90,False,1,-0.0009233020373898837,-0.0004513240633923221,-0.0022597117264173683
90,False,2,-0.0030103829792276215,-7.753994896031458e-05,-0.00558937891608613
90,False,3,0.0014435470689861951,0.0050975632073241295,-0.006251954991570274
90,False,4,0.002736431741473755,0.0025754659466579177,-0.002211182949531265
92,False,1,0.004960467525903844,0.0026042010750217948,-0.0014804328347772788
92,False,2,0.005280246453243764,-0.002156996662578514,-0.0017105752885711034
92,False,3,0.0027611976581317643,0.0055822009848524035,-0.002671842898333665
92,False,4,0.0018586504527375869,0.0007956415461509714,-0.00014209040119594896
93,False,1,-0.00021316738263643664,0.0006873447450952419,-0.0019348192751487137
93,False,2,0.00010855542485410652,0.0014148531254694063,0.00048109965019027534
93,False,3,1.720451923159505e-05,0.001182492599367424,-0.0010259975254935938
93,False,4,0.0027042456837088613,0.00812019353475335,-0.002453758385280058
96,False,1,0.00019596020059475805,0.004317091830033037,-0.0034984396317705446
96,False,2,-0.0007527300863865438,0.00858022314757001,-0.0019081321545058039
96,False,3,-0.00022640212817925942,0.007081079162976511,-0.006305754924350038
96,False,4,0.00046513904235978565,0.005270788883428468,-0.0007945913593812026
