q,Kc,Kw,seed,arm,n,m,full,df_C,df_W,I,P,C,W
1,4,4,29,real,15250,16,0.24322082896532649,64,61064,0.23836986127316445,0.09363114707734127,0.015519338572344164,-0.10429951795752343
1,8,0,11,perm,15250,16,0.3267895209575761,128,0,0.24618226817385755,0.08089297668002675,-0.00028572389630822826,0.0
1,8,0,29,perm,15250,16,0.3206015021803341,128,0,0.24344706329969845,0.07731065383097276,-0.00015621495033711166,0.0
1,8,0,11,real,15250,16,0.3547786554404516,128,0,0.24525384595046845,0.08249417276071255,0.027030636729270602,0.0
1,8,0,29,real,15250,16,0.3484367822121751,128,0,0.24291550051505362,0.07872608371233308,0.02679519798478841,0.0
1,8,1,11,real,15250,16,0.33800600638107225,128,15266,0.24334287881585318,0.08599901007563923,0.022058879191747063,-0.013394761702167237
1,8,1,29,real,15250,16,0.33608420075214407,128,15266,0.24130062591424764,0.08260445785076415,0.022119151896025573,-0.009940034908893298
1,8,2,11,real,15250,16,0.3186512886311639,128,30532,0.24233532647219622,0.08969429943237113,0.02111428821457555,-0.03449262548797903
1,8,2,29,real,15250,16,0.31499717391204995,128,30532,0.24015902239051293,0.08569194604657972,0.02142310636694685,-0.03227690089198955
1,8,4,11,real,15250,16,0.2544677319183072,128,61064,0.24032429791252619,0.09719124010048469,0.01936396483837413,-0.10241177093307785
1,8,4,29,real,15250,16,0.24751524459380891,128,61064,0.23863989911199668,0.0938465634296016,0.020010715999020257,-0.1049819339468096
4,1,0,11,perm,2897,14,0.30964208527374204,14,0,0.26953040346853613,0.040001767272772305,0.00010991453243356741,0.0
4,1,0,29,perm,2897,14,0.2969988800835137,14,0,0.26381761934889414,0.03219631667203106,0.000984944062588496,0.0
4,1,0,11,real,2897,14,0.3345832006542979,14,0,0.26934925273869115,0.04135573025535534,0.02387821766025141,0.0
4,1,0,29,real,2897,14,0.31707254568901844,14,0,0.26292769423561546,0.03371926126262324,0.0204255901907797,0.0
4,1,1,11,real,2897,14,0.36478926847188753,14,2911,0.26369239305614395,0.04745846528936726,0.019508465606899464,0.03412994451947685
4,1,1,29,real,2897,14,0.3341365460525215,14,2911,0.25477531338130777,0.04109304747256693,0.01816634779597414,0.020101837402672712
4,1,2,11,real,2897,14,0.3332428210019407,14,5822,0.2550442605541613,0.0545059869324884,0.020003611359566624,0.003688962155724405
4,1,2,29,real,2897,14,0.2949269049798068,14,5822,0.24494023016040428,0.04861207708464777,0.017410625006381308,-0.016036027271626608
4,1,4,11,real,2897,14,0.3013994993996105,14,11644,0.25010244449269226,0.05215150553769941,0.018056978754303267,-0.01891142938508441
4,1,4,29,real,2897,14,0.28037584414777916,14,11644,0.24815398734945895,0.0475999413450676,0.015571998049067245,-0.03095008259581464
4,2,0,11,perm,2897,14,0.3093130326423791,28,0,0.2694933416818282,0.0399233695241663,-0.00010367856361542804,0.0
4,2,0,29,perm,2897,14,0.2961748174596798,28,0,0.26392571138772125,0.0322609669192976,-1.1860847339099424e-05,0.0
4,2,0,11,real,2897,14,0.3409774908934329,28,0,0.2710987766494319,0.04132873808287333,0.028549976161127623,0.0
4,2,0,29,real,2897,14,0.3232041885705107,28,0,0.26185450662402576,0.033657562764511297,0.0276921191819736,0.0
4,2,1,11,real,2897,14,0.36939429309429384,28,2911,0.2651792447866469,0.04754436313692742,0.023360482379509172,0.033310202791210344
4,2,1,29,real,2897,14,0.3394943785987178,28,2911,0.2537816558159498,0.04080469372705206,0.025119534220105627,0.019788494835610303
4,2,2,11,real,2897,14,0.33609836784703817,28,5822,0.25639618431078337,0.054441539726210665,0.02312352575738128,0.0021371180526628493
4,2,2,29,real,2897,14,0.2969419187215737,28,5822,0.24387463399223994,0.04840556107269256,0.02268745246292151,-0.0180257288062803
4,2,4,11,real,2897,14,0.3046558718030792,28,11644,0.2517175743595528,0.05229639031539333,0.02114103688419849,-0.020499129756065403
4,2,4,29,real,2897,14,0.2828413961375815,28,11644,0.24763510970749072,0.04711889020751567,0.02093800292932545,-0.03285060670675033
4,4,0,11,perm,2897,14,0.3090210702702286,56,0,0.2696202165307687,0.03983701382075936,-0.0004361600812994489,0.0
4,4,0,29,perm,2897,14,0.29534597307444177,56,0,0.2637403578915648,0.03240032799668531,-0.0007947128138083662,0.0
4,4,0,11,real,2897,14,0.3762505281545817,56,0,0.2724635922609082,0.04221243380033617,0.061574502093337306,0.0
4,4,0,29,real,2897,14,0.35257787325341783,56,0,0.2583384633136409,0.034333674156352,0.059905735783424875,0.0
4,4,1,11,real,2897,14,0.38999650978654565,56,2911,0.26476710691575633,0.04823091194935684,0.05003664822097048,0.02696184270046196
4,4,1,29,real,2897,14,0.3567433901307592,56,2911,0.2503980968456917,0.04200296387196413,0.05094349269952495,0.01339883671357835
4,4,2,11,real,2897,14,0.35963006190532076,56,5822,0.2564880235156072,0.0555357221608328,0.05080862493290444,-0.0032023087040236866
4,4,2,29,real,2897,14,0.31454358602619437,56,5822,0.24121057159893336,0.04963071418047102,0.04831454905872152,-0.02461224881193157
4,4,4,11,real,2897,14,0.320406946846445,56,11644,0.250521419278226,0.05409968400657682,0.04522526806705785,-0.02943942450541573
4,4,4,29,real,2897,14,0.296383644266511,56,11644,0.24350551734013823,0.04838009757409908,0.04525012779490036,-0.04075209844262671
4,8,0,11,perm,2897,14,0.30768023870118144,112,0,0.2698127455461514,0.03965361356037104,-0.001786120405341059,0.0
4,8,0,29,perm,2897,14,0.29408963259993004,112,0,0.2637302968654104,0.03241945529423499,-0.0020601195597153748,0.0
4,8,0,11,real,2897,14,0.38594441680652236,112,0,0.2720335734308222,0.04217802146165424,0.07173282191404592,0.0
4,8,0,29,real,2897,14,0.36407782238785513,112,0,0.2556522483775523,0.03507949219112316,0.07334608181917968,0.0
4,8,1,11,real,2897,14,0.39789981751703185,112,2911,0.2650670855519943,0.04809410188658361,0.058985877709835516,0.025752752368618393
4,8,1,29,real,2897,14,0.36543531810076146,112,2911,0.2478122976928421,0.04274494937093233,0.06293153652934422,0.011946534507642805
4,8,2,11,real,2897,14,0.3668621501255396,112,5822,0.2563637881223825,0.05541174860408294,0.059627933428355435,-0.004541320029281287
