a,b,n,base,full,inc,perm
4,18,896,0.5896397923933842,0.5596577936385472,-0.02998199875483698,-0.026029168008483834
12,13,671,0.5173999690605006,0.5557054291174703,0.038305460056969776,-0.014225482983966975
9,12,702,0.5701263273736984,0.6020760367531056,0.03194970937940722,-0.01877160442201257
3,5,2714,0.5593150200469779,0.5871138398414014,0.027798819794423557,-0.03933030400015421
6,13,484,0.4788681694211802,0.4903000635914127,0.011431894170232493,0.015436863191559366
0,3,1349,0.5103613277076068,0.5401742938204683,0.02981296611286155,-0.008233716008461844
14,29,3188,0.5788715303061633,0.5848872310768304,0.006015700770667043,-0.02390958628147921
10,17,2177,0.58619060211629,0.5940941248164512,0.007903522700161147,-0.028490589598157756
5,13,1138,0.5665136720234539,0.552050993157059,-0.014462678866394962,-0.015047716610277187
2,18,760,0.5761120410218609,0.5766814501995363,0.0005694091776754506,-0.0234076737043033
7,16,914,0.5790601273591944,0.5809847981405644,0.0019246707813699304,-0.024242414184252808
2,6,1101,0.5485411351779218,0.5775652114987755,0.029024076320853687,-0.004782143514083977
0,8,1118,0.5127266089331137,0.5224868000484658,0.00976019111535209,-0.011825391976657515
7,20,1610,0.5234612409502883,0.5052750881570648,-0.018186152793223553,-0.029912075107167018
5,14,2212,0.5080436291586935,0.5276318370860903,0.019588207927396795,-0.00025631925350979207
10,20,1646,0.5174554113940687,0.5320186302933474,0.014563218899278696,-0.009605566591608716
10,29,2841,0.6176754345917315,0.6288618362746283,0.011186401682896863,-0.02935548119117833
1,18,608,0.575914496339075,0.5554705781336122,-0.020443918205462763,-0.02851834228165658
