a,b,kind,n,gap,first,bal,e
14,18,same,677,4.18685376661743,13.136632200886263,0.3412112259970458,0.029328269542719665
1,16,same,1152,5.60546875,12.77126736111111,0.17795138888888884,-0.040054054421165775
10,16,cross,819,4.760683760683761,13.771062271062272,0.4444444444444444,-0.015000323807646506
6,20,cross,723,5.433609958506224,12.337482710926695,0.2959889349930844,-0.03087700258417886
17,20,same,1818,5.005225522552255,12.951320132013201,0.3833883388338834,0.010766121074990309
6,30,cross,2129,5.512447158290277,12.274776890558948,0.15406294034758103,-0.01773021189020004
9,29,cross,1163,4.773430782459157,11.953568357695614,0.3353396388650043,-0.0303986479472985
5,26,cross,1703,4.611274221961245,13.841456253669994,0.4950088079859072,-0.0038763992209827625
3,8,same,2822,4.318568391211906,13.007795889440114,0.3773919206236711,-0.025112869577050407
2,26,same,2239,4.0636444841447075,14.291648057168379,0.47253238052702096,0.03306641854373027
22,29,cross,1685,5.2795252225519285,12.36587537091988,0.1744807121661721,-0.054775475426981614
3,18,cross,803,4.7079701120797015,12.61706102117061,0.290161892901619,0.0033625560987980974
9,30,cross,1763,4.978729438457175,11.793533749290981,0.22858763471355645,-0.02015997503257209
5,17,cross,2791,4.739161590827661,13.843783590111071,0.45073450376209245,-0.0027483532733490286
4,18,same,896,4.515625,13.268415178571429,0.4386160714285714,-0.01828765412641986
13,23,cross,636,4.67688679245283,13.50314465408805,0.27987421383647804,-0.03393151730080346
16,29,same,1611,5.82836747361887,12.492240844196152,0.1446306641837368,-0.04768516826182145
2,4,same,3838,4.155940594059406,14.051719645648776,0.39682126107347576,0.03131009701832477
12,30,cross,2616,4.8275993883792045,12.307530581039755,0.2882262996941896,-0.008568894192489351
26,30,same,3673,5.366594064797169,12.729240402940375,0.17506125782738904,-0.011838819494521074
3,16,cross,1220,5.115573770491803,13.129918032786886,0.19999999999999996,-0.028062160683530662
4,11,cross,3923,4.157532500637267,14.00688248789192,0.40708641345908747,0.01065688153403053
5,22,same,1132,4.5053003533568905,13.439487632508834,0.39575971731448767,0.01774242546459185
12,20,cross,1012,4.774703557312253,12.457509881422926,0.46936758893280633,-0.023087206299703844
10,23,same,1099,4.748862602365787,13.792538671519564,0.3830755232029117,0.006797962280910397
1,9,cross,795,4.945911949685534,11.806289308176101,0.3735849056603774,-0.028244412233978076
1,10,cross,1846,5.378114842903575,12.471830985915492,0.23022751895991334,-0.012977455606994037
18,26,same,448,4.659598214285714,13.438616071428571,0.4754464285714286,0.007253953441838138
14,29,same,3188,4.65668130489335,12.365276035131744,0.25282308657465496,-0.006598265290152117
12,16,cross,729,5.1508916323731135,13.169410150891633,0.2496570644718793,-0.021363473529672605
14,17,same,2308,4.245450606585789,13.841854419410746,0.40034662045060654,-0.005527339989388702
1,30,same,4405,4.789103291713961,11.883200908059024,0.419750283768445,-0.025746435644549946
