q,world,est,arm,seed,brier_I,brier_P,brier_C,brier_W,brier_full,logloss_I,logloss_P,logloss_C,logloss_W,logloss_full,l1_I,l1_P,l1_C,l1_W,l1_full
8,real,ls,real,29,0.12308358445929304,0.15056066295169596,0.000972923187316029,-0.10911562053247455,0.16550155006583045,0.13890309742407325,0.1249027714133268,-0.0008726326609946693,-0.457932384376293,-0.19499914819988762,0.09516456417798361,0.1718485841992728,0.003757711105507368,0.0791301995414713,0.3499010590242351
8,real,ls,perm,29,0.12319457918254728,0.14876685284020108,-0.0007256323622379286,-0.10871217688004814,0.16252362278046228,0.1390624153154395,0.11947303831006291,-0.0029638944626604507,-0.4562454027907541,-0.20067384362791207,0.09520887079907066,0.17199247448766267,0.00035389449839697457,0.08011219313959461,0.3476674329247249
8,real,ls,real,47,0.10563818519554179,0.16632656991494582,0.007296293850770398,-0.15062621183636044,0.12863483712489754,0.10661538016867475,0.15599068705340072,0.012013838972012053,-0.5295534677502782,-0.25493356155619074,0.08561294632886414,0.17711958242324435,0.005656381175209317,0.0633608868131392,0.331749796740457
8,real,ls,perm,47,0.10623662057602065,0.16571367350556582,-0.0040758687149949156,-0.1503907807239493,0.11748364464264227,0.10761160214584058,0.15489970242489817,-0.008857543081773129,-0.5376508332353189,-0.28399707174635336,0.08561133745280795,0.1775457981419732,-0.0013729200773007395,0.0644999563800212,0.3262841718975016
8,real,logit,real,11,0.10706529635274256,0.10845817075440448,0.03398462454923371,,0.24950809165638077,0.09796414150528462,0.0819111997106802,0.027441128831790264,,0.2073164700477551,0.09731204087049448,0.15360979838747313,0.029417391233398482,,0.2803392304913661
8,real,logit,perm,11,0.10652911798992558,0.10730285889809325,0.028116655037762898,,0.24194863192578175,0.09746565777218281,0.08119325560264595,0.023404075444683776,,0.20206298881951257,0.09722215117014624,0.1542020830765368,0.023089986860384302,,0.27451422110706736
8,real,logit,real,29,0.10141580206254865,0.1329318588476185,0.030417578908899026,,0.2647652398190662,0.09083788826265829,0.10420080184667055,0.024886946542325577,,0.21992563665165443,0.09234977616331805,0.17411616337197147,0.028622833638806335,,0.2950887731740959
8,real,logit,perm,29,0.10088040002983542,0.13267442929827675,0.029104059146147703,,0.2626588884742599,0.09058443716753159,0.10347770091137146,0.023393948663987345,,0.2174560867428904,0.09253708534907772,0.17548132810668868,0.023364903454684095,,0.2913833169104505
8,real,logit,real,47,0.0857298370616999,0.14610058191876235,0.03291479873159536,,0.2647452177120576,0.07699483501698902,0.11513280130135596,0.026101011697743665,,0.21822864801608866,0.08283391740039572,0.17965475591956662,0.02799185817321962,,0.290480531493182
8,real,logit,perm,47,0.0855955593802091,0.14583728301215457,0.019395223569900012,,0.2508280659622637,0.07667906464814979,0.11437972537885828,0.015195997237768892,,0.20625478726477697,0.08300829836188359,0.18088898759149072,0.018232571246685352,,0.2821298572000597
13,real,ls,real,11,0.3138015868084123,0.11912151874746,0.004552492597656878,-0.08508922378400627,0.3523863743695229,0.2959105722309051,0.1264236453055207,0.0028993146700496963,-0.3373018514503464,0.08793168075612912,0.29149701963841357,0.11989608330784939,0.004371473115221976,0.0415286434774334,0.4572932195389183
13,real,ls,perm,11,0.3142616683071978,0.11889791696099916,-0.0002408918363157967,-0.08455207382124813,0.3483666196106331,0.2946398995581643,0.12658916957545158,-0.0008595482836884123,-0.3380777744417414,0.08229174640818604,0.2920785732562747,0.11990527164050228,1.925536300291982e-05,0.04247001249556429,0.4544731127553442
13,real,ls,real,29,0.3095956699622486,0.1190504049550306,0.003758732754963837,-0.07683664247578931,0.35556816519645373,0.2909324809572875,0.1248593090417698,0.000245119853350249,-0.34405909936756063,0.07197781048484686,0.28761901906648113,0.11812097475489654,0.0034147929447753134,0.047318574397115086,0.4564733611632681
13,real,ls,perm,29,0.3097277115651396,0.11896911404236055,-0.00047387312977561125,-0.07630381278076104,0.35191913969696353,0.28803541486741213,0.12624241750945758,-0.0011158511072610529,-0.3434081959156521,0.0697537853539566,0.288152524559017,0.1181365532099078,-0.00015982342408468742,0.04833466688175426,0.4544639212265944
13,real,ls,real,47,0.31033636421111765,0.1258246420180118,0.00453804851183412,-0.08456015564521233,0.35613889909575125,0.2906738832300814,0.1317790164932956,0.003413663340271017,-0.35537535862621733,0.07049120443743073,0.29056543997920126,0.1197407979448819,0.0039528016315265035,0.04278860571380538,0.4570476452694151
13,real,ls,perm,47,0.31060814532054504,0.12590509082675444,-8.791093656171367e-05,-0.08375805584280412,0.3526672693679337,0.28915141372682696,0.1324558559164466,-0.00029390233669095617,-0.3557791505846868,0.06553421672189585,0.29096662923555583,0.1197850985595947,9.43506343420164e-05,0.04386576898474727,0.45471184741423987
13,real,logit,real,11,0.2778077991676299,0.10269622006851559,0.07535619771751717,,0.45586021695366263,0.2422327659930854,0.09311444403376629,0.06728503339933395,,0.40263224342618564,0.25773527122195405,0.12150928613517598,0.08488161334125399,,0.464126170698384
13,real,logit,perm,11,0.27750400452830865,0.10228590749434609,0.07131841178707322,,0.451108323809728,0.2408351902498711,0.09281639881165628,0.06295206770459123,,0.39660365676611864,0.25832389515094867,0.12139067321760215,0.081408833317959,,0.4611234016865099
13,real,logit,real,29,0.2751146332783773,0.10233534225400083,0.07381409781504496,,0.45126407334742313,0.23807436273491142,0.09213499803748171,0.06558809548334221,,0.39579745625573537,0.25509737388368264,0.12019565626669271,0.08326516296810275,,0.4585581931184781
13,real,logit,perm,29,0.274241708708233,0.10208179867000773,0.06995643458841445,,0.4462799419666552,0.2358867205293171,0.09242615852977773,0.061528980484129615,,0.3898418595432245,0.2555646777793098,0.11993657946042213,0.08022368940035014,,0.4557249466400821
13,real,logit,real,47,0.275199472669981,0.11231898078443281,0.07319134407555021,,0.4607097975299641,0.23860954787135297,0.10111498966428308,0.06502618607121198,,0.40475072360684805,0.2581051038589514,0.12404164244066797,0.08333032164838129,,0.4654770679480007
13,real,logit,perm,47,0.27523924982442005,0.11216586068254455,0.0686266940194786,,0.4560318045264432,0.23740383968406847,0.10144027141155433,0.06051010547307002,,0.39935421656869285,0.258802127344687,0.12374279476036101,0.08010979986401237,,0.46265472196906043
17,real,ls,real,11,0.17435632415021007,-0.015183913673862692,0.010149713092850166,-0.28917706248235314,-0.11985493891315557,0.19239374288747155,-0.06658334743494246,0.013817123478845877,-0.8419439745535464,-0.7023164556221715,0.16235817326962357,0.02848957999449838,0.006952851722749231,-0.0099531048169235,0.18784750016994767
17,real,ls,perm,11,0.17636162726837176,-0.015181060350685928,0.0012259254145005798,-0.28966993561275234,-0.12726344328056594,0.19379066443941786,-0.06833712052498585,0.004456079785353237,-0.8480984021150558,-0.7181887784152705,0.16218064258484563,0.02882630876351131,0.0002169914496199336,-0.007641289123130057,0.18358265367484683
