q,Kw,seed,arm,n,m,full,I,P,C,W
48,0,29,perm,2915,10,0.2598146562833272,0.2261933343534508,0.03464643956540442,-0.0010251176355279832,0.0
48,0,47,real,2915,10,0.27795217566643493,0.23251249797612142,0.02631486672756587,0.01912481096274763,0.0
48,0,47,perm,2915,10,0.2564069374138358,0.23246212612638945,0.024449465204599508,-0.0005046539171531528,0.0
48,1,11,real,2915,10,0.3579857690814091,0.21465720828046386,0.04506591397184137,0.0065941456497760524,0.09166850117932782
48,1,11,perm,2915,10,0.3573583316427691,0.21561650942121463,0.043419916816001144,-0.0010791345260880711,0.09940103993164137
48,1,29,real,2915,10,0.3942171963100489,0.22278659468567158,0.0524280410503465,0.011313957854650614,0.10768860271938022
48,1,29,perm,2915,10,0.38802310679901264,0.22250141419450764,0.05047142938753595,-0.001248235814059362,0.11629849903102839
48,1,47,real,2915,10,0.38619436897495607,0.22907844976452313,0.04369454700111147,0.01127135415795046,0.10215001805137101
48,1,47,perm,2915,10,0.38219337271094245,0.22998892674334503,0.042190891293812205,-0.00024728704976806354,0.11026084172355327
53,0,11,real,2881,22,0.369947193451324,0.24058792217722552,0.10335706175317927,0.026002209520919195,0.0
53,0,11,perm,2881,22,0.3442124704460272,0.2412878714856445,0.10375576930618324,-0.000831170345800547,0.0
53,0,29,real,2881,22,0.38507211656126084,0.2498812552345576,0.10830702826197587,0.02688383306472732,0.0
53,0,29,perm,2881,22,0.3591783243487148,0.25096204944170175,0.10890913630124051,-0.0006928613942275655,0.0
53,0,47,real,2881,22,0.3802755550394684,0.24643172992201673,0.11109928707698297,0.022744538040468717,0.0
53,0,47,perm,2881,22,0.35817336355906015,0.24746822569268737,0.11180588713017688,-0.001100749263804083,0.0
53,1,11,real,2881,22,0.38358827231524717,0.23694037080554137,0.10530761174276598,0.019086088000982833,0.022254201765957
53,1,11,perm,2881,22,0.36999736393702887,0.23689637991039753,0.10459695895376245,-0.0007487342794125127,0.029252759352281395
53,1,29,real,2881,22,0.38271480831272786,0.24483263851202466,0.10865512756331763,0.01982658259372033,0.009400459643665185
53,1,29,perm,2881,22,0.36993397875377754,0.24556153842849351,0.10840337826429244,-0.0005907547239540992,0.01655981678494564
53,1,47,real,2881,22,0.3856034631182279,0.23820235990179137,0.1109872015446591,0.01600832636266408,0.020405575309113355
53,1,47,perm,2881,22,0.3757536565108738,0.23844683969013786,0.11104471043477496,-0.00099021493238056,0.027252321318341516
55,0,11,real,5034,17,0.3416037562236305,0.24452258396847348,0.08031599149715221,0.016765180758004795,0.0
55,0,11,perm,5034,17,0.3235396932137915,0.2453434665887638,0.07869605867065141,-0.0004998320456237233,0.0
55,0,29,real,5034,17,0.3657425171757177,0.26172341808495314,0.08249949634791526,0.02151960274284927,0.0
55,0,29,perm,5034,17,0.34525189024956005,0.2637248463099113,0.08171611680138147,-0.00018907286173269755,0.0
55,0,47,real,5034,17,0.3713521477749727,0.26775590658331316,0.08492392519399845,0.018672315997661136,0.0
55,0,47,perm,5034,17,0.352389345221619,0.26944375743970594,0.08356582118045504,-0.0006202333985419843,0.0
55,1,11,real,5034,17,0.3246476457830475,0.2391425115795035,0.08567783507202545,0.015444983401783683,-0.015617684270265164
55,1,11,perm,5034,17,0.30845095655734667,0.2395720087743827,0.08369336808835773,-0.0005083827184867256,-0.014306037586907053
55,1,29,real,5034,17,0.3610275549009784,0.2575159190693066,0.0874499634840381,0.019566822754930817,-0.0035051504072971433
55,1,29,perm,5034,17,0.3438652008381836,0.25925651385882975,0.08633575645727132,-0.00018188596013573216,-0.001545183517781721
55,1,47,real,5034,17,0.3546821243400664,0.26208241213275285,0.08937440371786239,0.016310478455812343,-0.013085169966361174
55,1,47,perm,5034,17,0.3400982313179397,0.2638928263165362,0.08757316520606238,-0.0006323305893442729,-0.010735429615314668
62,0,11,real,3398,21,0.3158909518936922,0.19944719839870384,0.08483218928173442,0.03161156421325395,0.0
62,0,11,perm,3398,21,0.28180927847902637,0.20009391288429854,0.08320052284027823,-0.001485157245550428,0.0
62,0,29,real,3398,21,0.3071463396056957,0.19746342514953114,0.08167901190184398,0.028003902554320576,0.0
62,0,29,perm,3398,21,0.27796347439929314,0.1971334398276893,0.08026405878827379,0.0005659757833300453,0.0
62,0,47,real,3398,21,0.29789947738978706,0.19524320111070878,0.07881750135558765,0.023838774923490607,0.0
62,0,47,perm,3398,21,0.27254330441875774,0.19668093279562956,0.07699837485286626,-0.001136003229738114,0.0
62,1,11,real,3398,21,0.2931439035721076,0.19239846069816352,0.08939541259613112,0.016955494862047744,-0.005605464584234776
62,1,11,perm,3398,21,0.2906192474195798,0.19521901007010553,0.08753780256530688,-0.0013366636141772525,0.009199098398344605
62,1,29,real,3398,21,0.2951207199165128,0.18901036474474292,0.08701477023431615,0.015347338844105088,0.0037482460933485973
62,1,29,perm,3398,21,0.2919659430992394,0.19056010937209192,0.08473493339695085,0.0004160331549812971,0.016254867175215338
62,1,47,real,3398,21,0.28171820220682475,0.18564403490401818,0.08546804231249491,0.010485069444726916,0.00012105554558472509
62,1,47,perm,3398,21,0.2847013068994152,0.18852283919450802,0.08356691813818212,-0.0009996073436807453,0.013611156910405781
63,0,11,real,5007,18,0.3359535626048691,0.2348699524947994,0.08271763733352178,0.01836597277654789,0.0
63,0,11,perm,5007,18,0.3174797749194158,0.2361249836171107,0.08166640033131928,-0.0003116090290141705,0.0
63,0,29,real,5007,18,0.3287472879438973,0.22959581068321852,0.08136425669337233,0.017787220567306417,0.0
63,0,29,perm,5007,18,0.3101265798955174,0.2303437707852977,0.08044520216476153,-0.0006623930545418544,0.0
63,0,47,real,5007,18,0.3216060464294036,0.22242486145533188,0.0804464809550423,0.018734704019029415,0.0
63,0,47,perm,5007,18,0.3028411242210749,0.22342421120053632,0.07968902934310586,-0.0002721163225672766,0.0
63,1,11,real,5007,18,0.3001912082848296,0.23045094608110916,0.08833795251672873,0.015594501577787431,-0.03419219189079574
63,1,11,perm,5007,18,0.2869638795126108,0.2319638157460363,0.08694405451283439,-0.0004174395416193799,-0.031526551204640485
63,1,29,real,5007,18,0.31221589601100597,0.22412939991078135,0.08637378325090284,0.015040840483001538,-0.01332812763367977
63,1,29,perm,5007,18,0.29915727746600473,0.22521614891824895,0.08517061570152289,-0.0006550663294670374,-0.010574420824300072
63,1,47,real,5007,18,0.29716285459300873,0.21917933421196498,0.08741256185093481,0.016352899611811418,-0.02578194108170248
63,1,47,perm,5007,18,0.2829184439283413,0.22009084869595,0.08646941350011408,-0.00025689895790279027,-0.023384919309819997
67,0,11,real,5415,16,0.2858671235844834,0.169652954918428,0.1020044906964362,0.014209677969619213,0.0
67,0,11,perm,5415,16,0.27015573643130963,0.1698051971733378,0.10064661157193988,-0.00029607231396805433,0.0
67,0,29,real,5415,16,0.29497189268574897,0.1697637974159752,0.10919473419354471,0.01601336107622904,0.0
67,0,29,perm,5415,16,0.27770182164197166,0.17016714515118692,0.107956089997656,-0.00042141350687128576,0.0
67,0,47,real,5415,16,0.2865887373288185,0.17347300335275215,0.10121239320003357,0.011903340776032795,0.0
67,0,47,perm,5415,16,0.2739192343135449,0.17416907970042783,0.09989284536873017,-0.00014269075561307298,0.0
67,1,11,real,5415,16,0.24699170677787863,0.16858642203308694,0.10840202219977166,0.010872293549277646,-0.0408690310042576
67,1,11,perm,5415,16,0.23769352693693024,0.16878591725600642,0.10688361273734158,-0.0003702143932348874,-0.03760578866318287
67,1,29,real,5415,16,0.26356762110756293,0.1685281497778222,0.11482844168086681,0.012047953272867411,-0.03183692362399354
67,1,29,perm,5415,16,0.25439871012643434,0.16914464086018208,0.11346444092434743,-0.00038013467216728897,-0.027830236985927913
67,1,47,real,5415,16,0.23205490347309565,0.17202668401240695,0.1083494592329352,0.007590581805626125,-0.05591182157787261
67,1,47,perm,5415,16,0.2286096392850293,0.17312568212355856,0.1070509149471732,-5.5292966924793324e-05,-0.051511664818777655
