seed,world,n,p50,p90,p95,p99,s90,s95,s99
4,M4,9175,0.7165347033560635,1.1961436619200085,1.4159150994831986,1.6850404975762856,2.479432363425089,3.6155838158128963,5.006880224974307
4,M5,9175,0.7276976240880235,1.345456451785172,1.4847664198050998,1.7558633794516396,2.842388102011821,3.4833712459801225,4.7307233485204785
4,G0,9175,0.7148721241302863,0.9387667539480431,1.0765183909424343,1.3288682135355867,1.1972647406498955,1.9338843642399401,3.2833117495504403
4,G1,9175,0.7515363290571018,1.1847044163886424,1.3641900475294926,1.699695972208491,1.5110220010491542,2.137122458256751,3.307469140061797
4,G2,9175,0.8019385621871616,1.404594070990005,1.5844653835476754,1.9037507351065837,1.4042126507949357,1.8233203647695548,2.5672686458748752
4,G3,9175,0.9515827529401052,1.6169842641730163,1.776410564689216,2.0605572145115665,1.0962097945892446,1.3588552337574966,1.8269701018133817
4,G4,9175,1.1191489179817553,1.764758493665597,1.9056261936576804,2.165116816733635,0.8600338932270999,1.0476875480320387,1.3933619915741018
5,real,9175,0.6998812830689709,0.8893020771580599,0.9519626504339482,1.070611356338061,0.9579240884263099,1.274806259806843,1.8748272553513097
5,cb,9175,0.7016384888188801,0.8543586184467565,0.8965828660762909,0.9855245900720395,0.9206616109656561,1.1752072555977182,1.7113856303510222
5,M0,9175,0.7064539376403551,0.873880227564244,0.9389989728550708,1.7474598372336707,0.9751201597378414,1.3543831855074802,6.063001453122631
5,M1,9175,0.7104568136647127,0.8960182114883206,1.3085453293899603,1.8398898476655574,1.0553616606823124,3.4015678723805816,6.42353601758085
5,M2,9175,0.7104568136647127,0.8960182114883206,1.3255926984652944,1.8949713273618942,1.0553616606823124,3.4985230578265925,6.736806355953831
5,M3,9175,0.7150598004646173,0.9354156899101301,1.5462751189790749,1.898291942227585,1.2062453792983319,4.550137687188885,6.477105319173997
5,M4,9175,0.7191287533704863,1.0913729286697684,1.4072440393111527,1.722161761978062,1.9640955913510212,3.630746400183946,5.29236678747701
5,M5,9175,0.7274289634705873,1.3345472756080259,1.4979816010698979,1.7747921050913524,2.9291727909801377,3.7176968227618277,5.0532285970918185
5,G0,9175,0.7152553874686035,0.9293054421432747,1.0788133866559835,1.3746590731683028,1.1707345247232752,1.988459671430056,3.6065707236175895
5,G1,9175,0.7494708429884495,1.1838321929009248,1.3790890476025488,1.7410169505003519,1.585472718951608,2.2981844194288783,3.619266086541895
5,G2,9175,0.7977779065061724,1.3967624746174312,1.5798252425210122,1.9321257360736095,1.4272751492380005,1.8634816114568622,2.7029518854531465
5,G3,9175,0.9408762767478346,1.617551616122655,1.7707311146435383,2.0448051848421267,1.1462180147383054,1.4056882369802322,1.8699413556538258
5,G4,9175,1.1093710037949869,1.7650730272828343,1.9049159977906578,2.158218294639922,0.8831182289478567,1.0714627391397875,1.4126175133649006
