arm,cat,n,diff,early,late,dy
shuf,15,2932,0.03544536197208557,0.03416597672264151,-0.0012793852494440612,0.0
plant10,15,2674,0.06908976059091569,0.06750273404259426,-0.0015870265483214352,0.007240249599890447
plant25,15,2684,0.1221689679142948,0.10652559497799254,-0.015643372936302264,0.03789503737827005
real,16,2490,-0.017071822372216088,-0.009321068238951458,0.00775075413326463,0.0
shuf,16,2726,-0.011339455292600867,0.00787904224156812,0.019218497534168988,0.0
plant10,16,2490,-0.005087229545656972,0.0026635245876076574,0.00775075413326463,-0.005158927458660756
plant25,16,2460,0.030563735763808258,0.055196797285397746,0.024633061521589488,0.007870225342040627
real,17,6530,0.011566607896595166,0.10751686637359743,0.09595025847700227,0.0
shuf,17,6490,0.03556420281984582,0.11894056983686273,0.08337636701701691,0.0
plant10,17,6532,0.03326225662420158,0.1288785678733201,0.09561631124911853,0.003752733760752136
plant25,17,6468,0.08846362646152431,0.18157262622680218,0.09310899976527787,0.013899318385181658
real,18,622,0.022217035564207066,-0.0012522185975429128,-0.02346925416174998,0.0
shuf,18,644,0.007572803489266608,0.005350863059463029,-0.002221940429803578,0.0
plant10,18,622,0.03994717400388492,0.016477919842134942,-0.02346925416174998,0.0017915937602652754
plant25,18,626,0.02660773302062362,0.025912258129572523,-0.0006954748910510955,0.03668502332345769
real,19,652,0.0641543935929024,0.0779199072651258,0.013765513672223414,0.0
shuf,19,676,0.01868729260177665,0.002017456583068844,-0.016669836018707807,0.0
plant10,19,652,0.07878758669489459,0.092553100367118,0.013765513672223414,-0.0042851191098209895
plant25,19,652,0.12200648701802509,0.11130527600374163,-0.01070121101428347,0.015947807443934536
real,20,3768,-0.02113226032134617,0.007588192700508867,0.028720453021855035,0.0
shuf,20,3860,0.02326698654514897,0.03715366719554564,0.013886680650396666,0.0
plant10,20,3768,-0.007068752838352364,0.02165170018350267,0.028720453021855035,0.001035144238361152
plant25,20,3726,0.047543028720135855,0.078657442822739,0.031114414102603145,0.03355855666530383
real,21,658,-0.01832811261892723,0.04968319656283269,0.06801130918175992,0.0
shuf,21,758,0.0037893728164587054,0.08757716681095157,0.08378779399449286,0.0
plant10,21,658,-0.01419418700181542,0.0538171221799445,0.06801130918175992,-0.01552276889312143
plant25,21,668,-0.05502037051936661,0.045052829370346804,0.10007319988971342,-0.011645534582819916
real,22,3004,0.04292409943248183,0.085330658338354,0.04240655890587217,0.0
shuf,22,3240,-0.002932663811979319,0.09320173690794624,0.09613440071992556,0.0
plant10,22,3004,0.046460866783018105,0.08886742568889028,0.04240655890587217,-0.0032407519508943494
plant25,22,3004,0.07555895274825386,0.1313714705216734,0.055812517773419536,0.020363026528856576
real,25,1264,0.13180948681047755,0.175617699181051,0.04380821237057345,0.0
shuf,25,1230,0.034978844307290896,0.13103405584229902,0.09605521153500812,0.0
plant10,25,1264,0.1520639021199096,0.19587211449048306,0.04380821237057345,0.0012526223121085422
plant25,25,1240,0.1896808581874981,0.23286367908324035,0.04318282089574225,0.0019973733389977433
real,26,4444,0.023274435518837885,0.1272088954762449,0.10393445995740701,0.0
shuf,26,4858,-0.00550069710883444,0.1253728049534674,0.13087350206230183,0.0
plant10,26,4444,0.04057764522882272,0.14451210518622973,0.10393445995740701,0.002471873035254646
plant25,26,4418,0.07728482678463887,0.18510940565715162,0.10782457887251275,0.01382224855508607
real,27,550,0.13735592719582027,0.12921031045895917,-0.008145616736861094,0.0
shuf,27,594,0.03409654154195798,0.08384588201841642,0.04974934047645844,0.0
plant10,27,550,0.1486724978086344,0.1405268810717733,-0.008145616736861094,-0.0024470937871567955
plant25,27,550,0.1355794383460429,0.15470926721601233,0.019129828869969407,0.03206308532989599
real,29,8328,0.006130097045474476,0.03024930241982149,0.024119205374347013,0.0
shuf,29,8724,0.003037662767102378,0.030841789921507174,0.027804127154404796,0.0
plant10,29,8328,0.03611430201979354,0.06023350739414055,0.024119205374347013,-0.0006568161126163652
plant25,29,8262,0.10565106445307364,0.123457961653536,0.017806897200462357,-0.011445168918098325
