a,b,r,n
7,9,0.16954963711483492,811
7,10,-0.27618986504628373,691
7,11,-0.3013212774016581,427
7,12,0.3439399719323579,499
7,13,0.2618539645436879,414
7,14,0.11364866921574344,556
7,15,-0.24316837258797647,350
7,16,-0.25327056849135465,722
7,17,-0.33410257918744624,591
7,18,-0.3686586613988856,546
7,19,-0.31429538713974575,953
7,20,-0.3196309583290564,696
7,21,0.2700450329593109,718
7,22,-0.22175956796221358,990
7,23,0.3421253348759128,915
7,24,0.2842201771700562,377
8,9,-0.25095636258765563,2107
8,10,0.3737582132563039,1827
8,11,0.3669455177049585,967
8,12,-0.3716148130349283,590
8,13,-0.2576943119505571,613
8,14,-0.11497351419767322,1008
8,15,0.06825933291145217,534
8,16,0.3201355937897878,1512
8,17,0.38569213051793666,1720
8,18,0.33356950207120767,1144
8,19,0.3673642378497142,2586
8,20,0.34860041642390704,1866
8,21,-0.2972157097569307,1435
8,22,0.4894499523907222,2703
8,23,-0.27836993921484104,2773
8,24,-0.28987309285550666,945
8,25,-0.4116456688931716,574
9,10,-0.3175689262213777,1919
9,11,-0.34296982811101184,1227
9,12,0.2972812214597609,583
9,13,0.23716537093229073,650
9,14,0.1036152599771146,988
9,15,-0.13937575109965034,431
9,16,-0.30237620854397135,1757
9,17,-0.2213091681400549,1864
9,18,-0.2587708810778955,1008
9,19,-0.3028966884728648,3035
9,20,-0.20501491286373577,1736
9,21,0.2762437561945265,1573
9,22,-0.20126401239372158,3007
9,23,0.21481121836837846,3484
9,24,0.29653298019399016,1082
9,25,0.20825435487162447,560
10,11,0.3057488854490147,1415
10,12,-0.35072770382915713,921
10,13,-0.34772056371967813,890
10,14,-0.22110615419691498,1543
10,15,0.048090253779485524,656
10,16,0.5271816586031526,1549
10,17,0.25313053512233324,2226
10,18,0.32100085528994404,1565
10,19,0.309279584588277,2085
10,20,0.298680415903861,2494
10,21,-0.4520681659424318,1212
10,22,0.397629737239616,2067
10,23,-0.24442833067749628,3605
10,24,-0.31412114957682197,813
10,25,-0.47027358944447534,717
10,26,0.5113973184396069,1142
10,27,-0.2664372324437938,1353
10,28,0.4746517924483517,693
10,29,0.3501540991062023,1462
10,30,0.3556712147376376,1321
10,31,0.3146612329265069,1112
11,12,-0.402956444902372,591
11,13,-0.34037092152312814,589
11,14,-0.09689628406745913,1045
11,15,0.1333080697114738,404
11,16,0.3485666002161257,804
11,17,0.5605396693080471,1668
11,18,0.42612429096564003,1057
11,19,0.4723917857817647,1295
11,20,0.3754753125597569,1489
11,21,-0.27885340540477765,745
11,22,0.4096408313294233,1359
11,23,-0.2950328435910603,1983
11,24,-0.5207353776817288,613
11,25,-0.2256858411690408,546
11,26,0.40510355467840237,556
11,27,-0.28515440392709107,821
11,28,0.30146154152089055,403
11,29,0.4867703501622332,891
11,30,0.430443347390868,859
11,31,0.3907509471981319,541
12,13,0.4446463365807542,757
12,14,0.2725234051851755,887
12,15,-0.1246869056079643,524
12,16,-0.3209565689008614,494
12,17,-0.28741583648833907,728
12,18,-0.3526554673968575,673
12,19,-0.35825437257917897,686
12,20,-0.31796671912114155,965
12,21,0.43441683669822656,647
12,22,-0.37397536677434423,694
12,23,0.1955664609206666,1086
12,24,0.3861642911362321,340
12,25,0.1666405876704686,363
12,26,-0.2327323023109743,430
12,27,0.23275149199244402,483
12,28,-0.39462937134024006,463
12,29,-0.355216133816787,554
12,30,-0.2831713957625232,522
12,31,-0.23054896990709076,405
13,14,0.2625908262694418,738
13,15,-0.18953496971672662,467
13,16,-0.34705133143135186,508
13,17,-0.3128709555799499,756
13,18,-0.3093451317527855,632
13,19,-0.3593112184538626,720
13,20,-0.2894899903083245,902
13,21,0.50927637140293,751
13,22,-0.21771163727814377,713
13,23,0.30771081425641755,1168
13,24,0.34458278245832513,350
13,25,0.27008241958872203,378
13,26,-0.2850079397901178,333
13,27,0.2370669522114378,460
13,28,-0.5932932353805381,447
13,29,-0.30570015568473474,479
13,30,-0.23195683887498814,428
13,31,-0.23259239567108536,369
14,15,-0.09799005211638784,613
14,16,-0.11143054006257841,822
14,17,-0.22021640967611789,1490
14,18,-0.2196617415202259,1237
14,19,-0.3053719700147179,1268
14,20,-0.21266650323189154,1931
14,21,0.29496766477234093,766
14,22,-0.26547940563906136,1163
14,23,0.01985265541819645,1988
14,24,0.11773583145370009,570
14,25,0.25876764015913284,561
14,26,-0.12142328256986698,641
14,27,0.07912883376230086,830
14,28,-0.25094481936385693,531
14,29,-0.3059075148918245,1009
14,30,-0.26556935578091,856
14,31,-0.1356061031280923,718
15,16,0.15827484931318275,343
15,17,0.0833130121443167,545
15,18,0.11900238411115331,521
15,19,0.2054417269727585,531
15,20,0.08144866653393502,878
15,21,-0.32883869510846747,541
15,22,0.07435031512929124,570
15,23,-0.08150038309012342,825
15,25,-0.15612944914372526,340
15,28,-0.23738584698114726,326
15,29,-0.2059959550395877,359
15,30,-0.14243802876984418,362
15,31,-0.29957750942303285,319
16,17,0.2979003398063038,1264
16,18,0.28112514996237503,836
16,19,0.28693343181189757,1923
16,20,0.22472715717281966,1261
16,21,-0.3512211699370247,994
16,22,0.35570960481325475,1886
16,23,-0.36486716327226765,2095
16,24,-0.29395272667223915,748
16,25,-0.2612520341931353,407
17,18,0.5479568462609461,2014
17,19,0.5825551164932679,2598
17,20,0.4874278392159257,2868
17,21,-0.2518460068863285,1104
17,22,0.5195207635738095,2392
17,23,-0.3134198350630825,3566
17,24,-0.42409315093883565,1019
17,25,-0.2155908652898349,888
17,26,0.30673054321874044,877
17,27,-0.19074620475829118,1242
17,28,0.25559873010405326,549
17,29,0.6036383253472248,1656
17,30,0.5088836024329082,1429
17,31,0.3511351279256501,973
18,19,0.6140572896474028,1498
18,20,0.5593082178566091,2199
18,21,-0.3194314793945807,677
18,22,0.3984277171183577,1289
18,23,-0.25865238563324683,2130
18,24,-0.39794543746446304,580
18,25,-0.21173195165547537,716
18,26,0.33765702318421675,787
18,27,-0.2839727355700791,903
18,28,0.3456698418923484,433
18,29,0.637027670324661,1295
18,30,0.3873705050666935,1080
18,31,0.2857777532101736,915
19,20,0.5423168278044581,2407
19,21,-0.339075649000112,1691
19,22,0.42040505491564284,3385
19,23,-0.2903285857308624,3575
19,24,-0.45071488136337984,1288
19,25,-0.31927499571124535,653
20,21,-0.36419137273873575,1243
20,22,0.3141956161979212,2134
20,23,-0.2230607126852016,3539
20,24,-0.3717697360218865,913
20,25,-0.18912722709711272,911
20,26,0.2856871393991236,977
20,27,-0.1880070089366916,1328
20,28,0.34084456691525655,717
20,29,0.5938833599176481,1816
20,30,0.35261025227881126,1442
20,31,0.3464558219269263,1222
21,22,-0.3026476812699185,1649
21,23,0.26107917212386694,1780
21,24,0.3522622679344309,680
21,25,0.27952729313939106,348
22,23,-0.3418688836791364,3646
22,24,-0.2751777539922367,1364
22,25,-0.45261508259260785,709
23,24,0.26839581272139956,1277
23,25,0.23599472256197276,1129
23,26,-0.32269642089180245,1353
