q,draw,world,v,v_ref,n,m,planted_pp
13,0,plant0.2,0.2456423038218229,0.2456423038218229,8648,19,29.718043567334878
17,0,real,0.1685100931683438,0.1685100931683438,1367,10,
17,0,nullnull,0.1685100931683438,0.1685100931683438,1367,10,
17,1,real,0.1685100931683438,0.1685100931683438,1367,10,
17,1,nullnull,0.16851009316834378,0.1685100931683438,1367,10,
17,2,real,0.1685100931683438,0.1685100931683438,1367,10,
17,2,nullnull,0.1685100931683438,0.1685100931683438,1367,10,
17,0,plant0.05,0.19999451980731542,0.19999451980731542,1367,10,9.278161988200145
17,0,plant0.1,0.21137669258846387,0.2113766925884638,1367,10,17.262740093661474
17,0,plant0.2,0.23302550248309176,0.23302550248309176,1367,10,28.451500471696534
19,0,real,0.182046829783542,0.18204682978354197,3805,19,
19,0,nullnull,0.18204682978354197,0.18204682978354197,3805,19,
19,1,real,0.182046829783542,0.182046829783542,3805,19,
19,1,nullnull,0.18204682978354197,0.182046829783542,3805,19,
19,2,real,0.182046829783542,0.182046829783542,3805,19,
19,2,nullnull,0.182046829783542,0.182046829783542,3805,19,
19,0,plant0.05,0.22805313976081668,0.22805313976081668,3805,19,10.843107302652461
19,0,plant0.1,0.23614508508744644,0.23614508508744644,3805,19,19.53433142696887
19,0,plant0.2,0.25407725116073143,0.25407725116073143,3805,19,30.58582857712623
29,0,real,0.17842055296145745,0.17842055296145745,5388,22,
29,0,nullnull,0.17842055296145745,0.17842055296145745,5388,22,
29,1,real,0.17842055296145745,0.17842055296145745,5388,22,
29,1,nullnull,0.17842055296145745,0.17842055296145745,5388,22,
29,2,real,0.17842055296145745,0.17842055296145745,5388,22,
29,2,nullnull,0.17842055296145745,0.17842055296145745,5388,22,
29,0,plant0.05,0.22713926479082397,0.22713926479082397,5388,22,9.947413909417593
29,0,plant0.1,0.23463871182969964,0.23463871182969964,5388,22,18.60293182327245
29,0,plant0.2,0.2541677479888294,0.2541677479888294,5388,22,29.898512641722576
39,0,real,0.20237955247764816,0.20237955247764816,1703,12,
39,0,nullnull,0.20237955247764816,0.20237955247764816,1703,12,
39,1,real,0.20237955247764816,0.20237955247764816,1703,12,
39,1,nullnull,0.20237955247764816,0.20237955247764816,1703,12,
39,2,real,0.20237955247764816,0.20237955247764816,1703,12,
39,2,nullnull,0.20237955247764816,0.20237955247764816,1703,12,
39,0,plant0.05,0.2476898890737973,0.24768988907379727,1703,12,10.05369362268293
39,0,plant0.1,0.2556549845247472,0.2556549845247472,1703,12,18.595951123943884
39,0,plant0.2,0.26937998128891844,0.26937998128891844,1703,12,29.677311096490655
42,0,real,0.1731089940024989,0.17310899400249893,1665,18,
42,0,nullnull,0.17310899400249893,0.17310899400249893,1665,18,
42,1,real,0.1731089940024989,0.17310899400249893,1665,18,
42,1,nullnull,0.1731089940024989,0.17310899400249893,1665,18,
42,2,real,0.1731089940024989,0.1731089940024989,1665,18,
42,2,nullnull,0.17310899400249893,0.1731089940024989,1665,18,
42,0,plant0.05,0.2206191326024768,0.22061913260247676,1665,18,10.953656375661227
42,0,plant0.1,0.23080296104206707,0.23080296104206707,1665,18,20.02114546320712
42,0,plant0.2,0.25205933524527424,0.2520593352452742,1665,18,31.32830460534919
48,0,real,0.18802389746940745,0.18802389746940745,2915,10,
48,0,nullnull,0.18802389746940742,0.18802389746940745,2915,10,
48,1,real,0.18802389746940745,0.1880238974694074,2915,10,
