seed,world,n,p50,p75,p90,p95,p99
2,f0.15c0.25,9175,0.7130273683086916,0.799837162869837,0.8824219030741302,0.9315195712954091,1.0414133170116187
2,f0.15c0.5,9175,0.722268141127914,0.8180799756009216,0.9178693857858442,0.985718999120901,1.1438154289840645
2,f0.15c1.0,9175,0.7284902542191074,0.8427522993098171,1.0548118547383263,1.1432665695731523,1.3375941605476787
2,f0.22c0.25,9175,0.7187688905556238,0.8076240113131808,0.8914610263412635,0.9432925154265674,1.066416898968323
2,f0.22c0.5,9175,0.733838397936496,0.8368767063429501,0.9442100455093763,1.0097113867600793,1.179798932575562
2,f0.22c1.0,9175,0.7442170207021228,0.8947039325012216,1.1044221083059411,1.1867435804925428,1.3929483824917805
2,f0.32c0.25,9175,0.7284642532774028,0.8230385033385756,0.9056739633907619,0.9575629415682433,1.08133943660127
2,f0.32c0.5,9175,0.7521839116616138,0.8655105064302386,0.9768948277173192,1.048712017464148,1.2190404406583488
2,f0.32c1.0,9175,0.7737185753209121,1.0081597826541389,1.149997795892845,1.2401026533495545,1.4515153925991993
2,f0.45c0.25,9175,0.7427014112198654,0.8393375197253492,0.9211169056240347,0.9719770285550429,1.0961358561460381
2,f0.45c0.5,9175,0.782179181475515,0.9032182843533427,1.0093325329412859,1.0804225663534355,1.2621268439602837
2,f0.45c1.0,9175,0.8475671243403937,1.0752943298566309,1.187197944523075,1.2830172186365014,1.486722037520931
3,real,9175,0.6998812830689709,0.7975595040446073,0.8893020771580599,0.9519626504339482,1.070611356338061
3,cb,9175,0.6991772439146864,0.7801891579255384,0.8549476063392869,0.895747326220736,0.9940598277055253
3,f0.0c0.25,9175,0.6991772439146864,0.7801891579255384,0.8549476063392869,0.895747326220736,0.9940598277055253
3,f0.0c0.5,9175,0.6991772439146864,0.7801891579255384,0.8549476063392869,0.895747326220736,0.9940598277055253
3,f0.0c1.0,9175,0.6991772439146864,0.7801891579255384,0.8549476063392869,0.895747326220736,0.9940598277055253
3,f0.1c0.25,9175,0.7080668395779466,0.7925180485606493,0.8714762373846836,0.9187528827486541,1.0247449965797444
3,f0.1c0.5,9175,0.7128324271388562,0.8031714491490386,0.8918143505055043,0.9612251120926971,1.0935510636933017
3,f0.1c1.0,9175,0.7158195519769442,0.8160827852801599,0.9695333779589871,1.0929667675572188,1.287882758334478
3,f0.15c0.25,9175,0.7123909474432051,0.7995824854314677,0.8786892630460845,0.9308835788615606,1.051995833018895
3,f0.15c0.5,9175,0.7202404531402311,0.8189119204596873,0.9182994448699403,0.9890887818191622,1.128800612174585
3,f0.15c1.0,9175,0.7251677858088039,0.8420749312482393,1.0426135922717488,1.1411295062407683,1.3445623962737305
3,f0.22c0.25,9175,0.7195351347976208,0.808330514546588,0.8876324658116105,0.9440949569240247,1.0606189820770797
3,f0.22c0.5,9175,0.7308963459943952,0.8376406447932485,0.9433755409661472,1.012544311588795,1.1548026432610825
3,f0.22c1.0,9175,0.7412897456885794,0.8927351599155469,1.101792681114161,1.185390594506467,1.400209501061164
3,f0.32c0.25,9175,0.728200994669294,0.8211735802662146,0.9045044387311384,0.9617588331619275,1.074401504144474
3,f0.32c0.5,9175,0.750150942090908,0.865653671968726,0.9779941458721861,1.0401023588694172,1.1971451275814216
3,f0.32c1.0,9175,0.7739039727775666,1.0097714286574333,1.1493216143051572,1.2329998684748367,1.4530894504473086
3,f0.45c0.25,9175,0.7415991726922773,0.8364507938357484,0.9198061026035956,0.9749819448417867,1.1138046917998612
3,f0.45c0.5,9175,0.7804492835742305,0.8999122998464122,1.006325307299775,1.0650801669201984,1.2239161313619427
3,f0.45c1.0,9175,0.8453319961316617,1.0720120099924586,1.1930899277944211,1.2846338259867867,1.4817862321065083
4,real,9175,0.6998812830689709,0.7975595040446073,0.8893020771580599,0.9519626504339482,1.070611356338061
4,cb,9175,0.7029244261555704,0.780554808554993,0.8554660944825108,0.8999898561814302,0.9893919689691751
4,f0.0c0.25,9175,0.7029244261555704,0.780554808554993,0.8554660944825108,0.8999898561814302,0.9893919689691751
4,f0.0c0.5,9175,0.7029244261555704,0.780554808554993,0.8554660944825108,0.8999898561814302,0.9893919689691751
4,f0.0c1.0,9175,0.7029244261555704,0.780554808554993,0.8554660944825108,0.8999898561814302,0.9893919689691751
4,f0.1c0.25,9175,0.7106933125424576,0.7939858215081405,0.8730150935254698,0.9211266422987869,1.0278872126436391
4,f0.1c0.5,9175,0.7167570644847133,0.8048037526208824,0.899803051878136,0.9657310256193369,1.104170022269673
4,f0.1c1.0,9175,0.7198329434453364,0.8166687374935604,0.9841060426488881,1.1154929901689274,1.320212264252496
4,f0.15c0.25,9175,0.7156195674447934,0.8002620342012555,0.8836244143310353,0.93199558586474,1.0492868792464356
4,f0.15c0.5,9175,0.7248786825934773,0.8207977300284264,0.9219087797161238,0.9934223327113515,1.154084235144236
