seed,a,b,tier,cca,null
1,29,55,tier4 all other pairs,0.18108037920584913,0.04056980975300918
1,29,62,tier4 all other pairs,0.18699873310770768,0.057518200303379556
1,29,63,tier4 all other pairs,0.3101766965480394,0.053339403827988775
1,29,67,tier4 all other pairs,0.33523236748400054,0.06650229161171527
1,29,73,tier4 all other pairs,0.5187470089099586,0.05410272426444642
1,29,77,tier4 all other pairs,0.3344696953605911,0.03968423354122398
1,29,79,tier4 all other pairs,0.40385620004896655,0.03271301705315133
1,29,81,tier4 all other pairs,0.3007600921127191,0.06559540261101887
1,29,83,tier3 fluid<->non-fluid,0.5295130536026595,0.07748540529977849
1,29,85,tier4 all other pairs,0.5127200161381485,0.029479287504237416
1,29,90,tier4 all other pairs,0.16831553411785038,0.06575622549551206
1,29,91,tier4 all other pairs,0.4546757072784232,0.06426091053825234
1,29,92,tier4 all other pairs,0.3541444840147474,0.05464378391688144
1,29,93,tier4 all other pairs,0.23605994367444003,0.03845366938847652
1,29,96,tier4 all other pairs,0.3553798944284492,0.04629665422355355
1,36,48,tier4 all other pairs,0.2779657739872555,0.059835602553823315
1,36,53,tier4 all other pairs,0.26255850933897384,0.0618357810508174
1,36,55,tier4 all other pairs,0.6137750284858993,0.053511011050704375
1,36,62,tier4 all other pairs,0.2997616875031402,0.04650934385239321
1,36,63,tier4 all other pairs,0.6748502677572258,0.07284864572723401
1,36,67,tier4 all other pairs,0.1770077404532681,0.05387299553227089
1,36,73,tier4 all other pairs,0.31521496944083555,0.07513255106401949
1,36,77,tier4 all other pairs,0.5725990265517975,0.05623549953955383
1,36,79,tier4 all other pairs,0.228142090441509,0.03513835221531864
1,36,81,tier4 all other pairs,0.1598899741766464,0.16597351879984495
1,36,90,tier4 all other pairs,0.1285164281145226,0.11269758086491276
1,36,92,tier4 all other pairs,0.6322120341035153,0.07272346646535713
1,36,93,tier4 all other pairs,0.4979759981727486,0.04020649870168915
1,39,42,tier4 all other pairs,0.45038066795294024,0.05038220473089019
1,39,48,tier4 all other pairs,0.2940970954784252,0.11151063812851238
1,39,55,tier4 all other pairs,0.17144708047558924,0.043282168014951744
1,39,62,tier4 all other pairs,0.28875804603523314,0.029627475143029946
1,39,63,tier4 all other pairs,0.31429006927430286,0.1616355939228869
1,39,67,tier4 all other pairs,0.16810960104587078,0.06754911172893592
1,39,73,tier4 all other pairs,0.31917032660748795,0.07105140408268164
1,39,77,tier4 all other pairs,0.15883325719130717,0.014233726843967532
1,39,79,tier4 all other pairs,0.24112808377555608,0.05236514176829787
1,42,48,tier4 all other pairs,0.18299297195214018,0.04222655789952716
1,42,55,tier4 all other pairs,0.2522505182505122,0.09416167254159122
1,42,62,tier4 all other pairs,0.23550039604057244,0.06581054095631358
1,42,63,tier4 all other pairs,0.26974142027566983,0.12241465285749913
1,42,67,tier4 all other pairs,0.29051474885139944,0.11500633193639981
1,42,73,tier4 all other pairs,0.6680080026146636,0.04901324579073502
1,42,77,tier4 all other pairs,0.3113809064357299,0.06782966789671302
1,42,79,tier4 all other pairs,0.32976828290135407,0.033415450547523325
1,48,51,tier4 all other pairs,0.052330037186346115,0.08983748956641792
1,48,53,tier4 all other pairs,0.14028623711118127,0.08787278101584488
1,48,55,tier4 all other pairs,0.15568037234655077,0.03181655388242049
1,48,62,tier4 all other pairs,0.21170669515431556,0.08532484653818898
1,48,63,tier4 all other pairs,0.1982868548130424,0.041832404103628845
1,48,67,tier4 all other pairs,0.3304374404580738,0.04498874162454772
1,48,73,tier4 all other pairs,0.12987777493414074,0.04666948626287031
1,48,77,tier4 all other pairs,0.19184651840167388,0.02986534576178575
1,48,79,tier4 all other pairs,0.23261484946326438,0.021672023760216555
1,48,85,tier4 all other pairs,0.16511198121505083,0.06889851080473691
1,48,90,tier4 all other pairs,0.12557371978806892,0.05492543970265733
1,48,92,tier4 all other pairs,0.28657673767286856,0.09521102021039998
1,48,93,tier4 all other pairs,0.3314200219918163,0.09364907417166189
1,48,96,tier4 all other pairs,0.1134237976558854,0.049846561086208274
1,51,67,tier4 all other pairs,0.08633022350513085,0.07503309875712004
1,51,79,tier4 all other pairs,0.05851471326091942,0.060067057196776304
1,53,55,tier4 all other pairs,0.1954471222959948,0.058235516676807535
1,53,62,tier4 all other pairs,0.34553614030554447,0.04283506143686749
1,53,63,tier4 all other pairs,0.28521763132644234,0.015065049928897472
1,53,67,tier4 all other pairs,0.19344974863767772,0.07710662797283134
1,53,73,tier4 all other pairs,0.3770095265977537,0.08839849141041281
1,53,77,tier4 all other pairs,0.2867964856980572,0.05108322863303534
1,53,79,tier4 all other pairs,0.3490595637004281,0.05626099229030424
1,53,81,tier4 all other pairs,0.301917593495884,0.06445053085037285
1,55,62,tier4 all other pairs,0.32582661309973376,0.03649805305420143
1,55,63,tier4 all other pairs,0.3144119575011525,0.03365457558013724
1,55,67,tier4 all other pairs,0.30542001356613746,0.026817461780147413
1,55,73,tier4 all other pairs,0.22271611955814444,0.07417508669760371
1,55,77,tier4 all other pairs,0.5509988528890906,0.04651846526640957
1,55,79,tier4 all other pairs,0.22224426576109058,0.02394308922489086
1,55,81,tier4 all other pairs,0.3858649786138164,0.03607692883878064
1,55,83,tier3 fluid<->non-fluid,0.13607178400342562,0.1094711926783221
1,55,85,tier4 all other pairs,0.1623921025759741,0.10277259211741882
1,55,90,tier4 all other pairs,0.11939711271702393,0.08211232495093172
1,55,92,tier4 all other pairs,0.3148178704326314,0.03043681481461187
1,55,93,tier4 all other pairs,0.4127367107755939,0.053160962882333594
1,55,96,tier4 all other pairs,0.23436834677598897,0.07668607818404033
1,62,63,tier4 all other pairs,0.35122418559687074,0.07543030683323305
1,62,67,tier4 all other pairs,0.2868007300244937,0.013719285826946155
1,62,73,tier4 all other pairs,0.18449844588358114,0.08439395961265367
1,62,77,tier4 all other pairs,0.2437218281699344,0.0435190057268742
1,62,79,tier4 all other pairs,0.20099492688413365,0.05883127516276222
1,62,83,tier3 fluid<->non-fluid,0.11790748189033166,0.03350374062671203
1,62,85,tier4 all other pairs,0.2863292023378721,0.04333976271780638
1,62,90,tier4 all other pairs,0.13908914211883508,0.0723059356219116
1,62,92,tier4 all other pairs,0.49752370716849076,0.058573209281651516
1,62,93,tier4 all other pairs,0.3206280527544977,0.05584366694281951
1,62,96,tier4 all other pairs,0.7122761904789808,0.043949181935989345
1,63,67,tier4 all other pairs,0.31372399943809515,0.043889021217780204
1,63,73,tier4 all other pairs,0.3288280431719551,0.03760854542943065
1,63,77,tier4 all other pairs,0.2949198458840751,0.008692668762396763
1,63,79,tier4 all other pairs,0.1719221263360564,0.01146616567912537
1,63,81,tier4 all other pairs,0.1363717844642647,0.08431844518136304
1,63,83,tier3 fluid<->non-fluid,0.17665776898216187,0.03848987572176023
1,67,73,tier4 all other pairs,0.30570475013470677,0.058876116335861636
1,67,77,tier4 all other pairs,0.2391652724668224,0.04651320707077199
1,67,79,tier4 all other pairs,0.26939694226513156,0.01866164540621461
1,67,81,tier4 all other pairs,0.4681850587708072,0.06740781491236521
1,67,83,tier3 fluid<->non-fluid,0.35534284304751845,0.061888029118085955
1,67,85,tier4 all other pairs,0.09434886693241325,0.01804261476321244
1,67,90,tier4 all other pairs,0.12641101862147233,0.08167210495493778
1,67,91,tier4 all other pairs,0.2663176716917854,0.10281922891904535
1,67,92,tier4 all other pairs,0.31818815613833684,0.039987128509837884
1,67,93,tier4 all other pairs,0.292970260844272,0.06925843338741916
1,67,96,tier4 all other pairs,0.3180088638204384,0.053209814247686386
1,73,77,tier4 all other pairs,0.3306762855387727,0.01619557818204209
1,73,79,tier4 all other pairs,0.3654035924228842,0.03194194845192226
