noise_0.3,noise_0.5,noise_0.7
0.533455485953383,0.5563454291563161,0.5267513607627619
0.41909165009430144,0.3833326232069723,0.3636191985480676
0.4012852881399957,0.38470889830436095,0.41909987678868993
0.4200545092049183,0.42328279063807733,0.41023169610326604
0.40896033080526434,0.41810280618083345,0.44706097069394557
0.5176527983412952,0.48008688084034046,0.45236598575533526
0.45261422717752736,0.45108655666057346,0.45499769045509497
0.44837353112549,0.4583073077790947,0.45955391228229797
0.4300571367138209,0.4226118462174699,0.4504694537512288
0.5023948798566122,0.4779831852193401,0.46604780996960626
0.4614920437564919,0.4554314788745057,0.44273697455291045
0.43447565606308275,0.4176073225454565,0.397474315992426
0.4579186453828929,0.3901598105022018,0.41365839911633523
0.4005759812618922,0.38201928601860213,0.41585207116382644
0.4945380784385523,0.4738699011169992,0.44270901648283745
0.3622661507509131,0.35984730785247176,0.3924132810211219
0.4891273051233801,0.49690485949474383,0.45830029062356104
0.40862537532921234,0.3849591732980923,0.3645536975391012
0.40939263796645703,0.3816554398989412,0.4095193988011597
0.4216367071874423,0.45452727532729514,0.4664385558120396
0.4000765152609607,0.3698646255561425,0.36444888123219354
0.470157442181572,0.4349106014633618,0.40765846601907374
0.47884309292679283,0.46536889883507204,0.48728354590618483
0.4569800687522651,0.42572205562914367,0.39186892531224493
0.4718559116248914,0.4515126969079053,0.4498057366904903
0.4736069888948781,0.46020681949058057,0.49407439799030517
0.5305173233971092,0.531818780150527,0.49603954439487696
0.4088338983558074,0.4119730937871447,0.45071364726265717
0.4787510205480304,0.4189891697413374,0.38258098402874224
0.4325087153372098,0.4284503005795237,0.4617092382930283
0.5145163030785591,0.518652511542655,0.4566785055305526
0.49432975639311155,0.47805280592224797,0.4841730100928013
0.4826163813894361,0.44768865660597335,0.39504087502245105
0.4859531674340178,0.5095451406708998,0.4704044125100517
0.4245430503240992,0.3834848241973701,0.43519883556440747
0.5744162586346993,0.576171642811698,0.6122600545212808
0.41864038430145983,0.42128518504100215,0.3818854282224761
0.43072916451875115,0.3744805283088279,0.3866271694555552
0.4663415572929094,0.46348872330559704,0.41811076291640964
0.5129324102487303,0.4716694706629851,0.42925944777521585
0.47735979279758867,0.5260471362782034,0.47465375245782737
0.39559983088076645,0.4104555396352173,0.3894284125722375
0.4499797393915193,0.4186502984286824,0.42834782011216094
0.4318853589738741,0.428944043271036,0.4299749665363544
0.5056247646514886,0.4611741275402136,0.435844717105818
0.5187811139910713,0.47501082903134373,0.453515310318348
0.39463554332850226,0.4290488583693144,0.43471226055554224
0.5070003310335292,0.43788144590526745,0.40562937791776715
0.4673565503203627,0.418428951273176,0.4311924904970763
0.47180373508121776,0.41447424326365107,0.3678996068550824
0.4002044996068564,0.4029667701412651,0.4137176053200485
0.495620794388131,0.49740533197798054,0.3994186140225188
0.5251922428558912,0.4600853386997178,0.4513009856351425
0.49175050432445055,0.43928828846289875,0.4011256596454913
0.5176646976939037,0.4671603017833078,0.4554365824048247
0.43763627106398645,0.4357486150158213,0.4487016660584866
0.43548918238657836,0.406273053508465,0.4444648558812027
0.4058444515431755,0.414333852719086,0.40430912863213303
0.47344572029642157,0.44357888255934685,0.4006757183707622
0.4636008877334235,0.47199469540709255,0.40333529436644644
0.47012753832789,0.49057104831531817,0.4299326464283957
0.5114982721654802,0.5090205309943546,0.4709551696689869
0.5119676866461795,0.46807357367729974,0.44274070589464487
0.3920920737383417,0.37506205924782204,0.4135149058981229
0.4820961146412122,0.41939911245176237,0.37413837264429534
0.48076647166258935,0.47131780204034507,0.4195890612149752
0.41429825835877304,0.4560011657281723,0.46884418337369915
0.5253590933769623,0.4374937967414524,0.4059920286254909
0.45412990400316433,0.4328700695491568,0.421595871164943
0.49991530554598673,0.4715353887301957,0.4148934290149311
0.48660527955113503,0.41616776481605966,0.3667812888211679
0.44085745230041873,0.41270248334284465,0.3859176154743345
0.427289252933845,0.4564981644423145,0.43682907329052983
0.47997906668767737,0.44376764118084244,0.4395026075629044
0.4586934510656355,0.41463036814603754,0.42896287229818814
0.4013581504403193,0.3627701428406218,0.41394817296291175
0.4114829052793203,0.38120941598034397,0.3989373277472625
0.3771554634933993,0.3735097620099352,0.36394537112421144
0.4426755644328894,0.43690599831684496,0.43266717596391585
0.4556518629669179,0.4425549488472694,0.43341151841388353
0.41559072696444643,0.41511968254222337,0.40585464341644584
0.45284865992361145,0.43561497894979906,0.4073909698743167
0.41304755216042843,0.38824971858472956,0.359922234681623
0.3884673145941009,0.40194394956302304,0.40211799801273307
0.4829125760354432,0.47299455237740257,0.4062890795373529
0.37121506895034834,0.37043956355810315,0.38274069184114917
0.5019153202376812,0.44463000532400593,0.4088087468529328
0.5249758478138762,0.49447980482047654,0.5038404467605041
