set,block,seed,gain,placebo,null
included [POS CTRL],51,3,0.006568415406839723,0.0,-0.015719416944089737
included [POS CTRL],51,4,0.006689062098128584,0.0,-0.009997381110791626
included [POS CTRL],53,1,0.03707919294522588,0.0,-0.0035623178630647123
included [POS CTRL],53,2,0.038553157767515445,0.0,-0.0032408950377593726
included [POS CTRL],53,3,0.04082659632256325,0.0,-0.0020901603829057702
included [POS CTRL],53,4,0.04233741274166469,0.0,-0.001967776154326195
included [POS CTRL],55,1,0.07458900034213267,0.0,-0.0013328282883188214
included [POS CTRL],55,2,0.0699048559086679,0.0,-0.00195676198345629
included [POS CTRL],55,3,0.0703560529540932,0.0,-0.0021357888578300566
included [POS CTRL],55,4,0.06734141702590835,0.0,-0.001306854941422908
included [POS CTRL],62,1,0.09403166451000189,0.0,-0.0018625202077366954
included [POS CTRL],62,2,0.09453753226226058,-1.1102230246251565e-16,-0.00382425433010658
included [POS CTRL],62,3,0.10069629939419455,0.0,-0.002781907094942082
included [POS CTRL],62,4,0.09218914559657754,0.0,-0.0010834895460765104
included [POS CTRL],63,1,0.055324827059644144,0.0,-0.003722732628570591
included [POS CTRL],63,2,0.056182983824177524,0.0,-0.0006467722244896112
included [POS CTRL],63,3,0.05350776087938547,-1.1102230246251565e-16,-0.0021489455072787322
included [POS CTRL],63,4,0.053395391192296415,-1.1102230246251565e-16,-0.00231895603108212
included [POS CTRL],67,1,0.03512949479187255,-1.1102230246251565e-16,-0.0013938415203940124
included [POS CTRL],67,2,0.035681828894369993,0.0,-0.0018122430171645387
included [POS CTRL],67,3,0.03529561658079561,0.0,-0.00029795189941062006
included [POS CTRL],67,4,0.03298885229147974,0.0,-0.0016961975903545534
included [POS CTRL],73,1,0.03371450752587157,0.0,-0.0033588383991725035
included [POS CTRL],73,2,0.029136004045391517,0.0,-0.002687074632743758
included [POS CTRL],73,3,0.031234740973876685,1.1102230246251565e-16,-0.0036355676024534267
included [POS CTRL],73,4,0.03109004195686582,0.0,-0.0026277118003475985
included [POS CTRL],77,1,0.10719869865681497,1.1102230246251565e-16,-0.002858793323565534
included [POS CTRL],77,2,0.10657742375184442,0.0,-0.0012212621588371109
included [POS CTRL],77,3,0.10515420236567208,0.0,-0.001556947564417377
included [POS CTRL],77,4,0.1058491309499221,-1.1102230246251565e-16,-0.0014236025038534272
included [POS CTRL],79,1,0.08428606252439796,0.0,-0.000569717590520713
included [POS CTRL],79,2,0.08666416576931024,0.0,-0.0005892547720345309
included [POS CTRL],79,3,0.08609600664686379,0.0,-0.0008844147800124436
included [POS CTRL],79,4,0.08844595058984273,0.0,-0.00023194281862104482
included [POS CTRL],81,1,0.04438221021677535,0.0,-0.005191611044064515
included [POS CTRL],81,2,0.03346711380516498,0.0,-0.005134806182254814
included [POS CTRL],81,3,0.03557513544127999,1.1102230246251565e-16,-0.004919260120105129
included [POS CTRL],81,4,0.03568923175660943,2.220446049250313e-16,-0.0031123351914867925
included [POS CTRL],83,1,0.03721579369141037,-1.1102230246251565e-16,-0.00446362816020851
included [POS CTRL],83,2,0.024645368007732316,0.0,-0.008167601500294497
included [POS CTRL],83,3,0.03963227700393024,0.0,-0.009907940277971372
included [POS CTRL],83,4,0.030972313276251717,-1.1102230246251565e-16,-0.010252153722485446
included [POS CTRL],85,1,0.03754712488726153,0.0,-0.003916440017819212
included [POS CTRL],85,2,0.02796669566561094,2.220446049250313e-16,-0.006981314592677368
included [POS CTRL],85,3,0.03301368031112939,0.0,-0.004820228205160926
included [POS CTRL],85,4,0.036792218764614026,0.0,-0.0043987312546679425
included [POS CTRL],90,1,0.01476081310509969,0.0,-0.0020330162636585936
included [POS CTRL],90,2,0.01233931567731228,0.0,-0.0030124536982836236
included [POS CTRL],90,3,0.01573754145316575,0.0,-0.0008888399015162252
included [POS CTRL],90,4,0.018540686586716704,0.0,-0.0022529533220586595
included [POS CTRL],91,1,0.022275528723339044,0.0,-0.006028706155377428
included [POS CTRL],91,2,0.009847860744831682,0.0,-0.0037181933619749863
included [POS CTRL],91,3,0.018465078739052343,0.0,-0.01046937418876781
included [POS CTRL],91,4,0.02710840522958191,0.0,-0.004257022158929091
included [POS CTRL],92,1,0.05944336106125403,0.0,-0.003872637671647916
included [POS CTRL],92,2,0.06197283773518103,0.0,-0.0023821192955764126
included [POS CTRL],92,3,0.053946817537456004,0.0,-0.0016408684210954538
included [POS CTRL],92,4,0.05577873996116123,0.0,-0.0030528688203920185
included [POS CTRL],93,1,0.08887449472479747,0.0,-0.0025679544671481924
included [POS CTRL],93,2,0.0916942342557453,0.0,-0.002800166692957906
included [POS CTRL],93,3,0.08795173375899656,0.0,-0.0025277649768351562
included [POS CTRL],93,4,0.09078042841220124,0.0,-0.002736730386275643
included [POS CTRL],96,1,0.03371717111463879,0.0,-0.0019011112629959692
included [POS CTRL],96,2,0.040010342627341156,0.0,-0.0015788248930691529
included [POS CTRL],96,3,0.03195814482472803,0.0,-0.0020952248550725194
included [POS CTRL],96,4,0.03454866852220162,0.0,-0.006409935218243179
excluded,0,1,0.029125829892981958,2.220446049250313e-16,-0.0007087269070725766
excluded,0,2,0.02744071421053107,0.0,-0.00021562922303219878
excluded,0,3,0.024408986947443645,0.0,-0.0005493946572091568
excluded,0,4,0.024686900706901382,0.0,-0.0009159206997549907
excluded,6,1,0.005046600690350345,2.220446049250313e-16,-0.007882796939923775
excluded,6,2,0.0085366019524874,1.1102230246251565e-16,-0.009250648312732035
excluded,6,3,0.00894557680944863,0.0,-0.006409026986283317
