block,baseline,seed,gain,null_gain
17,propensity+coverage_pcs,4,0.014847202079513844,-0.004922907416943345
17,propensity+coverage_pcs,14,0.031227689533119052,-0.008375209151327723
17,propensity+coverage_pcs,24,0.025592758908832502,-0.008094451617877807
17,propensity+full_coverage,4,0.007385151544281987,-0.005148964795604782
17,propensity+full_coverage,14,0.0246304960955277,-0.009915518205989904
17,propensity+full_coverage,24,0.014111577655625984,-0.01017427199012022
19,propensity,4,0.033984956867939786,-0.0020077398831956916
19,propensity,14,0.037556475387943156,-0.0032451407265960963
19,propensity,24,0.030695780230646008,-0.0020684732287967744
19,propensity+n_blocks,4,0.031599209941190476,-0.001979331466238632
19,propensity+n_blocks,14,0.034486217190133894,-0.0030729901283251815
19,propensity+n_blocks,24,0.02745807376381959,-0.0018961953937136622
19,propensity+coverage_pcs,4,0.023594536208384587,-0.0018979907758759351
19,propensity+coverage_pcs,14,0.024908260358200485,-0.0029446652850896315
19,propensity+coverage_pcs,24,0.0208066094650583,-0.0016171885348228443
19,propensity+full_coverage,4,0.018062243573154335,-0.0015653265163758645
19,propensity+full_coverage,14,0.019750536691854448,-0.0031842613362349503
19,propensity+full_coverage,24,0.016147983475271466,-0.0015014781352384876
20,propensity,4,0.009031603211628325,-0.0012102362625934227
20,propensity,14,0.011897486795044876,-0.0020145072183035406
20,propensity,24,0.010331973002544403,-0.0014105395512624685
20,propensity+n_blocks,4,0.003512462695116181,-0.0013050867899929708
20,propensity+n_blocks,14,0.005240817410287146,-0.00197605060790651
20,propensity+n_blocks,24,0.006885345868905768,-0.0013721421952689328
20,propensity+coverage_pcs,4,0.0008725629699933846,-0.0012916026316743823
20,propensity+coverage_pcs,14,0.0028521781094066334,-0.0020441157574287994
20,propensity+coverage_pcs,24,0.0037706162839635793,-0.0013960663698258102
20,propensity+full_coverage,4,0.00018616172748253668,-0.0012270878675068042
20,propensity+full_coverage,14,0.0013627783326568554,-0.002202578132891153
20,propensity+full_coverage,24,0.003349171796921846,-0.0012864130094363269
29,propensity,4,0.041551579307640196,-0.0010101825128303599
29,propensity,14,0.0429772397902527,-0.0016350254106851647
29,propensity,24,0.04475670340313076,-0.0017129075167943153
29,propensity+n_blocks,4,0.03981227295551193,-0.001056267348192086
29,propensity+n_blocks,14,0.04092062180014999,-0.0015742129133667904
29,propensity+n_blocks,24,0.042190852347506524,-0.001699429448771661
29,propensity+coverage_pcs,4,0.032541823793751146,-0.0010792190695591009
29,propensity+coverage_pcs,14,0.03315164249184943,-0.0015074273406091576
29,propensity+coverage_pcs,24,0.03591903349820369,-0.0019043526517644738
29,propensity+full_coverage,4,0.02357170975176337,-0.001061735337148928
29,propensity+full_coverage,14,0.024175348518783224,-0.001481988481063512
29,propensity+full_coverage,24,0.02533688626154129,-0.0018426711363705994
36,propensity,4,0.04152336050537209,-0.004729295097166242
36,propensity,14,0.041098142724640074,-0.0014937691739731473
36,propensity,24,0.04317741281449139,-0.0033172828204277582
36,propensity+n_blocks,4,0.03472224923057954,-0.004565209995155084
36,propensity+n_blocks,14,0.0353318327079889,-0.0018311364168706046
36,propensity+n_blocks,24,0.038948452835845804,-0.003367107406898162
36,propensity+coverage_pcs,4,0.016275813385294047,-0.004560186844740688
36,propensity+coverage_pcs,14,0.019492863744259514,-0.0017947336384835921
36,propensity+coverage_pcs,24,0.023741362053763204,-0.0035374245870957166
36,propensity+full_coverage,4,0.013079481575978935,-0.004960771960281218
36,propensity+full_coverage,14,0.016659059028270695,-0.0018577471657061917
36,propensity+full_coverage,24,0.018525094950603616,-0.0035249378650864527
39,propensity,4,0.02700746052696834,-0.004603500841121599
39,propensity,14,0.027241522107497307,-0.006355455901433604
39,propensity,24,0.02380994545412729,-0.0012314702380065157
39,propensity+n_blocks,4,0.021345447601099465,-0.004618486788211418
39,propensity+n_blocks,14,0.025325072633620604,-0.006343304857162613
39,propensity+n_blocks,24,0.0197444518611668,-0.0011594669066483654
39,propensity+coverage_pcs,4,0.018683607675107017,-0.004412357872486172
39,propensity+coverage_pcs,14,0.020822788306955164,-0.006212841313714024
39,propensity+coverage_pcs,24,0.01439845853396271,-0.000817043988080357
39,propensity+full_coverage,4,0.012981217650860799,-0.0032385423147474057
39,propensity+full_coverage,14,0.008098365987073808,-0.006351959573257737
39,propensity+full_coverage,24,0.010760989235979568,-0.0011154768657348768
42,propensity,4,0.03711145289925766,-0.00404363508569161
42,propensity,14,0.035491149706876834,-0.00831713740971507
42,propensity,24,0.03917748117549147,-0.005554221911590496
42,propensity+n_blocks,4,0.034158612643315656,-0.003945775581825073
42,propensity+n_blocks,14,0.03218262179452025,-0.007723480870837851
42,propensity+n_blocks,24,0.033790519695967025,-0.005698054764038396
42,propensity+coverage_pcs,4,0.0241637358383483,-0.002645762665412721
42,propensity+coverage_pcs,14,0.02085648359310066,-0.008852666136584753
42,propensity+coverage_pcs,24,0.02624573832092969,-0.005696977113534452
42,propensity+full_coverage,4,0.017017001947951527,-0.004227052963045708
42,propensity+full_coverage,14,0.018552349585846395,-0.008587719325575671
42,propensity+full_coverage,24,0.017638236538681018,-0.006445940225387248
48,propensity,4,0.03537249583897606,-0.004790523262343749
48,propensity,14,0.022282036184659626,-0.0015314413973885888
48,propensity,24,0.015419139876172161,-0.0031394233720987152
48,propensity+n_blocks,4,0.0327310732586491,-0.004787638170674402
48,propensity+n_blocks,14,0.022886176966444904,-0.001589343526516629
48,propensity+n_blocks,24,0.016271042965436022,-0.003155710715464388
48,propensity+coverage_pcs,4,0.020112196262294102,-0.00510595269088121
48,propensity+coverage_pcs,14,0.01272163658000014,-0.0016252357834316555
48,propensity+coverage_pcs,24,0.01347000379798402,-0.003330191078495859
48,propensity+full_coverage,4,0.016765245545660834,-0.004758907485843955
48,propensity+full_coverage,14,0.010385098259020564,-0.0022027835397945283
48,propensity+full_coverage,24,0.007176486151277528,-0.003697269632856437
51,propensity,4,0.0034156405545047175,-0.009589131908141812
51,propensity,14,-0.005190056433413526,-0.008260512765334127
51,propensity,24,-7.275911460813411e-05,0.00088364273234387
51,propensity+n_blocks,4,0.0039048107163009993,-0.008708392341198357
51,propensity+n_blocks,14,-0.005987507503515732,-0.007934705428621514
51,propensity+n_blocks,24,-0.0022156974077911507,0.002004702192640373
51,propensity+coverage_pcs,4,0.0018755306551277995,-0.007312172894711089
51,propensity+coverage_pcs,14,-0.006772450159261867,-0.010756381938060722
51,propensity+coverage_pcs,24,-0.005209131260389466,0.0005284360658911469
51,propensity+full_coverage,4,-0.004299212143293207,-0.00915252294196267
51,propensity+full_coverage,14,-0.007125719059712932,-0.011219554142665844
51,propensity+full_coverage,24,-0.006497740787535622,0.0010349877696175236
53,propensity,4,0.04061238762529351,-0.0019542766149831525
53,propensity,14,0.04164498516357917,-0.004012429320901401
53,propensity,24,0.044176701984666056,-0.002200305571485206
53,propensity+n_blocks,4,0.03635923982161504,-0.0019232275554836864
53,propensity+n_blocks,14,0.03694320835161258,-0.003939808505752818
53,propensity+n_blocks,24,0.03812777908341247,-0.0023068473084139063
53,propensity+coverage_pcs,4,0.026681277082004295,-0.0019320216113979383
53,propensity+coverage_pcs,14,0.02854761149970575,-0.0038006207846691398
53,propensity+coverage_pcs,24,0.027590197746003686,-0.0019144612106929415
53,propensity+full_coverage,4,0.02202153898441206,-0.002004674825278774
53,propensity+full_coverage,14,0.019524393299171106,-0.0035026153460531173
53,propensity+full_coverage,24,0.022002846469036386,-0.0022936012549398255
55,propensity,4,0.041341624357709605,-0.0012093602751521715
55,propensity,14,0.04177120247165178,-0.0017208364879848226
55,propensity,24,0.04185004832980588,-0.0012298355289743768
55,propensity+n_blocks,4,0.03498158955054098,-0.001312127866218482
55,propensity+n_blocks,14,0.03332321506101377,-0.0016263335984643135
55,propensity+n_blocks,24,0.03320697677551976,-0.0011358809948613935
55,propensity+coverage_pcs,4,0.02818881822748398,-0.0012969885018212501
55,propensity+coverage_pcs,14,0.02742672258123402,-0.0014712775688425772
55,propensity+coverage_pcs,24,0.02778943717307336,-0.0011037508352527148
