arm,cat,n,diff,early,late,dy,dc
plant_cent,10,4912,0.12842488040260253,0.1953833462868787,0.06695846588427619,0.1634608195224052,0.002655695464047869
abs_all,12,3266,0.029590978626611864,0.09262298973171613,0.06303201110510427,0.0,0.00865543683907477
cent_all,12,3428,0.029175042298920664,0.10738284519879232,0.07820780289987166,0.221120186697783,0.005607899824100038
abs_low,12,854,0.041676148347942525,-0.04770387477760193,-0.08938002312554445,0.0,-0.003914851969659794
abs_high,12,2442,0.030650650128363842,0.04139453100195097,0.01074388087358713,0.0,0.01299399806862489
shuf_abs,12,3468,0.018891748943623596,0.10325120726797486,0.08435945832435127,0.0,0.007488509012033129
shuf_cent,12,3442,-0.0005717989122847322,0.09645386835819057,0.0970256672704753,0.01917489831493313,-0.0023936101017283384
plant_abs,12,3222,0.08683742383687133,0.1561861132322511,0.06934868939537976,0.012632763911412326,0.008782901136774268
plant_cent,12,3428,0.12030284964806646,0.19851065254793812,0.07820780289987166,0.2191921756251487,0.005607899824100038
abs_all,13,2764,-0.0064968637411128224,0.047990292519117496,0.05448715626023032,0.0,-0.0065015011771821785
cent_all,13,2954,0.007012026212326196,0.05632094782802516,0.04930892161569896,0.17535545023696697,0.002213037722693323
abs_low,13,930,-0.009100705597876256,-0.03723295670922163,-0.028132251111345374,0.0,0.0044294655753490675
abs_high,13,1934,0.0425477788655421,0.04301197066875778,0.0004641918032156818,0.0,-0.0022689036719195643
shuf_abs,13,2884,0.005944352014909504,0.0563454813435873,0.050401129328677796,0.0,-0.0016457242221623591
shuf_cent,13,2970,0.028262422281599107,0.06754346367868647,0.03928104139708736,0.06599326599326583,-0.0006734006734007147
plant_abs,13,2722,0.051445606136690906,0.09754469331710998,0.04609908718041907,0.006201871442554907,-0.00470461798282662
plant_cent,13,2954,0.07079982207972094,0.12010874369541989,0.04930892161569896,0.17680194128907933,0.002213037722693323
abs_all,14,5462,-0.0013458025780048039,0.07988222373966615,0.08122802631767095,0.0,-0.011050569197221694
cent_all,14,5800,0.021375931042013394,0.08608473696200968,0.06470880591999628,0.2020689655172414,-0.0007925887802365805
abs_low,14,1524,-0.0023589470662190998,-0.03640534836154317,-0.03404640129532407,0.0,-0.02536529948681787
abs_high,14,4158,-0.001738146020729893,0.021964143203974034,0.023702289224703927,0.0,-0.0021178379387335466
shuf_abs,14,5998,-0.024629134924116114,0.08525723910710668,0.1098863740312228,0.0,-0.004056078394290674
shuf_cent,14,5888,-0.017564609067761097,0.08468626788256788,0.10225087695032897,0.010190217391304657,0.000780743024010544
plant_abs,14,5446,0.08473220511894225,0.15658551018239197,0.07185330506344972,0.02017896643274586,-0.01035403226248488
plant_cent,14,5800,0.11877993890057051,0.1834887448205668,0.06470880591999628,0.22174243275755945,-0.0007925887802365805
abs_all,15,2674,0.049343698224266506,0.04775667167594507,-0.0015870265483214352,0.0,0.004476495607229292
cent_all,15,2780,0.057708414184103496,0.04199723599123715,-0.015711178192866344,0.12949640287769748,0.0001288521421669575
abs_high,15,2270,0.03098703827157001,0.01364764856634798,-0.01733938970522203,0.0,-0.0018936156223288148
shuf_abs,15,2932,0.03544536197208557,0.03416597672264151,-0.0012793852494440612,0.0,9.162916658167486e-05
shuf_cent,15,2884,0.028923255065676202,0.022383003795804452,-0.006540251269871751,0.001386962552011095,-0.002390957832198115
plant_abs,15,2684,0.1221689679142948,0.10652559497799254,-0.015643372936302264,0.03789503737827005,0.0062949040193963635
plant_cent,15,2780,0.1269868414271782,0.11127566323431186,-0.015711178192866344,0.14430137796355424,0.0001288521421669575
abs_all,16,2490,-0.017071822372216088,-0.009321068238951458,0.00775075413326463,0.0,-0.0019301084936762525
cent_all,16,2634,-0.014627174870118591,0.010535494174213345,0.025162669044331936,0.1996962794229309,0.0033091943471708074
abs_low,16,912,0.01707592121795609,-0.0371252193989301,-0.05420114061688619,0.0,-0.0007855459544384713
abs_high,16,1664,-0.0126428539259393,-0.03172469349836545,-0.01908183957242615,0.0,-0.007301234213547669
shuf_abs,16,2726,-0.011339455292600867,0.00787904224156812,0.019218497534168988,0.0,-0.012976204815978831
shuf_cent,16,2726,0.004951140368490186,0.02618467129784574,0.021233530929355555,0.07703595011005149,-0.003405569365206307
plant_abs,16,2460,0.030563735763808258,0.055196797285397746,0.024633061521589488,0.007870225342040627,-0.0032398980706226377
plant_cent,16,2634,0.05159058107042326,0.0767532501147552,0.025162669044331936,0.19154840983285526,0.0033091943471708074
abs_all,17,6530,0.011566607896595166,0.10751686637359743,0.09595025847700227,0.0,-0.017723023473749433
cent_all,17,6220,0.005529612990743005,0.1026279945566136,0.0970983815658706,0.06077170418006439,-0.0042088592407736325
abs_low,17,2034,-0.020775857738021725,0.004355101435132791,0.025130959173154516,0.0,-0.03902317321944859
abs_high,17,4538,0.005319571507974298,0.01763310246001835,0.012313530952044053,0.0,-0.008038257368950585
shuf_abs,17,6490,0.03556420281984582,0.11894056983686273,0.08337636701701691,0.0,0.0002253754340775238
shuf_cent,17,6444,0.042701571560802315,0.12114992361706804,0.07844835205626573,-0.015518311607697122,0.0012044062740301786
plant_abs,17,6468,0.08846362646152431,0.18157262622680218,0.09310899976527787,0.013899318385181658,-0.018109821947775107
plant_cent,17,6220,0.08802401869435438,0.18512240026022497,0.0970983815658706,0.07045797156261013,-0.0042088592407736325
abs_all,18,622,0.022217035564207066,-0.0012522185975429128,-0.02346925416174998,0.0,-0.009502327590343973
cent_all,18,640,0.01208318786462346,0.011092652279742413,-0.000990535584881047,0.1968749999999999,-0.0035447761194030702
shuf_abs,18,644,0.007572803489266608,0.005350863059463029,-0.002221940429803578,0.0,-0.01863354037267073
shuf_cent,18,660,0.01214966823099051,0.04063454686730491,0.0284848786363144,0.05151515151515129,-0.003799185888738066
plant_abs,18,626,0.02660773302062362,0.025912258129572523,-0.0006954748910510955,0.03668502332345769,-0.00791569309999518
plant_cent,18,640,0.06450668035116937,0.06351614476628832,-0.000990535584881047,0.1891135209635615,-0.0035447761194030702
abs_all,19,652,0.0641543935929024,0.0779199072651258,0.013765513672223414,0.0,0.021976009522937545
cent_all,19,686,0.04293557185962532,0.03173407928249716,-0.011201492577128158,-0.03498542274052463,-0.0015229972586050522
shuf_abs,19,676,0.01868729260177665,0.002017456583068844,-0.016669836018707807,0.0,-0.0001324737260444131
shuf_cent,19,710,-0.011935710689333134,0.0003484548097035615,0.012284165499036695,0.04225352112676051,0.005297456380071508
plant_abs,19,652,0.12200648701802509,0.11130527600374163,-0.01070121101428347,0.015947807443934536,0.02527241095137822
plant_cent,19,686,0.1117921528676727,0.10059066029054455,-0.011201492577128158,-0.05193307034761263,-0.0015229972586050522
abs_all,20,3768,-0.02113226032134617,0.007588192700508867,0.028720453021855035,0.0,-0.011328706784548559
cent_all,20,3804,-0.017028694582064463,0.026476880368875744,0.04350557495094021,0.10252365930599394,-0.003962835663951392
abs_low,20,1326,0.008699654091331027,-0.0653443355495729,-0.07404398964090393,0.0,-0.03237207627023253
abs_high,20,2500,0.007749864532967721,0.026124751642743322,0.0183748871097756,0.0,-0.0008835820895523039
shuf_abs,20,3860,0.02326698654514897,0.03715366719554564,0.013886680650396666,0.0,-0.003402675740468597
shuf_cent,20,3778,0.024290165107900094,0.035057763981604394,0.010767598873704301,0.0,0.00033975174419043075
plant_abs,20,3726,0.047543028720135855,0.078657442822739,0.031114414102603145,0.03355855666530383,-0.009173135930652832
plant_cent,20,3804,0.05753755350744809,0.1010431284583883,0.04350557495094021,0.1064847010562131,-0.003962835663951392
abs_all,21,658,-0.01832811261892723,0.04968319656283269,0.06801130918175992,0.0,0.012294152338611086
cent_all,21,724,-0.037296609251127474,0.08989644368238019,0.12719305293350766,0.21270718232044228,0.005566092190978589
abs_high,21,540,0.038512609740985304,0.048073117871038386,0.009560508130053083,0.0,0.02072968490878946
shuf_abs,21,758,0.0037893728164587054,0.08757716681095157,0.08378779399449286,0.0,0.019257275627141412
shuf_cent,21,746,0.009345609806202054,0.10749950099952359,0.09815389119332153,-0.002680965147452863,0.002760993957824809
plant_abs,21,668,-0.05502037051936661,0.045052829370346804,0.10007319988971342,-0.011645534582819916,0.01783001161855402
plant_cent,21,724,-0.01504364016812336,0.1121494127653843,0.12719305293350766,0.18270551172038507,0.005566092190978589
abs_all,22,3004,0.04292409943248183,0.085330658338354,0.04240655890587217,0.0,0.00814833952739602
cent_all,22,2996,0.04273642003193721,0.09562143659093016,0.05288501655899295,0.0720961281708945,0.0012852958173086293
abs_low,22,548,-0.02188787458980579,-0.09907251021035142,-0.07718463562054563,0.0,0.02347750299596907
abs_high,22,2456,0.03296939714958345,0.04866462887230875,0.0156952317227253,0.0,0.009103505274928203
