qi,n_opt,ev,r_abs
73,20,0.2312444675577647,0.9754611512688968
77,21,0.2599825657097017,0.9939738843541228
79,11,0.2496537389767034,0.9941688924162534
81,19,0.1632219417732002,0.952765370644626
83,10,0.26531268523007795,0.9199580079883275
85,22,0.24696077931081578,0.9814276922310349
90,10,0.2970212723154416,0.9764943621917366
91,19,0.24203608737019383,0.980661263996839
92,18,0.22690554863650414,0.9793039878732426
93,21,0.2586670067032453,0.9834352265856894
96,19,0.2568042889405712,0.9604795972870007
