q,world,rank,scale,seed,skill,planted_sd,item_pp,person_pp,person_noise_pp
13,plant,2.0,0.08,29,-0.002681357921379246,0.10191374742952682,,,
13,plant,2.0,0.12,29,0.01099695917777932,0.14491244782634496,,,
13,plant,2.0,0.2,29,0.06144520822142663,0.21380663055038898,,,
13,plant,2.0,0.3,29,0.1477469127882587,0.2729535387947141,,,
13,plant,5.0,0.05,29,-0.005273806677631332,0.09899555970812136,,,
13,plant,5.0,0.08,29,0.004858113278167542,0.14960304523237078,,,
13,plant,5.0,0.12,29,0.03049161623518315,0.2094288494870358,,,
13,plant,5.0,0.2,29,0.11611489280885279,0.2976636433750052,,,
13,plant,5.0,0.3,29,0.19880838464072925,0.36429456735437443,,,
13,plant,10.0,0.05,29,-0.003694535194680326,0.13034281106053763,,,
13,plant,10.0,0.08,29,0.007328408591436353,0.19389154788563237,,,
13,plant,10.0,0.12,29,0.04007567846974758,0.2616046266427335,,,
13,plant,10.0,0.2,29,0.10569329745190381,0.34981346250729595,,,
13,plant,10.0,0.3,29,0.1570951816865097,0.4092508459415856,,,
17,real,,,11,-0.0041127357899581884,,19.29781683806802,17.287406905686485,13.22115084074633
17,margin,,,11,-0.0024266610389231946,0.0,,,
17,plant,2.0,0.05,11,-0.0182890851944566,0.07543565037725856,,,
17,plant,2.0,0.08,11,-0.01617358370142019,0.11587572522393066,,,
17,plant,2.0,0.12,11,-0.006160738480976202,0.16430410621748898,,,
17,plant,2.0,0.2,11,0.020686365539952845,0.2375896460480088,,,
17,plant,2.0,0.3,11,0.05736594013004892,0.2941378932509751,,,
17,plant,5.0,0.05,11,-0.026496099102696014,0.09999889742755898,,,
17,plant,5.0,0.08,11,-0.017720291176379632,0.1488645214184266,,,
17,plant,5.0,0.12,11,-0.010280878330847565,0.2005636728248271,,,
17,plant,5.0,0.2,11,0.027703621492313202,0.27171980330379997,,,
17,plant,5.0,0.3,11,0.052617609894816675,0.32722457371773395,,,
17,plant,10.0,0.05,11,-0.01786704279851825,0.16055617858322463,,,
17,plant,10.0,0.08,11,0.0002230303676052925,0.23101902935062749,,,
17,plant,10.0,0.12,11,0.01967543812328687,0.2971670033698004,,,
17,plant,10.0,0.2,11,0.057006716874706154,0.37415811973239477,,,
17,plant,10.0,0.3,11,0.0639613204955547,0.4212382589366046,,,
17,real,,,29,0.0045426892709306,,19.29781683806802,17.287406905686485,13.22115084074633
17,margin,,,29,-0.015434555390751337,0.0,,,
17,plant,2.0,0.05,29,-0.0005486152246571008,0.0717104969157751,,,
17,plant,2.0,0.08,29,0.005749454624423778,0.1114648591686757,,,
17,plant,2.0,0.12,29,0.009081555043598644,0.15744817456845384,,,
17,plant,2.0,0.2,29,0.050425126903409945,0.22826875024640486,,,
17,plant,2.0,0.3,29,0.09674565128602708,0.2909250099246174,,,
17,plant,5.0,0.05,29,-0.011608445196864103,0.09822317251342377,,,
17,plant,5.0,0.08,29,-0.008646695495713064,0.14796099374576283,,,
17,plant,5.0,0.12,29,0.0008100689400853955,0.20121637870168915,,,
17,plant,5.0,0.2,29,0.037435856872065854,0.27415472685883513,,,
17,plant,5.0,0.3,29,0.0794655539725535,0.3327802381696716,,,
17,plant,10.0,0.05,29,-0.016247129329822085,0.1441470803860648,,,
17,plant,10.0,0.08,29,0.0012495491175686935,0.2132924599052284,,,
17,plant,10.0,0.12,29,0.014609377612023966,0.2827443026336479,,,
17,plant,10.0,0.2,29,0.02369368017155349,0.36555805177837936,,,
17,plant,10.0,0.3,29,0.030949269866626494,0.41602159965345137,,,
19,real,,,11,0.02995465173675549,,18.401743143404445,20.878053240214093,9.876142535345892
19,margin,,,11,-0.010299478137214435,0.0,,,
19,plant,2.0,0.05,11,-0.01254578594554756,0.08114562123910955,,,
19,plant,2.0,0.08,11,-0.00041254713356742023,0.12456863293094506,,,
19,plant,2.0,0.12,11,0.029374248825591476,0.17215478721813945,,,
19,plant,2.0,0.2,11,0.10437667414863239,0.24149084554927022,,,
19,plant,2.0,0.3,11,0.19365854533399463,0.29865305810360254,,,
19,plant,5.0,0.05,11,-0.00842451738474792,0.10066071189703135,,,
19,plant,5.0,0.08,11,0.0016860880078020113,0.1529351638311941,,,
19,plant,5.0,0.12,11,0.03199635654374411,0.21145949759455943,,,
19,plant,5.0,0.2,11,0.10695526302026848,0.29626999375222396,,,
19,plant,5.0,0.3,11,0.1873619031033431,0.3588229279433126,,,
19,plant,10.0,0.05,11,-0.009805162621163821,0.1403302362151657,,,
19,plant,10.0,0.08,11,0.007046438864791615,0.20825168655903084,,,
19,plant,10.0,0.12,11,0.04244988287660556,0.279454591073077,,,
19,plant,10.0,0.2,11,0.11244364291818143,0.36438609153386786,,,
19,plant,10.0,0.3,11,0.15543467142407996,0.414514098421849,,,
19,real,,,29,0.028015528427229097,,18.401743143404445,20.878053240214093,9.876142535345892
19,margin,,,29,-0.011051467754377486,0.0,,,
19,plant,2.0,0.05,29,-0.01638935148513876,0.0631550841993818,,,
19,plant,2.0,0.08,29,-0.011047678260254545,0.09749081769491,,,
19,plant,2.0,0.12,29,0.004105341395184592,0.13869558089547865,,,
19,plant,2.0,0.2,29,0.05266356043000253,0.20794850063560671,,,
19,plant,2.0,0.3,29,0.1267513749099185,0.2696452752580805,,,
19,plant,5.0,0.05,29,-0.010699576326696714,0.11016221490475078,,,
19,plant,5.0,0.08,29,0.0022278394557989634,0.16626497953277858,,,
19,plant,5.0,0.12,29,0.030893020861096465,0.22770633087898298,,,
19,plant,5.0,0.2,29,0.10942539940857843,0.3105114516847937,,,
19,plant,5.0,0.3,29,0.18499323148426094,0.36945507833729874,,,
19,plant,10.0,0.05,29,-0.008050184435535734,0.151208041783295,,,
19,plant,10.0,0.08,29,0.012590832830597143,0.22018816748596015,,,
19,plant,10.0,0.12,29,0.053506185614291546,0.2882792425816682,,,
19,plant,10.0,0.2,29,0.12606480190065505,0.36724966088898936,,,
19,plant,10.0,0.3,29,0.1708086825843146,0.4151592562723047,,,
29,real,,,11,0.0385448420426846,,21.466393469189185,18.4875711005623,9.506070205202814
