q,arm,seed,C,W,CW,n_eval
8,shuffled,29,-0.0021490259189346217,-0.1258344148571029,-0.12771079743604552,735
8,shuffled,47,0.0015159069353403165,-0.09163384803009267,-0.09535272610942358,753
13,raw,11,0.005007821977552229,-0.08901961329549968,-0.08534378753226313,8648
13,raw,29,0.004699437086829961,-0.08176489722241431,-0.07849949417800561,8648
13,raw,47,0.0047206363271894425,-0.08941955854142569,-0.08608270544784613,8648
13,holdout,11,0.004819891669403331,-0.08580059301116316,-0.0826535776894336,4272
13,holdout,29,0.007406556470066605,-0.09304692447176088,-0.08823531298403398,4314
13,holdout,47,0.0039185625260120815,-0.08623822533836789,-0.08395873991574776,4452
13,shuffled,11,0.0003907495840026476,-0.07516769089063058,-0.07531721708470207,4272
13,shuffled,29,0.0002454801867238787,-0.07926769832180358,-0.07926861421063824,4314
13,shuffled,47,0.0005949134250152754,-0.09110413352688362,-0.09117923535902162,4452
17,raw,11,0.00833214934103954,-0.2898017822905442,-0.27834308086834925,1367
17,raw,29,0.006360012659944236,-0.20606890196529892,-0.19938205151732047,1367
17,raw,47,0.01579715224707301,-0.2742403969763827,-0.2669176905773092,1367
17,holdout,11,0.0169392639822441,-0.2775347226047358,-0.254952378658146,686
17,holdout,29,0.01117633289320652,-0.32403053963520345,-0.31400706605989837,689
17,holdout,47,0.007821991675505235,-0.2021518862369408,-0.19738745851444384,707
17,shuffled,11,0.0022952332447546686,-0.24505901858473678,-0.24442703079021655,686
17,shuffled,29,-0.0055350464287307055,-0.26489565152353634,-0.26852987203486367,689
17,shuffled,47,-0.00245523470890896,-0.2262495186373097,-0.22852040200583867,707
19,raw,11,0.008907864789021391,-0.004911670786325484,0.00012633427817454468,3805
19,raw,29,0.008046070718437992,-0.026071515371433596,-0.023217062958612145,3805
19,raw,47,0.009151001503230116,-0.023409716323403496,-0.01817266695805675,3805
19,holdout,11,0.00469178910155621,-0.01815526981521476,-0.015880513574767163,1881
19,holdout,29,0.006509626591145179,-0.021297854050504772,-0.018540919211460283,1933
19,holdout,47,0.00858686045060475,-0.009736551060009924,-0.005895307061619004,1959
19,shuffled,11,0.0009119671671214968,-0.018322385115836837,-0.01948799768942988,1881
19,shuffled,29,0.0013038725113643235,-0.03863769669515693,-0.039918378722512804,1933
19,shuffled,47,0.0016986899342196216,-0.03290149280064514,-0.03241547845284154,1959
29,raw,11,0.007682583830903811,-0.004417213807800691,-0.002358741772756745,5388
29,raw,29,0.007346740642020788,-0.013382399623930175,-0.013031260312639903,5388
29,raw,47,0.007711420320369311,-0.004019873992436085,-0.0026317655277990903,5388
29,holdout,11,0.005857520678568262,-0.0010720772950262303,-1.9449008677230317e-05,2687
29,holdout,29,0.006249966367122162,-0.011265710579783761,-0.009372000768282596,2645
29,holdout,47,0.005847391097309473,-0.020137881794558887,-0.02015604852128705,2765
29,shuffled,11,-0.0007501726572710643,-0.006873749727822176,-0.0073825370565758774,2687
29,shuffled,29,0.0011139927890484458,-0.01234055482888985,-0.012728903255081359,2645
29,shuffled,47,0.0004520993466377021,-0.009352105883793649,-0.00950003797429777,2765
39,raw,11,0.009821350035137177,-0.029701207620271397,-0.024714575424799157,1703
39,raw,29,0.006784151726531684,-0.05277023338388498,-0.054932259345247925,1703
39,raw,47,0.011103256575885956,-0.06080964745471196,-0.05462231944241447,1703
39,holdout,11,0.0009468267270517083,-0.054990041150626334,-0.051774989920600034,826
39,holdout,29,0.0067046583402531335,-0.06752319729664114,-0.06705152538731107,837
39,holdout,47,0.002632401483311897,-0.07592818718389716,-0.07060759235837188,838
39,shuffled,11,-0.010855771693174976,-0.07857189731779579,-0.08299649708379242,826
39,shuffled,29,0.00011739764293294819,-0.011624955873621334,-0.01101444215166536,837
39,shuffled,47,0.002358716701427843,-0.07935317042269474,-0.08060238176914458,838
42,raw,11,0.008837135203639046,0.001704590278411966,0.004640052215896806,1665
42,raw,29,0.010354122489005468,0.02155375033959195,0.025835342119232996,1665
42,raw,47,0.012473736282165415,0.018334817358338085,0.02292797975331018,1665
42,holdout,11,0.00443605515426404,0.022928514338619532,0.019603669258391854,797
42,holdout,29,0.0030153908935932616,0.017556082981665222,0.013566158472373968,825
42,holdout,47,0.0054232818783457315,0.04006785198943508,0.034044816171389214,873
42,shuffled,11,0.0013586623665026165,0.04607271215774,0.04475809886289528,797
42,shuffled,29,-0.0012239339287547502,-0.0072708311506869405,-0.008062123327264192,825
42,shuffled,47,-0.0006688843842086456,0.06210882796466488,0.058422341727662586,873
48,raw,11,0.0035631016809274385,-0.03604468948669093,-0.03460644733776952,2915
48,raw,29,0.007592999591442995,-0.03332557174987982,-0.029502394310939928,2915
48,raw,47,0.0029379486810391375,-0.03786106990364957,-0.03716519575897481,2915
48,holdout,11,0.0012548522267962214,-0.02319236204141517,-0.026144234710661185,1414
48,holdout,29,0.012370425499433124,-0.012546117973830873,-0.0019176581137064774,1445
48,holdout,47,0.007397352223984188,-0.07849891522993824,-0.07384852635891936,1488
48,shuffled,11,0.005094853582635728,-0.0029843546564314316,-0.0045192433352745365,1414
