a,b,kind,n,bal,gap,eff_base,eff_type
3,8,same,2822,0.3773919206236711,4.318568391211906,0.009553610020984316,0.0032356450123573466
2,26,same,2239,0.47253238052702096,4.0636444841447075,0.04161907939702769,0.0447636330816899
22,29,cross,1685,0.1744807121661721,5.2795252225519285,-0.00405929800638738,-0.005934989726857187
3,18,cross,803,0.290161892901619,4.7079701120797015,0.04646197992982326,0.008824282677472706
9,30,cross,1763,0.22858763471355645,4.978729438457175,0.01724918838663919,0.019170344405465667
5,17,cross,2791,0.45073450376209245,4.739161590827661,0.029815651082238936,0.014586372353152244
4,18,same,896,0.4386160714285714,4.515625,0.01287030310199938,0.01753416086466897
13,23,cross,636,0.27987421383647804,4.67688679245283,0.023094904757880397,-0.0230679306712554
16,29,same,1611,0.1446306641837368,5.82836747361887,-0.00792471547470508,-0.014224249767701869
2,4,same,3838,0.39682126107347576,4.155940594059406,0.052538175800283915,0.048893359217368704
12,30,cross,2616,0.2882262996941896,4.8275993883792045,0.017751228769030514,0.014789752745645146
26,30,same,3673,0.17506125782738904,5.366594064797169,0.01966876340932816,0.013254315284248974
3,16,cross,1220,0.19999999999999996,5.115573770491803,0.0018261451667159756,0.005884796712314511
4,11,cross,3923,0.40708641345908747,4.157532500637267,0.045942670553519915,0.026905400581761885
5,22,same,1132,0.39575971731448767,4.5053003533568905,0.03040693462930083,0.030048858177480653
12,20,cross,1012,0.46936758893280633,4.774703557312253,-0.013022837583961666,-0.05058225949724779
10,23,same,1099,0.3830755232029117,4.748862602365787,0.0033480034005319848,0.003662407406785473
1,9,cross,795,0.3735849056603774,4.945911949685534,0.006894721057808029,0.004034686336031823
1,10,cross,1846,0.23022751895991334,5.378114842903575,0.022809488913811127,0.01702050449953485
18,26,same,448,0.4754464285714286,4.659598214285714,-0.012187210272994353,-0.011749488628037874
14,29,same,3188,0.25282308657465496,4.65668130489335,0.02189031533268815,0.015038901391807913
12,16,cross,729,0.2496570644718793,5.1508916323731135,0.03359307083356161,-0.02742847064615364
14,17,same,2308,0.40034662045060654,4.245450606585789,0.022384947902160224,0.019883798241986106
1,30,same,4405,0.419750283768445,4.789103291713961,0.0050377595785064955,0.0037035966439002976
6,13,cross,484,0.38016528925619836,4.596074380165289,-0.021639144683771205,-0.07541550079643133
23,26,cross,865,0.3086705202312139,4.778612716763006,0.00636114055376269,-0.01553876750263572
3,30,cross,5375,0.30604651162790697,4.513395348837209,0.028822026020669855,0.026486945610901202
4,23,cross,1629,0.2694904849600982,4.665438919582566,0.013746361472651458,-0.01449247973077028
6,11,same,1150,0.4165217391304348,4.6060869565217395,0.06334178008886537,0.04304621924339658
22,30,cross,2519,0.15323541087733228,5.518261214767765,0.01764498461145525,0.02005702837281259
2,23,cross,1385,0.3371841155234657,4.734296028880866,0.03792323528915531,0.011358801950528963
2,6,cross,1101,0.42325158946412356,4.65258855585831,0.07036697976652004,0.02621658603415436
12,15,same,874,0.26544622425629294,5.15675057208238,0.007997198730877064,0.006398533637490378
14,15,cross,1047,0.2340019102196753,4.7979942693409745,0.026334448595473126,-0.02346797704261175
1,23,cross,1072,0.18563432835820892,5.799906716417911,0.01324318231229088,0.006965033790962805
11,20,cross,1890,0.36137566137566135,5.0095238095238095,0.004182118581052774,-0.01566286653167076
6,14,cross,1100,0.25727272727272726,4.668181818181818,0.06121922175994765,0.0032993543160635963
12,14,cross,1269,0.4720252167060678,3.94602048857368,0.017776459792324395,-0.0022936256630118335
8,11,same,2999,0.3454484828276092,4.307102367455818,0.03093465536201684,0.026359196109599636
3,9,same,1052,0.3992395437262357,4.38212927756654,0.03678181124547086,0.026283073031070248
5,11,same,2534,0.494475138121547,4.617403314917127,0.02430965819002112,0.02538614419860441
13,30,same,2152,0.21050185873605948,4.976301115241636,-0.005422232590809872,-0.005973596717267937
14,20,same,1626,0.44341943419434193,4.640528905289053,0.00012801849535720722,-0.026166956754286846
23,29,cross,1626,0.15375153751537515,5.937269372693727,0.02412806273770607,0.004910478453883149
6,29,cross,1339,0.17475728155339806,5.5164301717699775,0.0196058866169887,-0.00032214334566621483
9,14,cross,997,0.4744232698094283,4.264794383149448,0.032228264445910815,-0.007587848332243241
6,16,cross,463,0.4643628509719222,4.735421166306695,0.0728758567921331,0.0029852794993082132
20,22,cross,919,0.2665941240478781,5.317192600652883,-0.04068670581435632,-0.03297548477900014
3,17,cross,3127,0.2986888391429485,4.662935721138472,0.011682604988853373,0.016266273294189337
10,18,cross,592,0.4391891891891892,4.5329391891891895,0.0690696729764948,0.01790714623469028
4,20,same,2201,0.3952748750567924,4.858246251703771,-0.010901203370554946,-0.04261963393120627
