q,K,seed,f,n,m,I,P,X
8,2,11,0.25,1468,10,0.1279511493257419,0.10335960195535854,-0.10659625952069228
8,1,11,0.5,1468,10,0.12608353182351173,0.09949808122626856,-0.0823483304753666
8,2,11,0.5,1468,10,0.12571488535581427,0.11187377160873185,-0.14059497493245124
8,1,11,1.0,1468,10,0.12671699412602327,0.10448239509556867,-0.06108192833069487
8,2,11,1.0,1468,10,0.12301884108946995,0.11456247251095039,-0.12955679319562774
8,1,11,5.0,1468,10,0.1307001527515906,0.10275332836210285,-0.1310927000897607
8,2,11,5.0,1468,10,0.12809074258845837,0.10981205401311643,-0.2016448615069985
8,1,29,0.0,1468,10,0.12627747550152746,0.1258884509248025,-0.04696494766197149
8,2,29,0.0,1468,10,0.12485936906970431,0.14250681083720113,-0.08597636659264406
8,1,29,0.25,1468,10,0.12931112789659677,0.12064881929249943,-0.07072341591939135
8,2,29,0.25,1468,10,0.12619961806401236,0.13669703962805674,-0.11383432472643877
8,1,29,0.5,1468,10,0.12862161599240443,0.12928929110855172,-0.07344790664915786
8,2,29,0.5,1468,10,0.12818009971965588,0.14402004695564036,-0.15313166203354298
8,1,29,1.0,1468,10,0.11286910280843544,0.13197680906732812,-0.060571059730658044
8,2,29,1.0,1468,10,0.11187936775910454,0.14497900406693384,-0.14583198184956764
8,1,29,5.0,1468,10,0.1144540044277066,0.15366065903284615,-0.10506649368683162
8,2,29,5.0,1468,10,0.11340186952783583,0.167145339601252,-0.2050912317269511
8,1,47,0.0,1468,10,0.10529678456319554,0.1446177567808514,-0.059959866478101545
8,2,47,0.0,1468,10,0.1052832944485767,0.15588484585314855,-0.06210577671751992
8,1,47,0.25,1468,10,0.11163230565766578,0.1415869186613548,-0.06167784732642905
8,2,47,0.25,1468,10,0.11221677879667084,0.1537559660657219,-0.08253559391132936
8,1,47,0.5,1468,10,0.10279819473519645,0.15932678221283036,-0.06362643245400812
8,2,47,0.5,1468,10,0.10279904283069494,0.17187457385628482,-0.13158724597210814
8,1,47,1.0,1468,10,0.12043094359100237,0.12000885604408768,-0.07744967960505217
8,2,47,1.0,1468,10,0.11842705670209039,0.13137595533143484,-0.10087203488635493
8,1,47,5.0,1468,10,0.10801203976410173,0.12891776693082163,-0.09974012104379515
8,2,47,5.0,1468,10,0.10749907439247425,0.14026177747610025,-0.2034351097193872
9,1,11,0.0,2358,10,0.19109505535195861,0.12037678005572203,0.010187028328021298
