q,world,rank,scale,seed,skill,planted_sd,item_pp,person_pp
13,plant,5.0,0.08,29,0.004858113278167542,0.17918153021426608,,
13,plant,5.0,0.12,29,0.03049161623518315,0.2687722953213991,,
13,plant,5.0,0.2,29,0.11611489280885279,0.4479538255356652,,
13,plant,5.0,0.3,29,0.19880838464072925,0.6719307383034978,,
13,plant,10.0,0.05,29,-0.003694535194680326,0.14959061839644028,,
13,plant,10.0,0.08,29,0.007328408591436353,0.2393449894343044,,
13,plant,10.0,0.12,29,0.04007567846974758,0.3590174841514566,,
13,plant,10.0,0.2,29,0.10569329745190381,0.5983624735857611,,
13,plant,10.0,0.3,29,0.1570951816865097,0.8975437103786416,,
17,real,,,11,-0.0041127357899581884,,19.29781683806802,17.287406905686485
17,margin,,,11,-0.0024266610389231946,0.0,,
17,plant,2.0,0.05,11,-0.0182890851944566,0.08241130949349408,,
17,plant,2.0,0.08,11,-0.01617358370142019,0.13185809518959055,,
17,plant,2.0,0.12,11,-0.006160738480976202,0.1977871427843858,,
17,plant,2.0,0.2,11,0.020686365539952845,0.3296452379739763,,
17,plant,2.0,0.3,11,0.05736594013004892,0.4944678569609645,,
17,plant,5.0,0.05,11,-0.026496099102696014,0.10562207630295595,,
17,plant,5.0,0.08,11,-0.017720291176379632,0.16899532208472953,,
17,plant,5.0,0.12,11,-0.010280878330847565,0.2534929831270943,,
17,plant,5.0,0.2,11,0.027703621492313202,0.4224883052118238,,
17,plant,5.0,0.3,11,0.052617609894816675,0.6337324578177358,,
17,plant,10.0,0.05,11,-0.01786704279851825,0.17730232336111337,,
17,plant,10.0,0.08,11,0.0002230303676052925,0.2836837173777814,,
17,plant,10.0,0.12,11,0.01967543812328687,0.4255255760666721,,
17,plant,10.0,0.2,11,0.057006716874706154,0.7092092934444535,,
17,plant,10.0,0.3,11,0.0639613204955547,1.0638139401666802,,
17,real,,,29,0.0045426892709306,,19.29781683806802,17.287406905686485
17,margin,,,29,-0.015434555390751337,0.0,,
17,plant,2.0,0.05,29,-0.0005486152246571008,0.07379886374491638,,
17,plant,2.0,0.08,29,0.005749454624423778,0.11807818199186623,,
17,plant,2.0,0.12,29,0.009081555043598644,0.17711727298779933,,
17,plant,2.0,0.2,29,0.050425126903409945,0.29519545497966554,,
17,plant,2.0,0.3,29,0.09674565128602708,0.44279318246949834,,
17,plant,5.0,0.05,29,-0.011608445196864103,0.10411088424046006,,
17,plant,5.0,0.08,29,-0.008646695495713064,0.16657741478473612,,
17,plant,5.0,0.12,29,0.0008100689400853955,0.24986612217710416,,
17,plant,5.0,0.2,29,0.037435856872065854,0.4164435369618402,,
17,plant,5.0,0.3,29,0.0794655539725535,0.6246653054427603,,
