a,b,n,r_raw,r_adj,null_sd,z
48,77,1163,-0.156,-0.093,0.031,3.0
48,79,1988,0.177,0.115,0.024,4.9
48,81,570,-0.075,-0.051,0.04,1.3
48,83,561,-0.179,-0.051,0.043,1.2
48,85,641,0.014,0.048,0.038,1.3
48,90,830,-0.064,-0.04,0.032,1.2
48,91,531,-0.115,0.002,0.038,0.0
48,92,1009,-0.239,-0.195,0.031,6.4
48,93,856,-0.221,-0.143,0.034,4.2
48,95,400,0.063,0.047,0.048,1.0
48,96,718,-0.04,-0.084,0.039,2.1
51,55,545,0.009,-0.001,0.045,0.0
51,62,521,-0.123,-0.079,0.044,1.8
51,63,531,0.1,0.111,0.041,2.7
51,67,878,-0.068,-0.041,0.035,1.2
51,73,541,-0.082,-0.072,0.041,1.7
51,77,570,-0.05,-0.028,0.041,0.7
51,79,825,0.023,-0.004,0.032,0.1
53,55,1264,0.016,0.017,0.028,0.6
53,62,836,-0.048,0.008,0.035,0.2
53,63,1923,0.007,0.038,0.021,1.8
53,67,1261,-0.154,-0.098,0.027,3.6
53,73,994,-0.279,-0.191,0.031,6.2
53,77,1886,-0.095,-0.003,0.026,0.1
53,79,2095,0.073,0.017,0.021,0.8
53,81,748,-0.051,0.01,0.035,0.3
53,83,407,-0.311,-0.188,0.05,3.7
55,62,2014,0.039,0.056,0.022,2.5
55,63,2598,-0.057,-0.064,0.019,3.3
55,67,2868,-0.051,-0.063,0.019,3.4
55,73,1104,0.085,0.053,0.029,1.8
55,77,2392,-0.107,-0.098,0.022,4.5
55,79,3566,-0.041,-0.034,0.017,2.0
55,81,1019,0.09,0.089,0.031,2.8
55,83,888,0.051,0.052,0.034,1.5
55,85,877,0.007,0.014,0.032,0.4
55,90,1242,0.034,0.033,0.029,1.2
55,91,549,0.038,0.026,0.046,0.6
55,92,1656,-0.058,-0.064,0.025,2.6
55,93,1429,-0.114,-0.114,0.027,4.2
55,95,603,-0.069,-0.086,0.04,2.1
55,96,973,0.03,0.03,0.032,0.9
62,63,1498,-0.068,-0.112,0.024,4.7
62,67,2199,0.169,0.11,0.022,5.1
62,73,677,0.092,0.02,0.036,0.6
62,77,1289,0.137,0.063,0.028,2.2
62,79,2130,-0.094,-0.058,0.021,2.8
62,81,580,0.307,0.286,0.047,6.1
62,83,716,0.205,0.008,0.037,0.2
62,85,787,-0.041,-0.082,0.034,2.4
62,90,903,0.031,0.019,0.035,0.5
62,91,433,0.164,0.074,0.049,1.5
62,92,1295,0.085,0.038,0.026,1.5
62,93,1080,0.222,0.132,0.029,4.5
62,95,456,-0.347,-0.323,0.045,7.1
62,96,915,-0.491,-0.439,0.033,13.4
63,67,2407,0.183,0.141,0.021,6.8
63,73,1691,0.169,0.103,0.027,3.9
63,77,3385,0.155,0.112,0.017,6.6
63,79,3575,-0.015,0.012,0.016,0.8
63,81,1288,0.025,0.007,0.027,0.2
63,83,653,0.106,0.045,0.04,1.1
67,73,1243,0.231,0.118,0.028,4.2
67,77,2134,0.182,0.106,0.022,4.8
67,79,3539,-0.089,-0.033,0.017,1.9
67,81,913,0.082,0.061,0.032,1.9
67,83,911,0.238,0.041,0.036,1.1
67,85,977,0.094,0.048,0.032,1.5
67,90,1328,-0.024,-0.053,0.026,2.0
67,91,717,0.199,0.077,0.039,2.0
67,92,1816,0.224,0.181,0.023,7.9
67,93,1442,0.21,0.125,0.025,5.0
67,95,612,-0.056,-0.02,0.038,0.5
67,96,1222,-0.099,-0.035,0.03,1.2
73,77,1649,0.212,0.077,0.024,3.3
73,79,1780,-0.2,-0.112,0.021,5.4
73,81,680,0.254,0.204,0.039,5.3
77,79,3646,-0.017,0.041,0.016,2.6
77,81,1364,0.08,0.031,0.028,1.1
77,83,709,0.314,0.114,0.036,3.2
79,81,1277,-0.146,-0.12,0.029,4.1
79,83,1129,-0.166,-0.051,0.03,1.7
79,85,1353,-0.054,-0.014,0.027,0.5
79,90,2088,-0.043,-0.035,0.024,1.5
79,91,844,-0.169,-0.081,0.035,2.3
79,92,2105,-0.082,-0.057,0.022,2.7
79,93,1988,-0.067,-0.006,0.024,0.2
79,95,741,0.113,0.109,0.037,3.0
79,96,1453,0.058,0.017,0.025,0.7
83,90,433,0.088,0.064,0.052,1.2
83,92,553,0.002,-0.134,0.044,3.1
83,93,546,0.247,0.034,0.044,0.8
83,96,401,-0.142,0.003,0.051,0.1
85,90,1332,0.057,0.039,0.026,1.5
85,91,609,0.181,0.103,0.039,2.6
85,92,1490,-0.104,-0.131,0.024,5.4
85,93,1338,0.044,-0.024,0.027,0.9
85,95,524,0.028,0.059,0.044,1.4
85,96,1024,-0.085,-0.029,0.03,1.0
90,91,890,0.045,0.023,0.034,0.7
90,92,2222,-0.134,-0.145,0.02,7.2
90,93,1927,-0.03,-0.049,0.024,2.1
90,95,710,-0.116,-0.104,0.038,2.8
90,96,1270,-0.021,-0.004,0.03,0.1
91,92,944,0.077,-0.002,0.032,0.1
91,93,863,0.184,0.055,0.037,1.5
91,96,672,-0.108,-0.058,0.04,1.5
92,93,2187,0.243,0.198,0.022,9.0
92,95,833,-0.003,0.012,0.034,0.4
92,96,1594,-0.053,-0.025,0.025,1.0
93,95,859,-0.074,-0.027,0.033,0.8
93,96,1591,0.008,0.067,0.024,2.8
95,96,543,0.154,0.129,0.043,3.0
