item,block,f1,f2,f3,f4,f5,f6
Maids,29,0.00623031831975027,0.01694212949054481,0.03311889811199707,0.055874294588603136,0.01881158391921683,0.0729661518988083
Nazis,29,-0.01467146314798457,0.00045076129551475507,-0.007053206548406681,-0.042552089420257004,0.010227413600939128,-0.03404190100906392
Nuns,29,-0.0034757075839335623,0.023525354397947302,0.01606418401684874,0.02170964243299942,0.008792619485230036,0.0011263090493651407
Nurses,29,0.01859404177311999,-0.03043324767305156,0.021365804659257668,0.049331938503291345,-0.003632736522373754,0.07147298967021716
Priests,29,-0.011356858401815976,0.015105160119329311,-0.016981049181091903,-0.0518899596826232,-0.0036431995767355774,-0.08299193039574576
Scientists,29,0.0035343872527814355,-0.007072075645064907,-0.027318927091788597,-0.042119751635401284,-0.01699621925026553,-0.08189441108634747
Strippers,29,-0.0032790838705195973,-0.00602250790788136,0.02508359793667089,0.07080771828917345,-0.013551375574690674,0.09631708855958657
Students,29,0.011267331210794906,0.012054734577815907,0.017321615918398647,0.037969831968510045,0.03046634857752235,0.07228153598077625
Teachers,29,0.008936854056939959,-0.021478792809843838,-0.01784154036111751,-0.01648376091998255,-0.014955605205037905,-0.009873390779162555
ASMR,36,-0.0032880447756567606,-0.024663754345891714,0.029309522046978145,-0.017680461090413206,0.0035515345276838444,0.02792806978496918
"Breathplay (choking, asphyxiation)",36,0.033450945941688785,0.03266821397845305,-0.02903427933304668,0.019948323984397758,-0.0068528876355410965,-0.00029444939601159847
Constriction/compression,36,-0.005149227241798966,0.013212697369643499,0.004059511070997459,-0.004137061245821754,0.003986408611098878,-0.010515635305407509
Cupping,36,-0.008730314673864887,-0.016118238610227507,0.006395695822861291,-0.005751452767771517,0.006502421088557434,0.009167805530869474
Earplugs/blindfolds,36,0.015416861998044694,0.017234664920009034,-0.014788250226772444,0.004458283410067821,-0.013322428504815952,0.002866513241793579
Electricity,36,-0.023607643875522975,0.028774736148367997,0.000834155532690021,0.004874689476336336,0.019316470760813026,-0.010379950684984677
Feathers,36,0.01827685379658375,-0.015019401522201839,-0.01745462053000908,-0.003956322238175726,-0.018552379370442695,0.0005282628304186235
Messiness/goo/mud,36,-0.017916825131390066,-0.0076436237248573395,0.00973642504997754,-0.006523337940589015,0.008360700103647768,0.014717120055242871
