q,world,mode,seed,alpha,hyp,I,P,C,W
17,real,soft,47,10.0,4.0,0.188240812125522,0.04179276798569147,0.011337104531993259,-0.0023872241842596
17,noI,soft,47,100.0,8.0,-5.691302068511205e-09,0.02166561986238203,-0.001306568528949087,-0.012125393658453562
17,noP,soft,47,100.0,4.0,0.20513488679911973,0.0013824793274270775,-0.006843642981187281,-0.0038971405077386683
17,noW,soft,47,100.0,4.0,0.19026754748821614,0.04744698846921082,-0.0012256613842623145,-0.01764019615476838
17,planted,soft,47,100.0,8.0,0.058053093014299624,-0.001780509061475542,0.03722819337229992,0.08243953045195546
17,real,hard,47,10.0,8.0,0.18390738433057446,0.04100853952527059,0.013277475631365193,-0.10212925389150679
17,noW,hard,47,100.0,8.0,0.18033800941807854,0.040250193727902714,-0.0009524218779636365,-0.14232565732982647
17,noC,soft,47,100.0,4.0,0.18905751755359135,0.041906010962095126,-0.003746350405340058,-0.0017803572360910172
19,real,soft,11,100.0,4.0,0.1518520474729639,0.13114763467754467,0.011555676427353657,0.019958643153815615
19,noI,soft,11,100.0,8.0,-6.101663665066443e-09,0.13082395897964552,-0.0012787533380222333,-0.030566357603326533
19,noP,soft,11,100.0,0.0,0.15012848665672268,9.190448944904063e-05,-0.00514293576687296,-1.3877787807814457e-16
19,noW,soft,11,100.0,4.0,0.153588624256559,0.14107808818025042,0.00017153066508353765,-0.027095070485903035
19,planted,soft,11,100.0,8.0,0.06538483250546112,0.005108398170259246,0.026018761385389222,0.10951723291734362
19,real,hard,11,100.0,1.0,0.1517820035683396,0.12110649949020295,0.011834269870064463,-0.012922319552385531
19,noW,hard,11,100.0,1.0,0.15089316904552152,0.12616290328357654,3.953705737826574e-05,-0.06338898690025446
19,noC,soft,11,100.0,4.0,0.15177423203336493,0.13149158735211108,-0.0022341034973944922,0.021414638276937355
19,real,soft,29,100.0,4.0,0.14265197286936293,0.13807690189543614,0.012149081191805595,0.0186134057322365
19,noI,soft,29,100.0,8.0,-5.676587669647034e-05,0.11947279428369376,-0.0021727323230211204,-0.02677486751257137
19,noP,soft,29,100.0,0.0,0.15144520376648946,-0.0009708578212124692,-0.0038647250333293066,4.625929269271485e-17
19,noW,soft,29,100.0,4.0,0.14620063206191847,0.1344982598068205,0.0007112093264144691,-0.022781476032583004
19,planted,soft,29,100.0,8.0,0.07246155779434355,0.006892188074098545,0.03091433970005279,0.10228913031938101
19,real,hard,29,100.0,1.0,0.1443729653951338,0.12779258368313193,0.012099158381524793,-0.010567343644106867
19,noW,hard,29,100.0,1.0,0.14343896409801707,0.12158800848933865,0.0009304635813324561,-0.0775800740361844
19,noC,soft,29,100.0,4.0,0.14232752328157516,0.13799765066764313,-0.00038758712792987443,0.02021389813422549
19,real,soft,47,100.0,4.0,0.14907313734157374,0.1457178377536697,0.011576042729196887,0.019993375556103928
19,noI,soft,47,100.0,8.0,-4.481680110357544e-09,0.12690362338632366,-0.0011386306005767195,-0.03248460647124177
19,noP,soft,47,100.0,0.0,0.14144114484208342,-0.0005473450875596402,-0.0020634276162327754,1.6653345369377348e-16
19,noW,soft,47,100.0,4.0,0.14876887244541737,0.13361842605106225,0.0004489992985969581,-0.024089158496171357
19,planted,soft,47,100.0,8.0,0.06240147107901645,0.0037366402699269365,0.038706849752730796,0.12363047435577243
19,real,hard,47,100.0,1.0,0.1474388128434535,0.13417870990059133,0.01171904054535742,-0.007808563522035386
19,noW,hard,47,100.0,1.0,0.1469035373150481,0.12029646436741663,0.0006729010749612998,-0.08047796075069237
19,noC,soft,47,100.0,4.0,0.14843752784484884,0.14566983180158338,0.0005541051038605767,0.02181162125129127
29,real,soft,11,100.0,8.0,0.20818726337941598,0.0994784716260041,0.009097588407599833,0.033947237159005286
29,noI,soft,11,100.0,8.0,-1.6295567882342505e-05,0.08701313112419296,-0.0007180252454152269,-0.02404518672639715
29,noP,soft,11,100.0,1.0,0.19597714228250085,-0.0002979142714926256,-0.0019952201669294805,0.0003217270588256512
29,noW,soft,11,100.0,4.0,0.20356742187200896,0.10299467224275506,0.0010487574663018417,-0.017272056152957977
29,planted,soft,11,100.0,8.0,0.07817109541361156,0.002805864958922414,0.02510290598909874,0.14781069462975924
29,real,hard,11,100.0,1.0,0.20718173121869354,0.09176103564844798,0.007068709455549059,0.00452326705619117
29,noW,hard,11,100.0,1.0,0.20018557882089955,0.09234296388496008,0.0010482756387201568,-0.05244364862443778
29,noC,soft,11,100.0,8.0,0.20816987597938752,0.09952553922361279,-0.0013524631187210126,0.036456165501782094
