q,Kw,seed,world,arm,brier_I,brier_P,brier_C,brier_W,l1_I,l1_P,l1_C,l1_W
4,4,11,null,real,0.24945836017792838,0.045845769149433294,-0.001343708561014234,-0.2632071956831835,0.24935251510875955,0.05519290361188159,-0.00020300409101619193,-0.011989886224038154
4,4,11,real,permC,0.24951776990007743,0.05091276684700155,-0.000371146208468213,-0.01573083244316268,0.24541183490322332,0.06721959221604437,0.00018583000659514826,0.11252691598380514
4,8,11,real,real,0.25128110029130835,0.05896289718170192,0.005801680806217097,-0.08696527501905973,0.23657013944534883,0.0751661881091861,0.003748677262400894,0.04444578173697159
4,8,11,null,real,0.2658574539718692,0.040750015630312754,-0.0013333702924342437,-0.12622006821641546,0.24322294979376347,0.06792335373758404,-0.0002119196301026971,-0.0033523503594503432
4,8,11,real,permC,0.2508463254171372,0.05798454152396576,-0.0002303226622848431,-0.08588229167400009,0.2371239662589838,0.07526412251371414,0.0002887668253061063,0.04528262048322829
4,1,29,real,real,0.25487762671736414,0.039980926060366184,0.005148096797639992,0.02322886144432267,0.245744332858555,0.06161300564399803,0.004913562489317522,0.056844749591433666
4,1,29,null,real,0.250541881555206,0.03954129912480293,0.0006146630213331635,-0.08731276865300108,0.24722962981645,0.06261183828969677,0.0011125453985046847,-0.004802136393447611
4,1,29,real,permC,0.2550859816762794,0.03995561348204366,-0.000647714096967585,0.022269048142279146,0.24615621229443407,0.06185861328711835,0.00027785974257573304,0.056861789260354734
4,2,29,real,real,0.24454956783577433,0.047405559911603626,0.005327381056363026,-0.012387363019506305,0.24424054842719886,0.06040597216648585,0.004724282099970898,0.06913411616460327
4,2,29,null,real,0.2377874181390929,0.04099999738214278,0.000638700397140433,-0.17363125169264465,0.24605490650683104,0.05958090216488426,0.0011154404393431312,-0.010567861623367767
4,2,29,real,permC,0.24487529925653698,0.0475553216275941,-0.0005343158351033643,-0.013413062318408645,0.24467281877963265,0.060570406246214216,0.0003352932192023002,0.06939786969949754
4,4,29,real,real,0.24737994921120143,0.046020178551885976,0.004657632814217725,-0.029198266857090118,0.2442993516151165,0.06699734825783651,0.004432094899875496,0.10030537424095178
4,4,29,null,real,0.23686526694229737,0.04895986882788252,0.0006035318812924647,-0.2641883328187248,0.24663937144503856,0.05532853104276096,0.0011143244702511062,-0.013209405976274633
4,4,29,real,permC,0.24759711948287613,0.04617015448931937,-0.0002582981730585854,-0.02927820025180238,0.24477114428942176,0.0670046972798086,0.00031141775290849383,0.10083743950964763
4,8,29,real,real,0.2465653961617994,0.05043032937614485,0.003812273544185618,-0.054238315135228865,0.2367347084592982,0.07226417246312658,0.004132884884514604,0.05700432736797951
4,8,29,null,real,0.25016531652986984,0.051369785933979804,0.0006029082309353302,-0.138656193739378,0.24070164401097227,0.07011479767928946,0.0009689068548169032,-0.021373939849391926
