K,seed,split,n,deficit,ceiling,ceil_sd
12,27,pornhabit,3349,0.05056409117182936,0.8930375968640372,0.009883089140946658
12,27,modality,2455,0.04673764972702665,0.8485661241450279,0.014656793763564028
12,27,neuroticism,4587,0.018053963448020682,0.9040306838134853,0.015208335024228397
12,27,sham_coinflip,4266,0.01360138191083815,0.9081053309127942,0.009986529409525905
12,27,placebo_rowparity,7506,-0.03545330844215,0.9219971297587509,0.018165933353990964
16,7,sex,7219,0.14121704435091287,0.9403227234742465,0.010054053240799419
16,7,pornhabit,3349,0.009989754069212431,0.8882850430823623,0.009868526295318886
16,7,modality,2455,0.05183251118088794,0.8415104496668417,0.02035100521480977
16,7,neuroticism,4587,0.030190387541768393,0.9051627496423782,0.0130747950964641
16,7,sham_coinflip,4258,0.0007048995746080644,0.9063133118479166,0.013220042391718178
16,7,placebo_rowparity,7506,0.007445035338745409,0.9435806416671795,0.010444726342015
16,17,sex,7219,0.13628068720955888,0.9431248758932613,0.005894689116269066
16,17,pornhabit,3349,0.030053540456523087,0.8838032329752565,0.011284594850888582
16,17,modality,2455,0.03671864388544044,0.8415135461482471,0.007809583764785411
16,17,neuroticism,4587,0.009870226525762638,0.9010403594400467,0.003341955713602565
16,17,sham_coinflip,4285,0.0022939736465948934,0.9038139926592164,0.015540341053881175
16,17,placebo_rowparity,7506,0.012729369159621418,0.9484409463863545,0.003798686277402135
16,27,sex,7219,0.14617701368834501,0.9430328776911013,0.0060716228283528885
16,27,pornhabit,3349,0.037244141187838475,0.8822729258767094,0.011195633020156508
16,27,modality,2455,0.04195503148587676,0.8365439024050595,0.015432763108620197
16,27,neuroticism,4587,-0.007882500331500841,0.904854035185302,0.015397317964865254
16,27,sham_coinflip,4266,-0.011873513129010638,0.8934103048009339,0.012811135757759497
16,27,placebo_rowparity,7506,0.010820790769607735,0.9461741083463403,0.0061003724057431515
