qi,option,loading,z_in_block,endorse_rate
42,"Very tall people (e.g., tall as a tree)",-0.14056871660485817,0.2561442084988973,0.4252252252252252
42,Wings,-0.4445064511184404,-1.735833781442809,0.5093093093093093
48,Amnesia,-0.1456553692750691,0.12458740132622399,0.19039451114922812
48,Brainwashing,-0.49642830725760134,-1.2181581755431325,0.6315608919382504
48,Dronification,-0.1666187201594821,0.04434048479297771,0.14339622641509434
48,Drugs,0.25904189432205743,1.6737532628421263,0.47753001715265864
48,Drunkenness,0.21913021635057559,1.5209728648733694,0.5375643224699829
48,Hypnotism,-0.44780885026986894,-1.0320447279221572,0.7337907375643224
48,Mental disabilities,-0.024951524037513644,0.5866371684377392,0.05111492281303602
48,Mind control,-0.4603080636097157,-1.0798912451676281,0.7132075471698113
48,Sleeping,-0.11422536048650278,0.24490028955682644,0.5670668953687822
48,Trance states,-0.40419624587703423,-0.8650973231963455,0.5221269296740995
51,Amphibians,-0.0966216282759926,-0.3862873693908044,0.02619047619047619
51,Bears,0.07386194866069207,0.415195591482296,0.06349206349206349
51,Birds,-0.0919725579860957,-0.36443100827845176,0.02619047619047619
51,Cats,0.08640555389414709,0.4741659981524152,0.10158730158730159
51,Dogs,0.5198710391185299,2.5119880967757853,0.6531746031746032
51,Dolphins/whales,-0.1871864601380039,-0.812053715311015,0.06190476190476191
51,Fish/sharks,-0.11645769268697308,-0.47954132336014516,0.03333333333333333
51,Foxes,-0.2350647492720465,-1.0371406921694506,0.08095238095238096
51,Goats,0.04935462134951533,0.29998094377612444,0.0373015873015873
51,Horses,0.5097723838736494,2.4645119688581416,0.596031746031746
51,Insects/arachnids,-0.1434101070865603,-0.6062508943570196,0.04523809523809524
51,Lions,0.10242342919497174,0.5494697567529808,0.09365079365079365
51,Monkeys,0.057409891927410556,0.3378506449485908,0.05
51,More not listed here,0.1037299551738286,0.5556120393634678,0.16587301587301587
51,More/other,-0.32229051761943084,-1.4472093236215955,0.12222222222222222
51,Octopi/squid,-0.31692198067404,-1.4219705823664979,0.11825396825396825
51,Parasites/leeches,-0.12157962698394223,-0.5036207281890156,0.0373015873015873
51,Pigs,0.1122374641351124,0.5956078183966383,0.09365079365079365
51,Reptiles,-0.19899153157561508,-0.8675521027753335,0.0626984126984127
51,Rodents,-0.06143299777916846,-0.2208574302352085,0.015873015873015872
51,Sheep,0.05636724435148612,0.3329489161057626,0.044444444444444446
51,Slugs/snails/worms,-0.09749995859070357,-0.39041660455766497,0.029365079365079365
53,"Animal-esque clothing (e.g., cat ears)",0.14452313674267817,-0.5672874727019016,0.2877473099618188
53,Boots,0.2569548204547817,0.7139492215125878,0.44151336341548075
53,Bras,0.2513735758991099,0.650347084748165,0.7434918431100312
53,Briefs,0.06919904828478192,-1.4256574882007038,0.23672335994446372
53,Chokers,0.23226725157231887,0.43261732200858655,0.6994099271086428
53,Corsets,0.2763623822927589,0.9351117937615733,0.621659146129816
53,Diapers,0.00017313931575689944,-2.212255398173151,0.033321763276640055
