arm,seed,band,n_people,pairs,population,oracle,random,prevalence,onset_minus_prev
capped,7,all,6230,20000,66.73,66.635,52.37,60.635,65.89
capped,7,onset 0-11,285,1719,58.23152995927865,,51.80455302609661,51.95025438100622,
capped,7,onset 11-14,1566,8695,65.08338125359401,,57.82429649965683,57.226629872369784,
capped,7,onset 14-18,2857,16781,67.65985340563732,,43.043375207395115,60.999881530624336,
capped,7,onset 18-99,1522,8103,70.64050351721585,,50.92250922509225,64.62828257921342,
capped,8,all,6230,20000,66.445,66.2,48.08,60.45,65.355
capped,8,onset 0-11,258,1584,57.26010101010101,,49.26289926289926,51.27250155183116,
capped,8,onset 11-14,1521,8423,63.00605484981598,,50.3716814159292,58.366533864541836,
capped,8,onset 14-18,2927,17198,67.29270845447145,,48.75917511359665,61.34926619873543,
capped,8,onset 18-99,1524,8244,70.25715672003882,,54.063816977724265,64.2419141517374,
uncapped,1,all,6230,35432,66.79272973583201,66.40699971775332,51.96954371768937,60.53856194313603,65.2757793764988
uncapped,1,onset 0-11,257,1579,56.048131728942366,,48.009797917942436,51.14978247358608,
uncapped,1,onset 11-14,1501,8292,64.44766039556198,,49.20844327176781,57.908590571907155,
uncapped,1,onset 14-18,2926,17209,67.49956418153292,,39.61912526934948,60.18279821888915,
uncapped,1,onset 18-99,1546,8358,70.37568796362766,,42.20686367969495,64.59176386574624,
uncapped,2,all,6230,35090,66.89370190937589,66.83534227882647,47.331766837471335,59.87979605206939,66.20541031021381
uncapped,2,onset 0-11,245,1483,54.48415374241402,,51.21457489878542,49.63259853039412,
uncapped,2,onset 11-14,1498,8182,63.95746761183085,,43.685426036222196,57.86018237082067,
uncapped,2,onset 14-18,2911,17024,67.2109962406015,,48.9039083161916,60.799906443690794,
uncapped,2,onset 18-99,1576,8452,70.6223379081874,,41.98356807511737,62.643746295198575,
uncapped,3,all,6230,35779,66.78219067050505,66.28569823930808,56.58144998881181,60.297466752888916,66.05839416058394
uncapped,3,onset 0-11,262,1586,57.061790668348046,,54.88721804511278,50.741656365883806,
uncapped,3,onset 11-14,1529,8583,64.38308283816848,,40.44851473523541,58.27516857920265,
uncapped,3,onset 14-18,2931,17311,67.52353994569927,,56.81210005817336,61.611346858106145,
uncapped,3,onset 18-99,1508,8292,69.8986975397974,,52.87576228626091,62.789855072463766,
uncapped,4,all,6230,35426,67.2613334838819,67.37728463206511,57.906446253062605,60.87742081192479,66.40717216570177
uncapped,4,onset 0-11,242,1504,55.38563829787234,,48.46666666666667,52.162341982701264,
uncapped,4,onset 11-14,1558,8606,64.12967696955613,,44.393992315752705,58.727187646233034,
uncapped,4,onset 14-18,2885,16845,68.70287919263876,,48.02584350323044,61.32865886267752,
uncapped,4,onset 18-99,1545,8375,71.05671641791045,,47.86074317196108,65.02544679843768,
uncapped,5,all,6230,35391,66.77968975163176,66.89666826259611,53.25291674906071,60.81864728013352,65.65005767661705
uncapped,5,onset 0-11,269,1616,57.363861386138616,,48.23880597014925,53.549571603427175,
uncapped,5,onset 11-14,1567,8664,63.93120960295475,,47.245274319963116,56.743268337975856,
uncapped,5,onset 14-18,2876,16833,68.24095526644092,,44.509220701963116,61.34922046357223,
uncapped,5,onset 18-99,1518,8250,70.37575757575758,,50.46336340046954,64.57618814306713,
uncapped,6,all,6230,35566,66.7069673283473,66.68816782118517,53.38759472354757,60.4867593558758,65.9471813103098
uncapped,6,onset 0-11,271,1657,54.37537718768859,,51.624548736462096,52.748610253242745,
uncapped,6,onset 11-14,1458,8169,63.80217896927409,,49.56723150067049,58.144126357354395,
uncapped,6,onset 14-18,2915,17254,67.54375796916656,,59.41417759547056,60.849247100905785,
uncapped,6,onset 18-99,1586,8625,69.88985507246377,,52.22662625320588,63.510848126232744,
uncapped,7,all,6230,35264,66.95213248638838,66.54117247431144,54.21717242737014,60.21211181000197,65.90985442329227
uncapped,7,onset 0-11,285,1735,56.31123919308357,,53.33710407239819,49.889135254988915,
uncapped,7,onset 11-14,1566,8726,63.66032546413019,,51.39142335766423,58.21375272643784,
uncapped,7,onset 14-18,2857,16841,67.5909981592542,,50.71407407407408,61.52648907512721,
uncapped,7,onset 18-99,1522,8092,70.55116164112704,,61.22525214792678,64.01852077494821,
uncapped,8,all,6230,35559,66.64979330127395,66.51983614836429,54.48421645997745,60.54282098157784,65.58710149413321
uncapped,8,onset 0-11,258,1601,55.90256089943785,,46.283572767020615,52.61519302615193,
uncapped,8,onset 11-14,1521,8465,62.88245717660957,,53.0182164543398,57.95294117647059,
uncapped,8,onset 14-18,2927,17273,67.61419556533318,,53.20002325175842,60.847202958853444,
uncapped,8,onset 18-99,1524,8308,70.94366875300915,,48.20862783329271,65.23929471032746,
