q,K,seed,world,n,m,I,P,X
7,2,29,real,1289,10,0.08213209871655143,0.12970110307434524,0.05462707594373807
7,2,29,g0,1289,10,0.05164861335506088,-0.10876254613880953,-0.09735345748986046
7,2,29,g1,1289,10,0.053869704918451736,0.0784210178857115,-0.04020598981964655
7,2,47,real,1289,10,0.08567590759264743,0.13033374094205868,0.03662340684819182
7,2,47,g0,1289,10,0.05563060508610466,-0.06501733955411877,-0.0553461657606253
7,2,47,g1,1289,10,0.05640799578664466,0.11520206937107777,-0.060306393860380905
8,1,11,real,1468,10,0.1291210521796426,0.09833814055127943,-0.052236438978091104
8,1,11,g0,1468,10,0.04766573946724495,-0.08809918917261195,-0.04813395984584956
8,1,11,g1,1468,10,0.049815973239873995,0.06040431138661748,0.21084462295376624
8,1,29,real,1468,10,0.12627747550152746,0.1258884509248025,-0.04696494766197149
8,1,29,g0,1468,10,0.06347890878085086,-0.07663814223464067,-0.0690448169049191
8,1,29,g1,1468,10,0.04073127406708269,0.10048751289861943,0.12088808588652397
8,1,47,real,1468,10,0.10529678456319554,0.1446177567808514,-0.059959866478101545
8,1,47,g0,1468,10,0.066329736711435,-0.10038535133725872,-0.05088187632904062
8,1,47,g1,1468,10,0.06171543275852788,0.09424791014703672,0.04778508001927202
8,2,11,real,1468,10,0.12866472585937366,0.11011929500897812,-0.08776227110674448
8,2,11,g0,1468,10,0.047078359866072964,-0.08088277586091457,-0.09661548818861723
8,2,11,g1,1468,10,0.05042813452322492,0.06658994390440287,0.09569511404593412
8,2,29,real,1468,10,0.12485936906970431,0.14250681083720113,-0.08597636659264406
8,2,29,g0,1468,10,0.05552136332694864,-0.06569182293557155,-0.09462746778081257
8,2,29,g1,1468,10,0.038598026138785935,0.1064148704578054,0.01918306809425474
8,2,47,real,1468,10,0.1052832944485767,0.15588484585314855,-0.06210577671751992
8,2,47,g0,1468,10,0.05606823469073611,-0.08992756127678214,-0.08220845011044833
8,2,47,g1,1468,10,0.060787102503464044,0.1024092099731503,-0.038799810638707175
9,1,11,real,2358,10,0.19109505535195861,0.12037678005572203,0.010187028328021298
9,1,11,g0,2358,10,0.03954559637092162,0.02415460452308086,-0.04131961219610787
9,1,11,g1,2358,10,0.12132318063418715,0.06305802507217309,0.06242950232142522
9,1,29,real,2358,10,0.19483785532230166,0.10792017296076163,0.026925927257817634
9,1,29,g0,2358,10,0.034566124255118236,0.0178701171078281,-0.03598061113147055
9,1,29,g1,2358,10,0.08801021175966511,0.040289196122692716,0.11307655026769392
9,1,47,real,2358,10,0.18148145046156086,0.08783702731125445,0.021020098189093263
9,1,47,g0,2358,10,0.039753018433037635,0.012791871304044744,-0.022602898426000828
9,1,47,g1,2358,10,0.11061890908761088,0.01635409467642033,0.18855941264309659
9,2,11,real,2358,10,0.19012930197432099,0.13135575022134943,-0.03131777466589586
9,2,11,g0,2358,10,0.02390361621431647,0.03358485002170475,-0.05039105572366298
9,2,11,g1,2358,10,0.11532137790793681,0.06389327340861153,-0.00665437699664508
9,2,29,real,2358,10,0.19174490341792638,0.12111841654104301,-0.011160249997056317
9,2,29,g0,2358,10,0.024124911958835277,0.020663584406344766,-0.04423070384677666
9,2,29,g1,2358,10,0.08682952613785452,0.048182321921208617,0.03338623131208144
9,2,47,real,2358,10,0.18348567042459124,0.09731947078375924,-0.0058341507271683635
9,2,47,g0,2358,10,0.020286512478239555,0.012019169637451218,-0.04051746542658
9,2,47,g1,2358,10,0.11138219607880243,0.02214151592312289,0.08069252191546963
11,1,11,real,1324,10,0.18633832985153528,0.1386631922228985,-0.024697144455571488
11,1,11,g0,1324,10,0.018364893602402416,-0.013193610971599528,-0.018544497605953537
11,1,11,g1,1324,10,0.12530526238751377,0.08858342642772998,0.040982492970521416
11,1,29,real,1324,10,0.18062686214574492,0.12168905598156665,0.0013707277243175109
11,1,29,g0,1324,10,0.01715459263782837,0.004774983947442357,-0.03022109237842341
11,1,29,g1,1324,10,0.08285040369403303,0.04883107238501368,0.19074736245847662
11,1,47,real,1324,10,0.1889754686425799,0.09315877983022784,0.012453854300656042
11,1,47,g0,1324,10,0.01100979966855455,-0.016314692254901488,-0.031764901701419525
11,1,47,g1,1324,10,0.09190185659021051,0.06911972549904456,0.09242070855451136
11,2,11,real,1324,10,0.18520568801177809,0.15273886396026057,-0.0634019594676938
11,2,11,g0,1324,10,0.016817731991413898,-0.014250181903166124,-0.035288379883467724
11,2,11,g1,1324,10,0.12029795014126993,0.08600563641933857,-0.04862897048949564
11,2,29,real,1324,10,0.1807228694722372,0.1405543154880976,-0.04625190954056385
11,2,29,g0,1324,10,0.013808490824927338,-0.0005166206536169797,-0.028595263013492758
