v_page,v_val,v_kind,v_win
README.md,0.724,可核而未核,100
README.md,0.621,孤立,100
README.md,0.759,孤立,100
README.md,−0.015,孤立,100
README.md,−0.077,孤立,100
README.md,−0.062,孤立,100
README.md,+0.1255,可核而未核,100
README.md,−0.0009,孤立,100
README.md,+0.975,孤立,100
README.md,+0.1169,可核而未核,100
README.md,−0.1024,孤立,100
README.md,−0.0810,孤立,100
README.md,0.924,可核而未核,100
README.md,−0.1065,可核而未核,100
README.md,−0.0684,可核而未核,100
README.md,−0.133,孤立,100
README.md,−0.068,孤立,100
README.md,3.69,孤立,100
README.md,+0.2219,已核,100
README.md,77.1%,已核,100
README.md,+0.3406,可核而未核,100
README.md,−0.0287,可核而未核,100
README.md,−0.0327,可核而未核,100
README.md,−0.0287,可核而未核,100
README.md,−0.0148,可核而未核,100
README.md,48.4%,可核而未核,100
README.md,2,孤立,100
README.md,0.7695,可核而未核,100
README.md,+0.6667,可核而未核,100
README.md,+0.0797,孤立,100
README.md,0.380,已核,100
README.md,+0.2345,已核,100
README.md,+0.1293,可核而未核,100
README.md,+0.0791,孤立,100
README.md,+0.0168,孤立,100
README.md,+0.118,孤立,100
README.md,+0.056,孤立,100
README.md,−0.076,孤立,100
README.md,+0.049,孤立,100
README.md,+0.2615,孤立,100
README.md,"2,061",原始量,100
README.md,+0.146,孤立,100
README.md,0.075,孤立,100
README.md,0.069,孤立,100
README.md,0.052,孤立,100
README.md,0.031,孤立,100
README.md,0.196,孤立,100
README.md,0.247,孤立,100
README.md,0.146,孤立,100
README.md,−0.174,孤立,100
README.md,0.5,孤立,100
README.md,+0.373,孤立,100
README.md,+0.061,孤立,100
README.md,0.029,孤立,100
README.md,"6,715",原始量,100
README.md,+0.0171,孤立,100
README.md,39.8%,可核而未核,100
README.md,−0.0347,孤立,100
README.md,−2.95,孤立,100
README.md,2.37,孤立,100
README.md,−2.25,孤立,100
README.md,2.384,可核而未核,100
README.md,1.7%,可核而未核,100
README.md,2.276,可核而未核,100
README.md,−0.039,孤立,100
README.md,−0.035,孤立,100
README.md,−2.4%,可核而未核,100
README.md,−0.036,孤立,100
README.md,0.25,孤立,100
README.md,1.86,孤立,100
README.md,2.24,孤立,100
README.md,−0.036,孤立,100
README.md,0.028,孤立,100
README.md,0.052,孤立,100
README.md,0.053,孤立,100
README.md,0.036,孤立,100
README.md,+0.028,孤立,100
README.md,−0.131,孤立,100
README.md,+0.099,孤立,100
README.md,+0.139,孤立,100
README.md,−0.38,孤立,100
README.md,−0.38,孤立,100
README.md,31%,孤立,100
README.md,0.034,孤立,100
README.md,−0.054,孤立,100
README.md,−0.088,孤立,100
README.md,−0.21,可核而未核,100
README.md,−0.01,孤立,100
README.md,+0.254,孤立,100
README.md,−0.092,孤立,100
README.md,+0.346,孤立,100
README.md,+0.313,可核而未核,100
README.md,0.158,孤立,100
README.md,+0.86,孤立,100
README.md,−0.18,孤立,100
README.md,+0.97,孤立,100
README.md,+0.58,孤立,100
README.md,+0.19,孤立,100
README.md,0.158,孤立,100
README.md,−0.37,孤立,100
README.md,1.8,可核而未核,100
README.md,4.3,可核而未核,100
README.md,+0.48,孤立,100
README.md,+0.048,孤立,100
README.md,−0.050,孤立,100
README.md,0.0497,可核而未核,100
README.md,0.0468,孤立,100
README.md,0.0725,孤立,100
README.md,+0.32,孤立,100
README.md,+0.050,孤立,100
README.md,0.031,孤立,100
README.md,0.015,孤立,100
README.md,−0.060,孤立,100
README.md,+0.993,孤立,100
README.md,+0.048,可核而未核,100
README.md,+0.050,可核而未核,100
README.md,95%,可核而未核,100
README.md,+0.27,可核而未核,100
README.md,+1.00,可核而未核,100
README.md,+0.80,可核而未核,100
README.md,−0.080,孤立,100
README.md,0.084,孤立,100
README.md,0.042,孤立,100
README.md,+0.128,孤立,100
README.md,−0.147,孤立,100
README.md,0.019,可核而未核,100
README.md,+0.128,孤立,100
README.md,+0.128,孤立,100
README.md,1.007,孤立,100
README.md,−0.147,孤立,100
README.md,−0.147,孤立,100
README.md,1.005,孤立,100
README.md,−0.002,孤立,100
README.md,0.74%,孤立,100
README.md,0.36%,孤立,100
README.md,0.7%,孤立,100
README.md,0.5%,孤立,100
README.md,0.034,孤立,100
README.md,−0.035,孤立,100
README.md,−0.042,孤立,100
README.md,−0.023,孤立,100
README.md,−0.014,孤立,100
README.md,−0.031,孤立,100
README.md,0.034,孤立,100
README.md,+0.41,孤立,100
README.md,+0.004,孤立,100
README.md,−0.023,孤立,100
README.md,0.030,孤立,100
README.md,−0.047,孤立,100
README.md,+0.017,孤立,100
README.md,0.034,孤立,100
README.md,−0.031,孤立,100
README.md,0.460,孤立,100
README.md,21%,孤立,100
README.md,+0.069,孤立,100
README.md,+0.078,孤立,100
README.md,87%,孤立,100
README.md,31%,孤立,100
README.md,74%,孤立,100
README.md,+0.059,孤立,100
README.md,+0.079,孤立,100
README.md,−0.031,孤立,100
README.md,+0.042,孤立,100
README.md,+0.096,可核而未核,100
README.md,+0.053,可核而未核,100
README.md,−0.001,孤立,100
README.md,+0.074,孤立,100
README.md,+0.020,孤立,100
README.md,0.031,孤立,100
README.md,0.074,孤立,100
README.md,+0.044,孤立,100
README.md,+0.054,孤立,100
README.md,+0.060,孤立,100
README.md,+0.005,可核而未核,100
README.md,+0.061,可核而未核,100
README.md,−0.059,孤立,100
README.md,+0.69,孤立,100
README.md,+0.81,孤立,100
README.md,−0.10,孤立,100
README.md,0.077,孤立,100
