q,K,seed,n,m,full,I,P,X,I_share,P_share,X_share
53,4,11,2881,22,0.33851981366297723,0.2400515614950106,0.11050608145337057,-0.012037829285403995,0.6847705828805953,0.3152294171194046,-0.03433908667390412
53,4,29,2881,22,0.33594119598785044,0.2473698765627303,0.11512166544920313,-0.026550346024083033,0.6824155818636638,0.31758441813633614,-0.07324404281744311
53,4,47,2881,22,0.3472634166606974,0.24031279789437557,0.11619840999166489,-0.0092477912253431,0.67406800285278,0.32593199714722,-0.025939692836526966
53,8,11,2881,22,0.2354255483943838,0.23967722466004027,0.11449646817320744,-0.11874814443886396,0.6767222679435009,0.323277732056499,-0.33528222688965503
53,8,29,2881,22,0.238077396749782,0.24923213943180467,0.11905085285888134,-0.130205595540904,0.676740834219913,0.3232591657800869,-0.3535476746591997
53,8,47,2881,22,0.2558578433842381,0.24376732254590522,0.1152575282808447,-0.10316700744251184,0.6789706116013037,0.32102938839869627,-0.2873533885048415
55,1,11,5034,17,0.3090426042088389,0.23957609115047457,0.08376399997240833,-0.01429748691404405,0.7409414969807303,0.2590585030192698,-0.044218107517667526
55,1,29,5034,17,0.3441129462873317,0.25949996687397775,0.08616534983273258,-0.0015523704193786865,0.7507260761546348,0.2492739238453653,-0.004490963785920819
55,1,47,5034,17,0.3407067942064409,0.26380532593317035,0.0876248006977829,-0.01072333242451238,0.7506622396383217,0.24933776036167837,-0.03051341251620484
55,2,11,5034,17,0.26710215046332664,0.23181331590827417,0.08849709233573265,-0.053208257780680224,0.7237145904159408,0.2762854095840592,-0.1661146700551395
55,2,29,5034,17,0.30202335658517987,0.2517855996813009,0.08971991039934443,-0.03948215349546548,0.7372812216758745,0.2627187783241254,-0.11561205406654174
55,2,47,5034,17,0.29624514661838064,0.2561826755235874,0.09119626836560119,-0.05113379727080796,0.7374732407653005,0.2625267592346994,-0.14719889668131203
55,4,11,5034,17,0.2142938899183835,0.22211143239911607,0.0914247561505444,-0.09924229863127701,0.7084076432342553,0.29159235676574474,-0.31652581824875436
55,4,29,5034,17,0.23008723212040683,0.24063194396234924,0.0933469989576095,-0.10389171079955198,0.7205003460952296,0.2794996539047703,-0.3110726379670308
55,4,47,5034,17,0.23183271335970634,0.24274059346677207,0.09574531270234354,-0.10665319280940927,0.7171364864612505,0.28286351353874956,-0.3150890210362933
55,8,11,5034,17,0.10184367723246346,0.21782923614601363,0.08834860080765577,-0.20433415972120597,0.7114467797973744,0.28855322020262564,-0.6673708383148766
55,8,29,5034,17,0.11168787832543436,0.22775090536975176,0.09151742290142523,-0.20758044994574265,0.7133526416572925,0.28664735834270744,-0.6501755155914808
55,8,47,5034,17,0.12425203849503219,0.23495501174265254,0.09278101524197675,-0.20348398848959712,0.7169032159948404,0.2830967840051596,-0.62087769343448
62,1,11,3398,21,0.29185497998691057,0.19528109266979704,0.08752328255014205,0.00905060476697143,0.6691031713029371,0.29988620565620433,0.031010623040858658
62,1,29,3398,21,0.292017674581459,0.19087068428406428,0.0847421804938306,0.016404809803564086,0.6536271633476778,0.2901953815476727,0.0561774551046496
62,1,47,3398,21,0.2854118651476497,0.18854178087704943,0.08339532324625187,0.013474761024348412,0.6605954548508791,0.29219290937014714,0.047211635778973755
62,2,11,3398,21,0.26894984761375185,0.19010573350993404,0.09134200412624917,-0.012497890022431382,0.675456605572991,0.3245433944270091,-0.0444057220974607
62,2,29,3398,21,0.26937540487589573,0.1850208366390913,0.08621524916004702,-0.001860680923242597,0.682139458302414,0.317860541697586,-0.006860005068132819
62,2,47,3398,21,0.26139740958363555,0.18370012060699256,0.08491049453496743,-0.00721320555832446,0.6838900261253917,0.31610997387460826,-0.02685376210658056
62,4,11,3398,21,0.21331074662518645,0.1855420869414682,0.09411922267676967,-0.06635056299305143,0.6634528286903518,0.33654717130964823,-0.23725327998937626
62,4,29,3398,21,0.20550671892606964,0.17833493589130547,0.09071611395824421,-0.06354433092348002,0.6628293626470826,0.33717063735291736,-0.23617945724059913
62,4,47,3398,21,0.20231333742573498,0.17610988400153404,0.08905720575518548,-0.06285375233098456,0.6641468372380147,0.3358531627619853,-0.23703451430813086
62,8,11,3398,21,0.08306538017045484,0.1736757897237347,0.0951117940825338,-0.18572220363581368,0.646145135367984,0.35385486463201604,-0.6909627334932068
62,8,29,3398,21,0.07815831649251803,0.17286590147290612,0.09504766784828692,-0.189755252828675,0.6452301087656471,0.3547698912343529,-0.7082704071669602
62,8,47,3398,21,0.0845050080721006,0.16917159980702476,0.08940838569381868,-0.17407497742874284,0.6542331552821321,0.34576684471786795,-0.673195866615806
63,1,11,5007,18,0.2872618073477695,0.2318364124946085,0.08684611554519628,-0.031420720692035276,0.7274839129732621,0.2725160870267379,-0.09859568042622875
63,1,29,5007,18,0.29991100706913787,0.22530570003417255,0.08518705458434019,-0.010581747549374888,0.7256391548040941,0.274360845195906,-0.03408049750589563
63,1,47,5007,18,0.2830883611837032,0.21994592528187812,0.08654257257630954,-0.023400136674484484,0.7176319072947631,0.28236809270523694,-0.07634915123409211
63,2,11,5007,18,0.2614854539829903,0.22486678729782172,0.08651891191026197,-0.04990024522509343,0.7221487302393883,0.27785126976061175,-0.160252206032582
63,2,29,5007,18,0.26697142863580337,0.21627736477525003,0.08670683606338608,-0.03601277220283278,0.7138239029514132,0.286176097048587,-0.11886023133599805
63,2,47,5007,18,0.25923457648501025,0.21243965079945315,0.08579071257036075,-0.03899578688480365,0.7123340775869361,0.28766592241306393,-0.13075726577326333
63,4,11,5007,18,0.19891566674563843,0.2142886260292537,0.09074397467688412,-0.1061169339604994,0.7025105694708842,0.29748943052911586,-0.34788718882782727
63,4,29,5007,18,0.19948482655945476,0.2045415189684271,0.0893982422783533,-0.09445493468732563,0.695862030032412,0.3041379699675881,-0.32134112883089994
63,4,47,5007,18,0.18288517070011867,0.2003980459504643,0.08865813060071451,-0.10617100585106017,0.6932840818054025,0.3067159181945976,-0.3673023255127091
63,8,11,5007,18,0.03844684240410978,0.2186029300551725,0.09032507511446954,-0.27048116276553225,0.7076177180347596,0.29238228196524046,-0.8755475652555442
63,8,29,5007,18,0.05497899867141742,0.2080489678830934,0.08936203186570663,-0.2424320010773826,0.699533534599649,0.300466465400351,-0.8151413407108213
63,8,47,5007,18,0.04706754496224386,0.20433273615331998,0.09003976711190431,-0.24730495830298044,0.6941298317160414,0.30587016828395863,-0.8401088945463195
67,1,11,5415,16,0.23814535594870667,0.16880010962963488,0.1068768929029878,-0.037531646583916035,0.6123111760461761,0.3876888239538238,-0.13614355292286184
67,1,29,5415,16,0.2549354712373969,0.16945177387611127,0.11335521318191755,-0.02787151582063191,0.5991781732087887,0.40082182679121126,-0.09855313728480473
67,1,47,5415,16,0.22835912072561393,0.17271279915834808,0.10724538417473178,-0.05159906260746594,0.6169235601620663,0.3830764398379337,-0.18430989226014524
67,2,11,5415,16,0.20692163853575296,0.16638937356322084,0.11267864487079252,-0.07214637989826041,0.5962323253553478,0.40376767464465224,-0.25852614822403835
67,2,29,5415,16,0.21147389586172904,0.16674984451181343,0.11909676024606355,-0.07437270889614796,0.5833542947031221,0.4166457052968779,-0.26018398560005457
67,2,47,5415,16,0.1937925339308183,0.16930697350213894,0.11325790385819981,-0.08877234342952046,0.5991791162573665,0.4008208837426334,-0.31416623417182243
67,4,11,5415,16,0.13330754494378838,0.1595732260740667,0.11774037802195242,-0.14400605915223078,0.5754251638474068,0.42457483615259317,-0.5192895589152887
67,4,29,5415,16,0.14440666940729674,0.16154272769770023,0.12410472300797955,-0.14124078129838305,0.5655318375802615,0.43446816241973857,-0.4944583995041922
67,4,47,5415,16,0.13389376756776727,0.16145370661160943,0.11678813417931848,-0.14434807322316068,0.5802639392862787,0.41973606071372127,-0.5187863651736851
67,8,11,5415,16,-0.009118665251628633,0.15508117388241266,0.11733571626348023,-0.2815355553975215,0.5692788497782165,0.43072115022178353,-1.03347320075031
67,8,29,5415,16,-0.0040828601697213696,0.15305112067995247,0.12420220347233023,-0.281336184322004,0.5520262783067243,0.44797372169327565,-1.0147260999744723
67,8,47,5415,16,-0.01608719707332429,0.15376657566897,0.11371853505203944,-0.28357230779433373,0.5748603174752056,0.4251396825247944,-1.0601424020572998
73,1,11,2386,20,0.35438010795999175,0.23469045872508923,0.09111218309291627,0.02857746614198623,0.6622562989669413,0.2571029836223271,0.08064071741073155
73,1,29,2386,20,0.35867090710117344,0.2495035337119162,0.08984437078251276,0.019323002606744445,0.69563359829889,0.2504924960561955,0.053873905644914316
73,1,47,2386,20,0.3631715665863141,0.23362641446895058,0.09115995961453388,0.038385192502829624,0.6432948941046165,0.25101072881725206,0.10569437707813151
