min_resp,min_opt,seed,n_blocks,split,deficit
1200,10,43,32,sex,0.08764429841009702
1200,10,43,32,modality,0.038065313992061145
1200,10,43,32,placebo,0.0019334422372221383
1200,12,3,22,sex,0.07188567582158978
1200,12,3,22,modality,0.02792447479783189
1200,12,3,22,placebo,0.001631171985525759
1200,12,13,22,sex,0.06501520458437926
1200,12,13,22,modality,0.022519320130529485
1200,12,13,22,placebo,-0.0006065614849860568
1200,12,23,22,sex,0.06519644125659962
1200,12,23,22,modality,0.019123798387305713
1200,12,23,22,placebo,-8.293186365837535e-05
1200,12,33,22,sex,0.07065828935143836
1200,12,33,22,modality,0.04655461444682363
1200,12,33,22,placebo,-0.0018329963763387136
1200,12,43,22,sex,0.07133379020855735
1200,12,43,22,modality,0.02033677335822137
1200,12,43,22,placebo,-0.00240664679571434
2000,8,3,26,sex,0.09528578212870498
2000,8,3,26,modality,0.008832112870805986
2000,8,3,26,placebo,-0.000913918773122302
2000,8,13,26,sex,0.08773070778936576
2000,8,13,26,modality,0.038462600590902674
2000,8,13,26,placebo,0.00044616795841156964
2000,8,23,26,sex,0.10879177566257192
2000,8,23,26,modality,0.05078278161540084
2000,8,23,26,placebo,0.0017215744098596497
2000,8,33,26,sex,0.09765301398397741
2000,8,33,26,modality,0.06299603772838924
2000,8,33,26,placebo,0.003030860391465162
2000,8,43,26,sex,0.09700007616365303
2000,8,43,26,modality,0.035876060262844844
2000,8,43,26,placebo,0.0014118479031806075
2000,10,3,22,sex,0.09557594846937745
2000,10,3,22,modality,0.026723947073772236
2000,10,3,22,placebo,-0.00556326988549849
2000,10,13,22,sex,0.08968902652908595
2000,10,13,22,modality,0.04771333811835998
2000,10,13,22,placebo,-0.0047902447563563655
2000,10,23,22,sex,0.0941037787634339
2000,10,23,22,modality,0.03274666777476953
2000,10,23,22,placebo,-0.00514967391057175
2000,10,33,22,sex,0.09576972075946244
2000,10,33,22,modality,-0.0256136395889085
2000,10,33,22,placebo,-0.003334024042897621
2000,10,43,22,sex,0.08772052360574811
2000,10,43,22,modality,0.02143937079264424
2000,10,43,22,placebo,-0.003009172436892249
2000,12,3,17,sex,0.068701238224398
2000,12,3,17,modality,0.027477120513550113
2000,12,3,17,placebo,0.004367727150610179
2000,12,13,17,sex,0.07245334937495407
2000,12,13,17,modality,0.017221414683939562
2000,12,13,17,placebo,0.00228660258459612
2000,12,23,17,sex,0.0714940718468502
2000,12,23,17,modality,0.021973845868708985
2000,12,23,17,placebo,-0.0018613994121728927
2000,12,33,17,sex,0.07267069406263882
2000,12,33,17,modality,0.003457313462624012
2000,12,33,17,placebo,-0.0007396107103809779
2000,12,43,17,sex,0.07227209820738856
2000,12,43,17,modality,0.025666328641423264
2000,12,43,17,placebo,0.006203666846571809
