g,dim,k,seed,glob,neighbour,random_nb,gap,ctrl_gap,n_pairs,n_people
0.0,32,400,4,67.0890513223323,67.67957947071314,65.47966429954809,0.5905281483808409,-1.6093870227842046,77023,6230
0.0,32,400,5,66.24337399001595,67.39949096197797,66.01325769812247,1.156116971962021,-0.2301162918934807,77724,6230
0.0,32,1000,1,66.05454686731073,67.36230832047909,65.6523481430732,1.3077614531683537,-0.402198724237536,77218,6230
0.0,32,1000,2,66.66100143809648,67.46281874300003,65.73133239539368,0.8018173049035511,-0.9296690427027983,76490,6230
0.0,32,1000,3,66.06939595083708,67.3217344271162,66.10406075119415,1.252338476279121,0.03466480035707775,78189,6230
0.0,32,1000,4,67.0890513223323,67.64332694598374,66.12265978050355,0.5542756236514492,-0.9663915418287417,77023,6230
0.0,32,1000,5,66.24337399001595,67.3609578101261,66.2032071741462,1.1175838201101413,-0.040166815869753236,77724,6230
0.0,32,2500,1,66.05454686731073,67.08491581007686,66.25602709445572,1.0303689427661311,0.20148022714498381,77218,6230
0.0,32,2500,2,66.66100143809648,67.1437501627901,66.08436246157052,0.4827487246936215,-0.5766389765259561,76490,6230
0.0,32,2500,3,66.06939595083708,67.04099110120926,66.05155655726159,0.9715951503721811,-0.017839393575485474,78189,6230
0.0,32,2500,4,67.0890513223323,67.30022269408047,66.7088444157521,0.21117137174817913,-0.38020690658019873,77023,6230
0.0,32,2500,5,66.24337399001595,67.03847502304866,66.38798795694478,0.795101033032708,0.14461396692883,77724,6230
0.0,64,400,1,66.05454686731073,67.25818577761646,66.83514523197043,1.2036389103057274,0.7805983646596957,77218,6230
0.0,64,400,2,66.66100143809648,67.40378980269584,65.96972539211089,0.7427883645993631,-0.6912760459855889,76490,6230
0.0,64,400,3,66.06939595083708,67.36168349474552,66.05667891764526,1.2922875439084436,-0.012717033191819382,78189,6230
0.0,64,400,4,67.0890513223323,67.60966388730644,65.47966429954809,0.5206125649741438,-1.6093870227842046,77023,6230
0.0,64,400,5,66.24337399001595,67.3691728346968,66.01325769812247,1.125798844680844,-0.2301162918934807,77724,6230
0.0,64,1000,1,66.05454686731073,67.30916302643006,65.6523481430732,1.2546161591193226,-0.402198724237536,77218,6230
0.0,64,1000,2,66.66100143809648,67.46542338447112,65.73133239539368,0.8044219463746458,-0.9296690427027983,76490,6230
0.0,64,1000,3,66.06939595083708,67.25863156945822,66.10406075119415,1.1892356186211401,0.03466480035707775,78189,6230
0.0,64,1000,4,67.0890513223323,67.69770573307784,66.12265978050355,0.6086544107455438,-0.9663915418287417,77023,6230
0.0,64,1000,5,66.24337399001595,67.42153718299983,66.2032071741462,1.1781631929838738,-0.040166815869753236,77724,6230
0.0,64,2500,1,66.05454686731073,67.08880449012923,66.25602709445572,1.034257622818501,0.20148022714498381,77218,6230
0.0,64,2500,2,66.66100143809648,67.15026176646785,66.08436246157052,0.48926032837137257,-0.5766389765259561,76490,6230
0.0,64,2500,3,66.06939595083708,66.98175168381604,66.05155655726159,0.9123557329789662,-0.017839393575485474,78189,6230
0.0,64,2500,4,67.0890513223323,67.25231757211662,66.7088444157521,0.16326624978432847,-0.38020690658019873,77023,6230
0.0,64,2500,5,66.24337399001595,66.97744478061576,66.38798795694478,0.7340707905998016,0.14461396692883,77724,6230
0.0,128,400,1,66.05454686731073,67.19898375827965,66.83514523197043,1.1444368909689189,0.7805983646596957,77218,6230
0.0,128,400,2,66.66100143809648,67.44025525818844,65.96972539211089,0.7792538200919665,-0.6912760459855889,76490,6230
0.0,128,400,3,66.06939595083708,67.33934320669671,66.05667891764526,1.269947255859634,-0.012717033191819382,78189,6230
0.0,128,400,4,67.0890513223323,67.55577423573436,65.47966429954809,0.46672291340206584,-1.6093870227842046,77023,6230
0.0,128,400,5,66.24337399001595,67.40335796184961,66.01325769812247,1.159983971833654,-0.2301162918934807,77724,6230
0.0,128,1000,1,66.05454686731073,67.14972714428299,65.6523481430732,1.0951802769722576,-0.402198724237536,77218,6230
0.0,128,1000,2,66.66100143809648,67.44458625270232,65.73133239539368,0.7835848146058453,-0.9296690427027983,76490,6230
0.0,128,1000,3,66.06939595083708,67.27666095736049,66.10406075119415,1.2072650065234143,0.03466480035707775,78189,6230
0.0,128,1000,4,67.0890513223323,67.66796576592907,66.12265978050355,0.5789144435967728,-0.9663915418287417,77023,6230
