world,q,Kc,seed,arm,C
real,53,1,29,real,0.003947333399568209
real,53,1,29,perm,-0.0002654548871903195
real,53,2,11,real,0.012371201519876918
real,53,2,11,perm,-0.00011993048806735462
real,53,2,29,real,0.010730474344386454
real,53,2,29,perm,-0.0003219003861826275
real,53,3,11,real,0.01994259128126874
real,53,3,11,perm,-0.00028799304269289117
real,53,3,29,real,0.02006654487363213
real,53,3,29,perm,-0.0005524001399775935
real,53,5,11,real,0.02612757354423534
real,53,5,11,perm,-0.0007066964611863735
real,53,5,29,real,0.025681747711584046
real,53,5,29,perm,-0.0005229944312332702
real,53,8,11,real,0.027421768010687075
real,53,8,11,perm,-0.0019605530763697754
real,53,8,29,real,0.027458074303673086
real,53,8,29,perm,-0.0008079633580855283
real,53,12,11,real,0.03314574962841099
real,53,12,11,perm,-0.002640087279542902
real,53,12,29,real,0.03387638043057817
real,53,12,29,perm,-0.0014631574232044642
real,53,16,11,real,0.034836339495069146
real,53,16,11,perm,-0.0052753722863592145
real,53,16,29,real,0.035673614870871284
real,53,16,29,perm,-0.002088924562883454
real,53,24,11,real,0.03768747105579873
real,53,24,11,perm,-0.007664565698057291
real,53,24,29,real,0.039050439584911945
real,53,24,29,perm,-0.00316855251072079
real,53,32,11,real,0.03853021495545217
real,53,32,11,perm,-0.009233288600787204
real,53,32,29,real,0.04090390389708065
real,53,32,29,perm,-0.004815005794716609
real,55,1,11,real,0.0065279364831701825
real,55,1,11,perm,-0.00012789080535990927
real,55,1,29,real,0.008707519421244259
real,55,1,29,perm,-4.135766940582819e-06
real,55,2,11,real,0.009474104564994756
real,55,2,11,perm,-0.0005233963752671045
real,55,2,29,real,0.010874426046946106
real,55,2,29,perm,-0.00015874529548920435
real,55,3,11,real,0.013372807475056314
real,55,3,11,perm,-0.0004956349935462123
real,55,3,29,real,0.01539377831149269
real,55,3,29,perm,-2.6743319734512383e-05
real,55,5,11,real,0.01956575441974273
real,55,5,11,perm,-0.0008300458068327687
real,55,5,29,real,0.0215666721097032
real,55,5,29,perm,-0.00013003561011393217
real,55,8,11,real,0.026480808705314773
real,55,8,11,perm,-0.0009255186434584672
real,55,8,29,real,0.027420961372123354
real,55,8,29,perm,-0.000674144547062494
real,55,12,11,real,0.03274274700028923
real,55,12,11,perm,-0.001250275897765496
real,55,12,29,real,0.03388913058091436
real,55,12,29,perm,-0.0009826628334705934
real,55,16,11,real,0.04123802210722538
real,55,16,11,perm,-0.0024997660968474333
real,55,16,29,real,0.04097273055649708
real,55,16,29,perm,-0.0018404923174403232
real,55,24,11,real,0.04878651483367891
real,55,24,11,perm,-0.0042062444153663225
real,55,24,29,real,0.04751031133625705
real,55,24,29,perm,-0.002708498208842891
real,55,32,11,real,0.05361401905292584
real,55,32,11,perm,-0.004768362646447644
real,55,32,29,real,0.05116540902113198
real,55,32,29,perm,-0.003240272177568504
real,62,1,11,real,0.01838704601755292
real,62,1,11,perm,-0.0006223013864118387
real,62,1,29,real,0.015994549345964337
real,62,1,29,perm,0.00022407875816832235
real,62,2,11,real,0.021754817361775203
real,62,2,11,perm,-0.001107778069939891
real,62,2,29,real,0.019759668825035215
real,62,2,29,perm,0.0003366798648349878
real,62,3,11,real,0.029520229284722865
real,62,3,11,perm,-0.0014108248331154982
real,62,3,29,real,0.02774544341723939
real,62,3,29,perm,0.00032318416501309066
real,62,5,11,real,0.045562176106549446
real,62,5,11,perm,-0.0020830048859735717
real,62,5,29,real,0.04309657141290013
real,62,5,29,perm,-0.0005053132410011152
real,62,8,11,real,0.05271359602438774
real,62,8,11,perm,-0.002546942801960772
real,62,8,29,real,0.048282582096164095
real,62,8,29,perm,-0.00134219876711128
real,62,12,11,real,0.05783543456176987
real,62,12,11,perm,-0.002545746563535123
real,62,12,29,real,0.05340180380907167
real,62,12,29,perm,-0.0014782908798738337
real,62,16,11,real,0.06090601202526935
real,62,16,11,perm,-0.003383845667432661
real,62,16,29,real,0.05572561288016353
real,62,16,29,perm,-0.0028719638756291577
real,62,24,11,real,0.06549386282790004
real,62,24,11,perm,-0.006022792121270437
real,62,24,29,real,0.05961765625484128
real,62,24,29,perm,-0.0037547471550740674
real,62,32,11,real,0.06716278245319152
real,62,32,11,perm,-0.006831661637646258
real,62,32,29,real,0.06050379439761622
real,62,32,29,perm,-0.006088262250858567
real,63,1,11,real,0.0038891977950932244
real,63,1,11,perm,1.1197098901405411e-05
real,63,1,29,real,0.0066692679148883105
real,63,1,29,perm,-0.00010970215938554961
real,63,2,11,real,0.006580086118595507
real,63,2,11,perm,-7.389500203192068e-05
