q,Kc,Kw,seed,world,I,P,C,W
7,1,2,29,permC,0.08184998876567434,0.1294142328225681,-0.0001208904854377949,0.055220857878107654
7,1,2,29,margin,0.08893025620685352,0.1004746119750179,-0.00011692965932811697,-0.19960085538557512
7,1,2,29,both,0.0892879472400826,0.10069283001296717,0.00037971762194611663,-0.1991298244856773
7,1,4,29,real,0.0817932635698623,0.1324473547710689,0.009288004568845237,-0.07838917470512091
7,1,4,29,permC,0.08192821317438037,0.13177126088162683,1.0935433237981503e-05,-0.07296329881312384
7,1,4,29,margin,0.08888423299604313,0.1173692492610707,-2.051922565021734e-05,-0.3273067085938827
7,1,4,29,both,0.08907942857073979,0.11717227629149836,0.00035452701915547613,-0.3269572787304535
7,4,1,29,real,0.08479188156748882,0.12496657667723926,0.018258110761548214,0.0652100083919318
7,4,1,29,permC,0.08451663469520737,0.12159546817126853,-0.0009818256601980635,0.07710302462393039
7,4,1,29,margin,0.0875579528624485,0.0884438836194,0.0004871018766571811,-0.09685230274752836
7,4,1,29,both,0.0882842882744764,0.08878439898703536,-0.002036407029059985,-0.09597502523429949
7,4,2,29,real,0.08209321393155218,0.13051848324573878,0.01785701970924556,0.04465584829539122
7,4,2,29,permC,0.08218211733356284,0.1297929158897399,-0.0012340226057921213,0.056697758634098386
7,4,2,29,margin,0.08870544745366972,0.100696447952807,0.0003774449908815758,-0.19927802933390898
7,4,2,29,both,0.08960047686191705,0.10095504036808421,-0.0018167470477888266,-0.19807143495363333
7,4,4,29,real,0.08240768937986748,0.13297276556839166,0.019804650038402528,-0.08171250398535909
7,4,4,29,permC,0.08271274797525943,0.13201240121916888,-0.0014809915215242553,-0.07186519289154103
7,4,4,29,margin,0.08845248379924713,0.11785645726645193,-0.00018409366171542874,-0.3276418316284915
7,4,4,29,both,0.08940268108120293,0.11776552720340186,-0.0015734735864818827,-0.3256304251343119
7,8,1,29,real,0.08427162099547761,0.12946088866086142,0.019721125686854163,0.05410227642475195
7,8,1,29,permC,0.08440157921022792,0.12146272727856063,-8.545814216881498e-05,0.07721941557493384
7,8,1,29,margin,0.08780022639358287,0.08909806125259459,-0.0003861489813891764,-0.09696222350751578
7,8,1,29,both,0.0886513449922157,0.0889679179713482,-0.003749366009138564,-0.09613380196493715
7,8,2,29,real,0.08220305157117372,0.13459791004183583,0.020297205884356295,0.03452528757801615
7,8,2,29,permC,0.08196846063043135,0.13008805185932398,-0.0005063718835583431,0.056645432789306366
7,8,2,29,margin,0.08898012701820336,0.10127144930707553,-0.00031071454031216433,-0.19920285876704377
7,8,2,29,both,0.08963657420193474,0.10089948852719327,-0.0027602521583262964,-0.1974607578147299
7,8,4,29,real,0.08176333986769856,0.13665828861969756,0.023002494534909757,-0.09108540638133766
7,8,4,29,permC,0.08248550529782708,0.1322962261805002,-0.00031343876684319916,-0.07147761670388576
7,8,4,29,margin,0.08859317909997322,0.11836449210781899,-0.0010496769860219024,-0.32774408485473905
7,8,4,29,both,0.08945589454853825,0.11751333590604413,-0.0024564101478694775,-0.3249591794462586
8,1,1,11,real,0.12958752994624173,0.09855355040489572,0.0006127991297182056,-0.052283152180209506
8,1,1,11,permC,0.12964645988701687,0.09818560065113975,0.0009567561005888643,-0.05234699466656056
8,1,1,11,margin,0.11483452754030568,0.10307917436763651,-0.002074497482546335,-0.10626894012262181
8,1,1,11,both,0.1147165883520423,0.10276406195389538,-0.001011456360284546,-0.10649894444435486
8,1,2,11,real,0.12906237138074805,0.11033420554098619,0.00037305845768658325,-0.08779584180927802
8,1,2,11,permC,0.1290892497829677,0.11001443353130871,0.0011114518592863867,-0.08746524786489993
8,1,2,11,margin,0.11357076260234261,0.11402921653215259,-0.0024023870485888055,-0.19531230215728146
8,1,2,11,both,0.11345059712157916,0.11368335275229104,-0.0009381939335650068,-0.1951411544862525
8,1,4,11,real,0.13154607583170458,0.11977921073209556,-0.00016166347369954887,-0.10479759082772297
8,1,4,11,permC,0.13192367612161576,0.11945412551377266,0.00082657810478536,-0.10421714870645978
8,1,4,11,margin,0.11313484705406132,0.11989176769008848,-0.0019110448943139013,-0.3611688307189026
8,1,4,11,both,0.11291847627862805,0.11950122173394344,-0.0010017853429161263,-0.3615526166114997
8,4,1,11,real,0.12931389298102902,0.09866607894000938,0.0029938262439728838,-0.05234371556181982
8,4,1,11,permC,0.12979421395257723,0.09798173529319645,0.00018991797984890807,-0.051642071473435025
8,4,1,11,margin,0.11444542668446589,0.103608744968032,-0.005607637629401742,-0.10726352024909132
8,4,1,11,both,0.11484274701031104,0.10264638582154118,-0.0014172649971867328,-0.10642440028980193
8,4,2,11,real,0.12901462336330077,0.11026076480346429,0.001546291000072151,-0.08906419976275744
8,4,2,11,permC,0.12918691921737296,0.10988157920313708,0.00024360558708510127,-0.08686133282323572
8,4,2,11,margin,0.11302471549720536,0.11482092521395527,-0.005047676881851176,-0.19541903197015792
8,4,2,11,both,0.11345582177651334,0.11337619354399094,-0.0015696279576541683,-0.19529223571888654
8,4,4,11,real,0.13115671078877775,0.11926380403472783,0.0027430801844286015,-0.10433443766545981
8,4,4,11,permC,0.13204328543770688,0.1194384215695126,-5.135080692729053e-06,-0.10357710057807237
8,4,4,11,margin,0.112831328239407,0.11996736607612175,-0.004536379679872369,-0.3612556054840752
8,4,4,11,both,0.11287429517010511,0.1194030617953972,-0.0017052564988451016,-0.36177573497597354
8,8,1,11,real,0.1290524548457462,0.09955650245605188,0.00795412946629186,-0.052676925274681416
8,8,1,11,permC,0.12941134295039228,0.09726628587293248,-0.0009146251874902477,-0.05082160074434368
8,8,1,11,margin,0.11350469768243404,0.10400925219353797,-0.007926744949939316,-0.10748079928251246
8,8,1,11,both,0.11524597870282298,0.10198275172263721,-0.0037403410181734895,-0.1064724133800526
8,8,2,11,real,0.1289719472940441,0.1112255467888768,0.00670263390580524,-0.08920136979220493
8,8,2,11,permC,0.12914610640687535,0.10936293411185885,-0.0002206776039615036,-0.08540060211785183
8,8,2,11,margin,0.11244570421556735,0.11537212734127514,-0.006648130810509244,-0.19491765761169957
8,8,2,11,both,0.11373697372364855,0.11252035436116357,-0.003596273440539375,-0.19504381827103565
8,8,4,11,real,0.13092212192350866,0.12007605787873542,0.008322346713079418,-0.10404868407198957
8,8,4,11,permC,0.13193519024490855,0.11898461779064863,-0.0008063335478292002,-0.10245328514877834
