q,gate_free,arm,seed,C
53,True,perm_count,29,-0.0023556636204140613
53,True,perm_pattern,29,-0.00010412733789133544
53,True,real,47,0.009288778159986855
53,True,perm_free,47,-0.0006079436659769399
53,True,perm_count,47,-0.0016471152049298832
53,True,perm_pattern,47,-0.0017193120297719355
55,False,real,11,0.026480808705314773
55,False,perm_free,11,-0.0008718354401063833
55,False,perm_count,11,0.0011042322857712783
55,False,perm_pattern,11,-0.0007039456441222391
55,False,real,29,0.027420961372123354
55,False,perm_free,29,-0.000908287559552412
55,False,perm_count,29,0.00014763049090005254
55,False,perm_pattern,29,-0.0010613258384681856
55,False,real,47,0.02596162287755055
55,False,perm_free,47,-0.0009164642691817937
55,False,perm_count,47,-4.387680414630335e-05
55,False,perm_pattern,47,-0.0007854174660265612
55,True,real,11,0.01559134729790368
55,True,perm_free,11,-0.0011708317357894682
55,True,perm_count,11,-0.0008144744788820546
55,True,perm_pattern,11,-0.0007425789440168584
55,True,real,29,0.017072661217193308
55,True,perm_free,29,-0.0006447724550802114
55,True,perm_count,29,-0.0012069812379073008
55,True,perm_pattern,29,-0.0007327824036824637
55,True,real,47,0.015337099732390946
55,True,perm_free,47,-0.0009105583207672518
55,True,perm_count,47,-0.001730277137673042
55,True,perm_pattern,47,-0.0011795241608602014
62,False,real,11,0.05271359602438774
62,False,perm_free,11,-0.00010590240026986386
62,False,perm_count,11,0.0009172907403190989
62,False,perm_pattern,11,-0.002669857305871881
62,False,real,29,0.048282582096164095
62,False,perm_free,29,-0.0008700093431042166
62,False,perm_count,29,0.00029884967182292055
62,False,perm_pattern,29,-0.0008787368360200221
62,False,real,47,0.04424326292517955
62,False,perm_free,47,-0.001656581853695882
62,False,perm_count,47,-0.0006954178257099208
62,False,perm_pattern,47,-0.0018659772699942678
62,True,real,11,0.03191914200721335
62,True,perm_free,11,-0.0004455000792453756
62,True,perm_count,11,-0.0010264939873281254
62,True,perm_pattern,11,-0.003255133813150124
62,True,real,29,0.027393959552828306
62,True,perm_free,29,-0.0005760667359363536
62,True,perm_count,29,-0.0019586719602698865
62,True,perm_pattern,29,-0.0009142311379519708
62,True,real,47,0.02556319497057602
62,True,perm_free,47,-0.002113030225793122
62,True,perm_count,47,-0.001663618769566333
62,True,perm_pattern,47,-0.0015866708936403962
63,False,real,11,0.024605082793787703
63,False,perm_free,11,-0.000800580578448562
63,False,perm_count,11,0.0009526383993710974
63,False,perm_pattern,11,-0.0009302635955021898
63,False,real,29,0.02339294385239854
63,False,perm_free,29,-0.0006557566845536433
63,False,perm_count,29,-0.0003109988500608063
63,False,perm_pattern,29,-0.001152594830953757
63,False,real,47,0.024390459364664663
63,False,perm_free,47,-0.0005873009285326525
63,False,perm_count,47,0.0004916689139261576
63,False,perm_pattern,47,-0.0011793732337455065
63,True,real,11,0.011792978291484624
63,True,perm_free,11,-0.0007023163297623647
63,True,perm_count,11,-0.0005254890717736327
63,True,perm_pattern,11,-0.0009434193027861859
63,True,real,29,0.009931093719947048
63,True,perm_free,29,-0.0005257005989223185
63,True,perm_count,29,-0.0008730638212794961
63,True,perm_pattern,29,-0.00121525196967176
63,True,real,47,0.010888952804156693
63,True,perm_free,47,-0.0010977208202979094
63,True,perm_count,47,-0.0009559881331476783
63,True,perm_pattern,47,-0.0014859426247700869
67,False,real,11,0.019246835431041553
67,False,perm_free,11,-0.0010054583634689918
67,False,perm_count,11,-0.001116985939156434
67,False,perm_pattern,11,-0.0008643936056786927
67,False,real,29,0.020434804999852618
67,False,perm_free,29,0.000128117677954509
67,False,perm_count,29,-0.0004964892619436778
67,False,perm_pattern,29,0.00014580504804606598
67,False,real,47,0.018347450625673667
67,False,perm_free,47,-0.0016508305614832963
67,False,perm_count,47,-0.0008902615548754822
67,False,perm_pattern,47,-0.0017470013909685056
67,True,real,11,0.00980322722299598
67,True,perm_free,11,-0.0009656992633119144
67,True,perm_count,11,-0.0009326457823306544
67,True,perm_pattern,11,-0.0010294235350810643
67,True,real,29,0.010882020542756332
67,True,perm_free,29,3.3740533858628297e-05
67,True,perm_count,29,-0.0008967020203567433
67,True,perm_pattern,29,-0.00048071673105831714
67,True,real,47,0.008911504663194902
