arm,cat,n,diff,early,late,dy
shuf_both,16,2488,0.0031788118012955335,0.2377067082505432,0.23452789644924768,0.0
plant_both,16,2370,-0.014252324115333614,0.23259408618390096,0.24684641029923457,0.002214543032605931
raw,17,5674,-0.006943936964942221,0.09677689596985228,0.1037208329347945,0.0
corr,17,5340,0.01776625162962167,0.09589540554945224,0.07812915391983057,0.0
meanrating,17,5674,-0.020550601489680104,0.1727106934276771,0.1932612949173572,0.0
both,17,5340,0.018690594288522655,0.17572421898711968,0.15703362469859702,0.0
shuf_both,17,5804,0.011909693382279207,0.19159126288949924,0.17968156950722003,0.0
plant_both,17,5308,0.07124393891990694,0.23670852551056276,0.16546458659065583,0.020498688191906034
raw,18,630,0.047773644136070346,0.0062048973737728885,-0.04156874676229746,0.0
corr,18,650,0.019642134605763528,0.028207065984272545,0.008564931378509019,0.0
meanrating,18,630,0.025139354379100365,0.08898068319585746,0.0638413288167571,0.0
both,18,650,0.050464160260840454,0.15313084136600044,0.10266668110515999,0.0
shuf_both,18,642,-0.07919291525645863,0.07069722894444513,0.14989014420090377,0.0
plant_both,18,654,0.09071280294307417,0.21402835429103506,0.12331555134796089,0.030571232202530663
raw,19,626,0.09522619959376119,0.05236985630988794,-0.042856343283873256,0.0
corr,19,634,0.06081172755929237,0.03985224575828824,-0.020959481801004137,0.0
meanrating,19,626,0.021332412294531533,0.11658073107784628,0.09524831878331474,0.0
both,19,634,0.014187725894965406,0.11769415642802576,0.10350643053306036,0.0
shuf_both,19,664,-0.01759510547514659,0.08517737617924524,0.10277248165439183,0.0
plant_both,19,626,0.04454361570211547,0.131228676516154,0.08668506081403853,0.011895736479364594
raw,20,3406,-0.022451387431506466,0.010929712607309294,0.03338110003881576,0.0
corr,20,3436,-0.01898403575624228,0.009700392454775645,0.028684428211017927,0.0
meanrating,20,3406,-0.07375308150044427,0.10852046679311678,0.18227354829356104,0.0
both,20,3436,-0.06591168444049811,0.12024168673795821,0.18615337117845632,0.0
shuf_both,20,3446,-0.03258079923818191,0.12828434249500423,0.16086514173318614,0.0
plant_both,20,3390,-0.02823234524221424,0.1656365390483304,0.19386888429054464,0.02645260574039332
raw,21,646,0.01714167294816546,0.08587034581367346,0.068728672865508,0.0
corr,21,700,-0.016729132445775535,0.08734845393709002,0.10407758638286556,0.0
meanrating,21,646,-0.04677358294779163,0.18553297611696506,0.2323065590647567,0.0
both,21,700,-0.01792821791661159,0.25987282922121807,0.27780104713782966,0.0
shuf_both,21,694,-0.011103696313722766,0.2719158543496292,0.283019550663352,0.0
plant_both,21,720,-0.03949483102654014,0.2479283393612123,0.28742317038775245,-0.002970238618497323
raw,22,2768,0.038927858241253735,0.08573410112878162,0.04680624288752788,0.0
corr,22,2892,0.045276925595089765,0.09841994512619699,0.05314301953110723,0.0
meanrating,22,2768,0.04680659944860105,0.33285547242926894,0.2860488729806679,0.0
both,22,2892,0.08284816891745067,0.3660387032399551,0.2831905343225044,0.0
shuf_both,22,3000,0.02583400930866342,0.34913122510387024,0.3232972157952068,0.0
plant_both,22,2900,0.08623846827025272,0.37049603760091215,0.28425756933065943,0.016320367161186677
raw,25,1230,0.11402382708105566,0.15326139921664556,0.03923757213558989,0.0
corr,25,1236,0.11321228607142617,0.16175417064912706,0.04854188457770089,0.0
meanrating,25,1230,0.08676586096043884,0.29960503808329025,0.21283917712285141,0.0
both,25,1236,0.07200952631401955,0.3037306497915864,0.23172112347756688,0.0
shuf_both,25,1222,0.1208124670846096,0.3381124905694069,0.2173000234847973,0.0
plant_both,25,1212,0.1257197735713403,0.35445868865191593,0.22873891508057564,-0.0026004679793705243
raw,26,3968,0.027966096613837407,0.11856043196461606,0.09059433535077865,0.0
corr,26,4116,0.02124274478953561,0.11995132312834182,0.09870857833880621,0.0
meanrating,26,3968,0.0018611136816784613,0.3908330415090429,0.38897192782736445,0.0
both,26,4116,0.006723144091849875,0.4006134669387309,0.393890322846881,0.0
shuf_both,26,4396,-0.06733803974165115,0.3669733607727801,0.43431140051443123,0.0
plant_both,26,4100,0.04581207935042059,0.44040422261993317,0.3945921432695126,0.013737071048330218
raw,27,536,0.09829529465967095,0.11596442807462198,0.01766913341495104,0.0
corr,27,552,0.047193293412007176,0.05621270478826984,0.009019411376262665,0.0
meanrating,27,536,0.16613131139693288,0.3068662691761046,0.14073495777917172,0.0
both,27,552,0.12468818662391036,0.239134649877365,0.11444646325345463,0.0
shuf_both,27,584,0.040574014492910176,0.24534267729161482,0.20476866279870465,0.0
plant_both,27,558,0.1545166499820967,0.2731422349988627,0.11862558501676602,0.03202869625587512
raw,29,6692,0.010709208853125634,0.023208308104774016,0.012499099251648382,0.0
corr,29,6932,0.008747063394540254,0.026359439759976493,0.01761237636543624,0.0
meanrating,29,6692,-0.002412253457648117,0.16606107031433728,0.1684733237719854,0.0
both,29,6932,0.007467051249870682,0.17813291424035138,0.1706658629904807,0.0
shuf_both,29,7048,-0.014372327074266666,0.16393371093829465,0.1783060380125613,0.0
plant_both,29,6872,0.07379887311981254,0.24886206537307923,0.1750631922532667,-0.008245554695368806
