a,b,kind,dose,level,n,mval,e
5,9,same,age_first,0,254,7.7362204724409445,-0.05981742791039313
5,9,same,age_first,2,604,15.350993377483444,0.008309894334627366
4,14,same,gap,1,2038,2.4717860647693817,-0.0459923867524108
4,14,same,gap,2,1069,6.801683816651075,0.026392064628534218
4,14,same,age_first,0,1022,10.315068493150685,0.011664297405534485
4,14,same,age_first,1,872,13.5,0.04566739921502272
4,14,same,age_first,2,1213,16.574608408903543,0.0005557466294894287
16,17,same,gap,1,856,2.94392523364486,-0.012519462839256201
16,17,same,gap,2,438,8.026255707762557,0.04322796094589609
16,17,same,age_first,0,373,10.31367292225201,0.01270434430052253
16,17,same,age_first,1,302,13.5,-0.024452549441076554
16,17,same,age_first,2,619,17.034733441033925,0.01459788727961775
1,15,cross,gap,0,309,2.0,0.017385737905455834
1,15,cross,gap,1,414,4.717391304347826,0.05128922843404177
1,15,cross,gap,2,390,10.132051282051282,0.07183514019031106
1,15,cross,age_first,0,274,7.724452554744525,-0.05710086738358561
1,15,cross,age_first,2,607,15.292421746293245,-0.1007231072055359
20,30,same,gap,1,1832,2.8542576419213974,-0.024681433305674683
20,30,same,gap,2,1092,8.922619047619047,-0.04305951208415104
20,30,same,age_first,0,854,8.190281030444964,-0.025995137750945307
20,30,same,age_first,1,815,11.5,-0.031061034321225534
20,30,same,age_first,2,1255,14.703187250996017,0.007168209865140607
8,30,cross,gap,1,3508,2.8611744583808436,-0.00496553125449084
8,30,cross,gap,2,2232,8.673163082437275,0.03262551839558264
8,30,cross,age_first,0,1253,8.533120510774141,-0.025194982562665502
8,30,cross,age_first,1,1564,11.5,0.016345156141232997
8,30,cross,age_first,2,2923,14.82535066712282,-0.02902088509579298
2,22,cross,gap,1,874,2.4096109839816933,-0.035212916832066454
2,22,cross,gap,2,546,6.898351648351649,0.010288395434716713
2,22,cross,age_first,0,434,10.078341013824884,-0.08680643899376889
2,22,cross,age_first,1,382,13.5,-0.06739515896982379
2,22,cross,age_first,2,604,16.914735099337747,-0.0019092274898375172
4,17,same,gap,1,2291,2.5384111741597555,0.011893668908791843
4,17,same,gap,2,1744,6.879300458715596,0.012479638870578569
4,17,same,age_first,0,1200,10.324166666666667,-0.0005764315494974359
4,17,same,age_first,1,1080,13.5,0.008060901444746527
4,17,same,age_first,2,1755,16.7980056980057,-0.005533912054816625
1,14,same,gap,1,1313,2.65993907083016,-0.00970008047346832
1,14,same,gap,2,779,7.842105263157895,-0.007549881359870558
1,14,same,age_first,0,517,7.804642166344294,0.000864965986135835
1,14,same,age_first,1,497,11.5,-0.008441279198062368
1,14,same,age_first,2,1078,14.852504638218925,-0.04457917086843155
2,13,same,gap,1,887,2.468996617812852,0.09106093523599607
2,13,same,gap,2,518,7.047297297297297,0.0414604801219256
2,13,same,age_first,0,464,9.938577586206897,0.12593819765642883
2,13,same,age_first,1,394,13.5,0.10673202242805102
2,13,same,age_first,2,547,16.591407678244973,0.06734708771446041
11,12,same,gap,1,980,2.5627551020408164,0.013217966111457258
11,12,same,gap,2,611,7.190671031096563,0.05460245075296011
11,12,same,age_first,0,282,8.296099290780141,-0.008341891620634367
11,12,same,age_first,1,747,12.704819277108435,-0.01042111880350638
11,12,same,age_first,2,562,16.606761565836297,-0.014410263696527537
10,29,cross,gap,1,1672,2.91566985645933,-0.017466391603119913
10,29,cross,gap,2,1169,8.991017964071856,0.034217487086419085
10,29,cross,age_first,0,722,7.910664819944598,-0.055759731297100046
10,29,cross,age_first,1,634,11.5,0.046097937299870995
10,29,cross,age_first,2,1485,14.953872053872054,-0.007091991932448916
8,16,cross,gap,1,815,2.947239263803681,-0.044243657741349196
8,16,cross,gap,2,416,8.399038461538462,-0.07092662805041328
8,16,cross,age_first,0,403,9.80272952853598,-0.05606662993532474
8,16,cross,age_first,1,298,13.5,-0.05366543040647154
8,16,cross,age_first,2,530,16.92452830188679,-0.06561686902847941
5,15,same,gap,1,718,2.997910863509749,0.06993895702634867
5,15,same,gap,2,441,8.615646258503402,0.0608199378061664
5,15,same,age_first,0,383,9.56135770234987,-0.008479544031002262
5,15,same,age_first,1,285,13.5,-0.043283892149758973
5,15,same,age_first,2,491,17.0061099796334,0.009981390611476404
2,11,cross,gap,1,1912,2.412133891213389,-0.048867570730595444
2,11,cross,gap,2,1341,6.448173005219985,-0.005578203606277143
2,11,cross,age_first,0,829,10.005428226779252,-0.04358058919170027
2,11,cross,age_first,1,840,13.5,-0.006109044042228895
2,11,cross,age_first,2,1584,16.91256313131313,0.022351332055390527
8,15,same,gap,0,412,2.0072815533980584,0.002518922142859259
8,15,same,gap,1,335,4.240298507462686,0.0538729222155685
8,15,same,gap,2,528,8.537878787878787,0.08011995891324014
8,15,same,age_first,1,540,12.674074074074074,0.031706491747857335
8,15,same,age_first,2,526,17.019011406844108,-0.0019269167839056078
4,22,cross,gap,1,1002,2.4925149700598803,0.019526554951828534
4,22,cross,gap,2,650,6.899230769230769,0.005636445381399513
4,22,cross,age_first,0,256,8.193359375,0.0061661697220574685
4,22,cross,age_first,1,764,12.63089005235602,-0.05562173394433623
