world,q,Kw,seed,arm,W
real,85,2,29,real,0.019546689469224998
real,85,2,29,null,-0.07474053770182143
real,85,3,29,real,0.014121706531539657
real,85,3,29,null,-0.10628579135161809
real,85,5,29,real,-0.021188430180385853
real,85,5,29,null,-0.1737790255848627
real,85,8,29,real,-0.10557945853899542
real,85,8,29,null,-0.2891094197094277
real,85,12,29,real,-0.25022030851127963
real,85,12,29,null,-0.4231675335599422
real,85,16,29,real,-0.3007457633313616
real,85,16,29,null,-0.4742909137371282
real,85,24,29,real,2.220446049250313e-16
real,85,24,29,null,1.1102230246251565e-16
real,90,1,11,real,0.04737145643407259
real,90,1,11,null,-0.06333223446022263
real,90,2,11,real,0.0010863253506685489
real,90,2,11,null,-0.13632512351630477
real,90,3,11,real,0.010094929627541438
real,90,3,11,null,-0.2311598146313636
real,90,5,11,real,-0.03146022008520888
real,90,5,11,null,-0.28378326175171265
real,90,8,11,real,0.07361496452375604
real,90,8,11,null,-0.16291569061286548
real,90,12,11,real,1.1102230246251565e-16
real,90,12,11,null,1.1102230246251565e-16
real,90,16,11,real,1.1102230246251565e-16
real,90,16,11,null,1.1102230246251565e-16
real,90,24,11,real,1.1102230246251565e-16
real,90,24,11,null,1.1102230246251565e-16
real,90,1,29,real,0.05303888642508092
real,90,1,29,null,-0.06566722923202706
real,90,2,29,real,0.010990645602426352
real,90,2,29,null,-0.15869683163629922
real,90,3,29,real,0.010550122280449492
real,90,3,29,null,-0.2002796138447247
real,90,5,29,real,-0.022232392333977113
real,90,5,29,null,-0.2602893149755462
real,90,8,29,real,0.07793096187527115
real,90,8,29,null,-0.15406693286912798
real,90,12,29,real,-6.661338147750939e-16
real,90,12,29,null,-1.1102230246251565e-16
real,90,16,29,real,-6.661338147750939e-16
real,90,16,29,null,-1.1102230246251565e-16
real,90,24,29,real,-6.661338147750939e-16
real,90,24,29,null,-1.1102230246251565e-16
real,92,1,11,real,-0.018423643973832005
real,92,1,11,null,-0.059806546925584736
real,92,2,11,real,-0.02739191278870734
real,92,2,11,null,-0.11072791351462064
real,92,3,11,real,-0.06859380366638834
real,92,3,11,null,-0.1719986310233731
real,92,5,11,real,-0.10829442415849522
real,92,5,11,null,-0.26881905966302333
real,92,8,11,real,-0.23315235111425847
real,92,8,11,null,-0.3980045652252181
real,92,12,11,real,-0.3504934991051506
real,92,12,11,null,-0.47498750767416775
real,92,16,11,real,-0.09914034145989614
real,92,16,11,null,-0.08801962484046233
real,92,24,11,real,4.440892098500626e-16
real,92,24,11,null,0.0
real,92,1,29,real,-0.006981690343999092
real,92,1,29,null,-0.06387748538511584
real,92,2,29,real,-0.018754808941966905
real,92,2,29,null,-0.12498718349556137
real,92,3,29,real,-0.05242247655539545
