q,dens,scale,seed,skill,pp,pp_carriers
13,1.0,0.08,11,0.0005573948795314365,14.609662499143262,14.609662499143262
13,1.0,0.12,11,0.020686906158038587,20.067472644949007,20.067472644949007
13,1.0,0.2,11,0.08739662621454958,28.001752512280298,28.001752512280298
13,1.0,0.3,11,0.15846000831489238,34.47030684660902,34.47030684660902
13,1.0,0.5,11,0.2514393744295864,41.46832563281729,41.46832563281729
13,0.05,0.0,29,-0.007600367336785263,0.0,0.0
13,0.05,0.08,29,-0.006678761996386728,9.189164666707047,39.85971405329379
13,0.05,0.12,29,-0.005498688625073189,10.311324569034282,44.4481758413035
13,0.05,0.2,29,-0.004361336207437616,11.287774018404303,48.37448647544201
13,0.05,0.3,29,-0.004081443353470049,11.79022797617259,50.375943668114964
13,0.05,0.5,29,-0.0038494957505981198,12.202673661877437,52.03314882868916
13,0.15,0.0,29,-0.007600367336785263,0.0,0.0
13,0.15,0.08,29,-0.0030871266886686177,11.978186972062185,30.501963800961047
13,0.15,0.12,29,0.0011643121033837467,14.786240636965161,37.35863295011771
13,0.15,0.2,29,0.007394186986558249,17.49835816095507,43.86275843636338
13,0.15,0.3,29,0.011951486217591123,18.965220566111405,47.3260840523022
13,0.15,0.5,29,0.015159456961323259,20.14965926892321,50.092781123522236
13,0.3,0.0,29,-0.007600367336785263,0.0,0.0
13,0.3,0.08,29,-0.0007108139494763632,13.182763893212002,24.10798330161644
13,0.3,0.12,29,0.00994820981621336,17.34530321588724,31.492494791501414
13,0.3,0.2,29,0.028889963133801322,22.04394637702086,39.70407453372549
13,0.3,0.3,29,0.050382405582496514,24.79070190314702,44.440078661944185
13,0.3,0.5,29,0.06501012243117887,27.127285416210476,48.428244064893036
13,1.0,0.0,29,-0.007602380411404153,0.0,0.0
13,1.0,0.08,29,0.005301088495647699,14.78077529780282,14.78077529780282
13,1.0,0.12,29,0.03699100502341235,20.760041379813423,20.760041379813423
13,1.0,0.2,29,0.11542649795693316,29.968767516582133,29.968767516582133
13,1.0,0.3,29,0.20720236375609802,36.92922562551048,36.92922562551048
13,1.0,0.5,29,0.3170699866700972,43.6275849001135,43.6275849001135
17,0.05,0.0,11,-0.027538665888692915,0.0,0.0
17,0.05,0.08,11,-0.02200242109213868,8.307104530634806,36.493731434233965
17,0.05,0.12,11,-0.023196632427071928,9.486156408458427,41.19907388041365
17,0.05,0.2,11,-0.02487326086858488,10.596232756339898,45.558260318550566
17,0.05,0.3,11,-0.025097801817874132,11.16996951523261,47.75881347376455
17,0.05,0.5,11,-0.02594547530314606,11.625918965126676,49.482320863816895
17,0.15,0.0,11,-0.027538665888692915,0.0,0.0
17,0.15,0.08,11,-0.023842133661857057,12.165791463281748,29.436771777425623
17,0.15,0.12,11,-0.01778183180027393,14.77570287075401,35.38585104485316
17,0.15,0.2,11,-0.01612137623818599,17.465702444865595,41.341363232562266
17,0.15,0.3,11,-0.014036336659907667,19.06258703878927,44.80038393051324
17,0.15,0.5,11,-0.010954227704552566,20.393388585826834,47.609964568609264
17,0.3,0.0,11,-0.027538665888692915,0.0,0.0
17,0.3,0.08,11,-0.024601999184716283,13.25044360120627,23.6242605641204
17,0.3,0.12,11,-0.017206954163081378,17.107463305414697,30.270515827713872
17,0.3,0.2,11,-0.005254238967902336,21.374753730463052,37.41531026182979
