q,K,seed,world,I,P,C,W
1,1,29,margin,0.23723366461258302,0.08626410822024314,0.00012283912830442684,-0.06743583365195185
1,1,29,rowshuf,3.92659450758152e-05,0.04520928088339588,-0.00017291163134322551,-0.07164527727015661
1,1,29,colshuf,0.23144690349817815,-0.05274347156548051,0.0001435724214923865,-0.08430290910522746
1,2,29,real,0.24075008854280447,0.08466732816931585,0.002585937557341572,-0.02698675505088546
1,2,29,permC,0.24048118868661575,0.08449691592052089,-0.00010664340908972393,-0.026975334693725334
1,2,29,margin,0.2363266022349247,0.09031733745041365,0.000198349950861774,-0.13749660378559628
1,2,29,rowshuf,2.994192315541877e-05,0.049210639388106915,-8.917311822716673e-05,-0.15137276543395078
1,2,29,colshuf,0.23084586528008216,-0.04768351734128503,0.00013419733004921275,-0.15298110179039853
1,3,29,real,0.23891627969839455,0.08746711420916653,0.003984087475062033,-0.0655561818697808
1,3,29,permC,0.23878421224383886,0.08705343348869679,-0.00019794387317511225,-0.06424640997373099
1,3,29,margin,0.23618404609696836,0.0981308495843746,0.0005625432326019364,-0.19790946684140706
1,3,29,rowshuf,1.1833004197890169e-05,0.0559103637033794,-0.0001916991085395836,-0.22036428407343045
1,3,29,colshuf,0.23255438947980717,-0.04559413726791478,0.00011872857759511375,-0.20617720017549113
1,5,29,real,0.2374382216854439,0.09274215004365871,0.006108772753846913,-0.1385433789438434
1,5,29,permC,0.23733336516141562,0.09247494801829333,-0.00022782908364856375,-0.13593546094990458
1,5,29,margin,0.23537563613212348,0.0988897434570987,0.0005069117847488664,-0.2884636919625524
1,5,29,rowshuf,3.6875642243638946e-06,0.06802583753126673,-0.00029829483410472496,-0.35377717563271394
1,5,29,colshuf,0.23002323917282422,-0.03940205491819364,0.00016350394979945207,-0.3042503229495138
1,8,29,real,0.23571820882052502,0.09525369599428139,0.00905295209440631,-0.2304448648104747
1,8,29,permC,0.23569465730403014,0.09499280919861847,-0.00033915036059975473,-0.22761047663177184
1,8,29,margin,0.2334679344903805,0.10165160686618825,0.0005421890349414833,-0.39242866097318785
1,8,29,rowshuf,4.779147477475728e-06,0.07640876668632716,-0.0003495117978933962,-0.5115275238910676
1,8,29,colshuf,0.22945392740556547,-0.03617786404671804,0.0002368118447747906,-0.381130297299494
4,1,11,real,0.2639989018162453,0.046530470312739214,0.0038987680374319247,0.03790563921844331
4,1,11,permC,0.2634270023204687,0.046073533525359256,-0.0006001429016884348,0.0385193526233748
4,1,11,margin,0.2571878330405444,0.0362079394036007,0.0002842436330704375,-0.10366651715667023
