q,mode,arm,seed,C
62,gate,perm,47,-0.0018519945148732786
62,demo,real,11,0.04671065028245247
62,demo,perm,11,-4.139737164476909e-05
62,demo,real,29,0.04336452387563783
62,demo,perm,29,-0.0006359211972215562
62,demo,real,47,0.04031063363458609
62,demo,perm,47,-0.0019861052158994807
62,both,real,11,0.03191914200721335
62,both,perm,11,-0.0004455000792453756
62,both,real,29,0.027393959552828306
62,both,perm,29,-0.0005760667359363536
62,both,real,47,0.02556319497057602
62,both,perm,47,-0.002113030225793122
63,none,real,11,0.024605082793787703
63,none,perm,11,-0.000800580578448562
63,none,real,29,0.02339294385239854
63,none,perm,29,-0.0006557566845536433
63,none,real,47,0.024390459364664663
63,none,perm,47,-0.0005873009285326525
63,gate,real,11,0.012721658484056486
63,gate,perm,11,-0.0007939806017172035
63,gate,real,29,0.010867689110355405
63,gate,perm,29,-0.0005084797037500088
63,gate,real,47,0.011417165101252236
63,gate,perm,47,-0.0009380900062972986
63,demo,real,11,0.02183824682142399
63,demo,perm,11,-0.0007291779302861512
63,demo,real,29,0.019999049299326943
63,demo,perm,29,-0.0006162310019238726
63,demo,real,47,0.02181469880596476
63,demo,perm,47,-0.0007745243264838386
63,both,real,11,0.011792978291484624
63,both,perm,11,-0.0007023163297623647
63,both,real,29,0.009931093719947048
63,both,perm,29,-0.0005257005989223185
63,both,real,47,0.010888952804156693
63,both,perm,47,-0.0010977208202979094
67,none,real,11,0.019246835431041553
67,none,perm,11,-0.0010054583634689918
67,none,real,29,0.020434804999852618
67,none,perm,29,0.000128117677954509
67,none,real,47,0.018347450625673667
67,none,perm,47,-0.0016508305614832963
67,gate,real,11,0.011669183712944675
67,gate,perm,11,-0.0010474279222179028
67,gate,real,29,0.013982750792906673
67,gate,perm,29,7.15812387789283e-05
67,gate,real,47,0.010599086866867946
67,gate,perm,47,-0.001559128339891025
67,demo,real,11,0.014828606526539279
67,demo,perm,11,-0.000917150406455014
67,demo,real,29,0.014629255371434335
67,demo,perm,29,0.0001813780621765515
67,demo,real,47,0.013806207047929009
67,demo,perm,47,-0.0015716339653852884
67,both,real,11,0.00980322722299598
67,both,perm,11,-0.0009656992633119144
67,both,real,29,0.010882020542756332
67,both,perm,29,3.3740533858628297e-05
67,both,real,47,0.008911504663194902
67,both,perm,47,-0.0014763523844936177
73,none,real,11,0.034617726863594656
73,none,perm,11,-0.001735209864766607
73,none,real,29,0.03305826070340834
73,none,perm,29,-0.0034857124641467507
73,none,real,47,0.03600807358013847
73,none,perm,47,-0.0009099804106237341
73,gate,real,11,0.015791455399941534
73,gate,perm,11,-0.0021411730592270084
73,gate,real,29,0.01729324726421333
73,gate,perm,29,-0.002895462072956101
73,gate,real,47,0.018135890508318986
73,gate,perm,47,-0.00013892659674719088
73,demo,real,11,0.020322638185605535
73,demo,perm,11,-0.001478944163575302
73,demo,real,29,0.019242354991896637
73,demo,perm,29,-0.0037841910029353665
73,demo,real,47,0.02213669294760956
73,demo,perm,47,-0.0014492347225144586
73,both,real,11,0.010973058310520756
73,both,perm,11,-0.0021070701508379974
73,both,real,29,0.011283724200903289
73,both,perm,29,-0.003192932529069825
73,both,real,47,0.012442065857531825
73,both,perm,47,-0.0005712117889054014
77,none,real,11,0.050991316756503924
77,none,perm,11,-0.0005869118980792454
77,none,real,29,0.05162883625456771
77,none,perm,29,-0.0010151324754305024
77,none,real,47,0.052015183835786405
77,none,perm,47,-0.0009686099084633693
77,gate,real,11,0.03136978593047868
77,gate,perm,11,-0.0006257063035779442
77,gate,real,29,0.032438528076182194
77,gate,perm,29,-0.0008051839926710436
77,gate,real,47,0.03320870704636858
77,gate,perm,47,-0.0009245174729265448
77,demo,real,11,0.04250002496283367
77,demo,perm,11,-0.0006913989875745319
77,demo,real,29,0.042010698815056924
77,demo,perm,29,-0.0010672947591239268
77,demo,real,47,0.04301792393120041
77,demo,perm,47,-0.0009752881603571906
77,both,real,11,0.027852404771645745
77,both,perm,11,-0.0006913371391871204
77,both,real,29,0.02775447630842287
77,both,perm,29,-0.0008340179712658102
77,both,real,47,0.028690058391594664
77,both,perm,47,-0.0010214777806222264
83,none,real,11,0.1158160385245538
83,none,perm,11,-0.0014227595713981467
83,none,real,29,0.12789859949437243
83,none,perm,29,-0.0025634411555862657
83,none,real,47,0.10350649412026991
83,none,perm,47,-0.005596891659554792
83,gate,real,11,0.07848000586186332
83,gate,perm,11,-0.0008312154190922572
83,gate,real,29,0.08535770539944332
83,gate,perm,29,-0.0010024986730036156
83,gate,real,47,0.06503214248128275
83,gate,perm,47,-0.0029017466567081707
83,demo,real,11,0.07137537190162002
83,demo,perm,11,-0.0017521677854467343
83,demo,real,29,0.07218236148313262
83,demo,perm,29,-0.002044620136545383
83,demo,real,47,0.05979526898299581
83,demo,perm,47,-0.005265405099635578
83,both,real,11,0.0556303704336667
83,both,perm,11,-0.0012788317274585737
83,both,real,29,0.05629950708487563
83,both,perm,29,-0.0005011093522431231
83,both,real,47,0.042763502665230324
83,both,perm,47,-0.002741509506130946
85,none,real,11,0.018130528631866816
85,none,perm,11,-0.0028828812902883527
85,none,real,29,0.01947820328594574
85,none,perm,29,-0.0005363057154127437
85,none,real,47,0.020745556654500175
85,none,perm,47,-0.00323721019109402
85,gate,real,11,0.006750216350882798
85,gate,perm,11,-0.0022290117599922388
85,gate,real,29,0.009063743731689833
85,gate,perm,29,-0.0011221977580724296
85,gate,real,47,0.011693978339232136
85,gate,perm,47,-0.0027330321506590094
85,demo,real,11,0.01454410314604293
85,demo,perm,11,-0.003235474305428032
85,demo,real,29,0.01734969402679809
85,demo,perm,29,-0.0009772145674422639
85,demo,real,47,0.01677239324019164
85,demo,perm,47,-0.0037387521778607935
85,both,real,11,0.005685218155886407
85,both,perm,11,-0.0024867898194588234
85,both,real,29,0.00916666390068066
85,both,perm,29,-0.0012941621993787233
85,both,real,47,0.009362027687149999
85,both,perm,47,-0.0033099630280971626
90,none,real,11,0.004753384903845359
90,none,perm,11,-1.3643798466911328e-05
90,none,real,29,0.005705169543185451
90,none,perm,29,-0.0021741062574816006
90,none,real,47,0.004377097590459678
90,none,perm,47,-0.001560150402570959
90,gate,real,11,0.0010946836450352881
90,gate,perm,11,-0.00037624743355313406
90,gate,real,29,0.0018271266119854745
90,gate,perm,29,-0.0018124873629932203
90,gate,real,47,-0.0005706610730311645
90,gate,perm,47,-0.0011296075306104214
90,demo,real,11,0.002955219054093239
90,demo,perm,11,-0.0003573281108416593
90,demo,real,29,0.004100560622498528
90,demo,perm,29,-0.0019488605719826246
90,demo,real,47,0.004130658645930763
90,demo,perm,47,-0.0016531456107039544
90,both,real,11,-0.00013049361645334212
